Squad,HomePointsDropped,AwayPointsDropped,PointsDropped
Zalaegerszeg,7,14,21
Nyíregyháza,2,4,6
Kecskemét,7,10,17
Újpest,9,8,17
Diósgyőr,4,11,15
Győr,7,6,13
Vidi,5,3,8
Ferencváros,2,2,4
MTK Budapest,2,8,10
Paks,9,4,13
Puskás,4,5,9
Debrecen,7,7,14
