name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,keyPass,aerialWon,shotOffTarget,totalClearance,challengeLost,errorLeadToAShot,unsuccessfulTouch,wasFouled,interceptionWon,fouls,bigChanceCreated,onTargetScoringAttempt,totalOffside,bigChanceMissed,goodHighClaim,savedShotsFromInsideTheBox,punches,goals,clearanceOffLine
Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,190,2408,M,,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",23.0,15.0,8.0,3.0,9.0,11.0,7.0,13.0,6.0,,90.0,46.0,8.4,8.0,0.3885,0.2123,0.0529471,"{'original': 8.4, 'alternative': 8.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,1.0,6.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,10.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,
Marc Guéhi,,,marc-guehi,M. Guéhi,D,6,182,7807,M,MarcGuehi13,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",20.0,16.0,5.0,3.0,13.0,15.0,3.0,5.0,3.0,,90.0,36.0,7.5,5.0,0.203,0.0,0.00091404,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,3.0,3.0,,,,,2.0,2.0,1.0,,1.0,1.0,8.0,2.0,,1.0,,2.0,,,,,,,,,,
Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",18.0,12.0,2.0,1.0,5.0,9.0,7.0,10.0,5.0,,90.0,43.0,7.7,12.0,0.0,0.0,0.00101521,"{'original': 7.7, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,4.0,3.0,,1.0,,,3.0,3.0,,,,,3.0,1.0,,2.0,,3.0,2.0,,,,,,,,,1.0
Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55112,M,eze,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",20.0,13.0,1.0,,4.0,7.0,11.0,17.0,8.0,,88.0,40.0,7.3,14.0,0.0541,0.0,0.284206,"{'original': 7.3, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,,4.0,5.0,,5.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,,,
Cheick Doucouré,,,cheick-doucoure,C. Doucouré,M,28,181,1459,M,,906047,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,947289600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخ دوكوري', 'hi': 'चेक डौकोरे', 'bn': 'ডউকোরে'}, 'shortNameTranslation': {'ar': 'ش. دوكوري', 'hi': 'सी. डौकोरे', 'bn': 'সি. ডউকোরে'}}",27.0,21.0,1.0,,17.0,21.0,4.0,6.0,12.0,,90.0,52.0,6.6,13.0,0.0,0.0,0.00821013,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,8.0,7.0,4.0,2.0,1.0,,,5.0,1.0,,1.0,,2.0,3.0,,2.0,,5.0,,,,,,,,,,
Will Hughes,,,will-hughes,W. Hughes,M,19,185,1013,M,,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",27.0,25.0,,,16.0,17.0,9.0,10.0,10.0,,90.0,41.0,6.8,6.0,0.1214,0.2256,0.00546664,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,1.0,2.0,,,,,1.0,1.0,,,,2.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,
Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182,14311,M,jordanayew9,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",24.0,13.0,4.0,,2.0,4.0,11.0,22.0,10.0,,90.0,60.0,7.3,25.0,0.0,0.0,0.00659157,"{'original': 7.3, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,2.0,10.0,18.0,6.0,8.0,6.0,,,4.0,2.0,1.0,3.0,,,,,4.0,5.0,2.0,,,,,,,,,,
Jean-Philippe Mateta,,,jean-philippe-mateta,J. Mateta,F,14,192,9259,M,Matetajphilippe,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",9.0,7.0,,,3.0,4.0,4.0,6.0,2.0,,90.0,29.0,6.4,18.0,0.0,0.0,0.184653,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,3.0,13.0,3.0,8.0,1.0,,,,2.0,1.0,2.0,1.0,,1.0,,,6.0,,,1.0,,,,,,,,,
Jeffrey Schlupp,,,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",9.0,7.0,1.0,,6.0,6.0,1.0,4.0,,,78.0,27.0,6.5,8.0,0.133,0.0,0.0004447,"{'original': 6.5, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,6.0,3.0,2.0,1.0,,1.0,,2.0,,,,1.0,1.0,2.0,,2.0,1.0,,1.0,,,,,,,,,
Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186,1300,M,,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",4.0,2.0,,,1.0,1.0,1.0,3.0,2.0,,12.0,6.0,6.5,3.0,0.0,0.0,0.00017679,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",,,,,,,,,,,2.0,2.0,,,0.0,0.0,0.0,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Remi Matthews,,,remi-matthews,R. Matthews,G,31,184,187,M,,581610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,760838400,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,674,M,,43215,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,670809600,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Holding,,,rob-holding,R. Holding,D,6,189,1071,M,,793228,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,811555200,"{'value': 2800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روب هولدينغ', 'hi': 'रोब होल्डिंग', 'bn': 'রব হোল্ডিং'}, 'shortNameTranslation': {'ar': 'ر. هولدينغ', 'hi': 'आर. होल्डिंग', 'bn': 'আর. হোল্ডিং'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ozoh,,,david-ozoh,D. Ozoh,M,18,183,301,M,,1212155,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1115337600,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد أوزوه', 'hi': 'डेविड ओज़ोह', 'bn': 'ডেভিড ওজোহ'}, 'shortNameTranslation': {'ar': 'د. أوزوه', 'hi': 'डी. ओज़ोह', 'bn': 'ডি. ওজোহ'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Ebiowei,,,ebiowei-malcolm,M. Ebiowei,M,17,185,310,M,,1176104,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1062633600,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبيوي، مالكوم', 'hi': 'एबियोवेई, मैल्कम', 'bn': 'ইবিওই, ম্যালকম'}, 'shortNameTranslation': {'ar': 'م. إيبوي', 'hi': 'एम. एबियोवेई', 'bn': 'এম. ইবিওই'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesurun Rak-Sakyi,,,jesurun-rak-sakyi,J. Rak-Sakyi,M,19,178,1031,M,,1101362,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033776000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيسورون راك-ساكيي', 'hi': 'जेसुरुन राक-साकी', 'bn': 'জেসুরুন রাক-সাকি'}, 'shortNameTranslation': {'ar': 'ج. راك-ساكيي', 'hi': 'जे. राक-साकी', 'bn': 'জে. রাক-সাকাই'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ademola Ola-Adebomi,,,ademola-ola-adebomi,A. Ola-Adebomi,F,9,195,116,M,,1212153,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1062547200,"{'value': 270000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديمولا أولا-أديبومي', 'hi': 'एडेमोला ओला-एडेबोमी', 'bn': 'আদেমোলা ওলা-আদেবোমি'}, 'shortNameTranslation': {'ar': 'أ. أولا-أديبومي', 'hi': 'ए. ओला-एडेबोमी', 'bn': 'এ. ওলা-আদেবোমি'}}",,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
