minute,value
1.0,-2
2.0,7
3.0,3
4.0,23
5.0,5
6.0,20
7.0,21
8.0,22
9.0,42
10.0,13
11.0,13
12.0,6
13.0,5
14.0,3
15.0,16
16.0,9
17.0,-49
18.0,-12
19.0,55
20.0,31
21.0,19
22.0,26
23.0,40
24.0,26
25.0,76
26.0,55
27.0,39
28.0,28
29.0,74
30.0,76
31.0,48
32.0,15
33.0,17
34.0,14
35.0,18
36.0,15
37.0,11
38.0,3
39.0,3
40.0,-9
41.0,37
42.0,34
43.0,50
44.0,35
45.0,46
45.5,-22
46.0,6
47.0,27
48.0,45
49.0,48
50.0,34
51.0,-34
52.0,37
53.0,20
54.0,43
55.0,31
56.0,16
57.0,-9
58.0,6
59.0,60
60.0,41
61.0,100
62.0,73
63.0,48
64.0,34
65.0,20
66.0,11
67.0,17
68.0,14
69.0,52
70.0,34
71.0,24
72.0,-59
73.0,-24
74.0,77
75.0,43
76.0,30
77.0,49
78.0,78
79.0,45
80.0,30
81.0,14
82.0,10
83.0,11
84.0,17
85.0,18
86.0,15
87.0,41
88.0,28
89.0,20
90.0,63
90.5,8
