name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,bigChanceCreated,interceptionWon,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,keyPass,aerialLost,aerialWon,wonContest,ownGoals,shotOffTarget,onTargetScoringAttempt,goals,outfielderBlock,totalTackle,expectedGoals,expectedGoalsOnTarget,wonTackle,firstName,lastName,goalAssist,errorLeadToAShot,blockedScoringAttempt,totalOffside,bigChanceMissed,goodHighClaim,clearanceOffLine,penaltyWon
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",20.0,19.0,1.0,19.0,20.0,1.0,8.0,3.0,1.0,4.0,1.0,1.0,90.0,29.0,6.6,1.0,6.336e-05,"{'original': 6.6, 'alternative': 6.1}",0,-2.2448,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",46.0,40.0,2.0,22.0,24.0,1.0,6.0,,,,,,81.0,70.0,5.6,12.0,0.186467,"{'original': 5.6, 'alternative': 5.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,19.0,24.0,2.0,1.0,10.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",80.0,71.0,2.0,41.0,44.0,3.0,7.0,,,,,,90.0,92.0,6.6,10.0,0.0191374,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,31.0,38.0,2.0,1.0,2.0,8.0,,,5.0,,,,,,,,2.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",87.0,82.0,4.0,46.0,48.0,3.0,5.0,,,,,,90.0,97.0,7.4,5.0,0.0188284,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,36.0,39.0,,,3.0,4.0,1.0,,,,2.0,,,,,,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,0.0922,0.4628,,,,,,,,,,,
Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,11476,M,Chilly,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",47.0,42.0,3.0,17.0,18.0,3.0,1.0,,,,,,81.0,75.0,7.5,15.0,0.250885,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,26.0,38.0,9.0,1.0,1.0,6.0,,,,1.0,1.0,,,1.0,1.0,3.0,,,,,,,,1.0,5.0,,,4.0,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",53.0,47.0,4.0,28.0,33.0,,4.0,,,,,,63.0,62.0,7.1,8.0,0.24864,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,19.0,20.0,,,4.0,3.0,,1.0,1.0,1.0,,,,1.0,2.0,2.0,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",84.0,77.0,10.0,34.0,37.0,1.0,4.0,,,,,,90.0,102.0,7.8,12.0,0.271073,"{'original': 7.8, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,43.0,50.0,3.0,,3.0,8.0,1.0,,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,,,1.0,,1.0,,,,5.0,0.0187,,2.0,,,,,,,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",49.0,36.0,5.0,9.0,11.0,,4.0,,,,,,90.0,64.0,7.4,18.0,0.157917,"{'original': 7.4, 'alternative': 7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,27.0,39.0,1.0,,4.0,5.0,1.0,,6.0,,,1.0,,2.0,,1.0,,,3.0,,1.0,1.0,1.0,,,0.4677,0.7544,,,,,1.0,2.0,1.0,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",64.0,60.0,3.0,23.0,23.0,,4.0,,,,,,90.0,85.0,6.6,11.0,0.0616904,"{'original': 6.6, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,37.0,42.0,1.0,,8.0,4.0,2.0,2.0,1.0,,1.0,4.0,,2.0,3.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,0.2406,,,,,,,,,1.0,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",22.0,20.0,,3.0,4.0,,1.0,,,,,,72.0,32.0,6.1,8.0,0.0503758,"{'original': 6.1, 'alternative': 5.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,17.0,19.0,1.0,,6.0,2.0,,1.0,2.0,,,2.0,,1.0,2.0,,2.0,,1.0,,2.0,,,,,0.2068,,,,,,,,1.0,1.0,,,
