minute,value
1.0,7
2.0,7
3.0,-24
4.0,-13
5.0,-7
6.0,-20
7.0,-14
8.0,-33
9.0,-28
10.0,-22
11.0,-14
12.0,55
13.0,37
14.0,23
15.0,2
16.0,9
17.0,3
18.0,10
19.0,10
20.0,24
21.0,21
22.0,-26
23.0,-3
24.0,3
25.0,7
26.0,10
27.0,15
28.0,25
29.0,34
30.0,23
31.0,-23
32.0,-32
33.0,-16
34.0,-2
35.0,44
36.0,19
37.0,6
38.0,-8
39.0,8
40.0,13
41.0,36
42.0,23
43.0,8
44.0,-26
45.0,-3
45.5,-10
46.0,7
47.0,-13
48.0,46
49.0,27
50.0,21
51.0,23
52.0,23
53.0,91
54.0,80
55.0,30
56.0,-43
57.0,-17
58.0,-42
59.0,-27
60.0,-15
61.0,-6
62.0,-4
63.0,-1
64.0,33
65.0,25
66.0,23
67.0,19
68.0,-13
69.0,5
70.0,9
71.0,3
72.0,-3
73.0,42
74.0,20
75.0,16
76.0,28
77.0,30
78.0,34
79.0,15
80.0,-21
81.0,-16
82.0,-29
83.0,-15
84.0,-5
85.0,5
86.0,50
87.0,35
88.0,36
89.0,25
90.0,19
90.5,95
