name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,challengeLost,onTargetScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,expectedGoals,expectedGoalsOnTarget,firstName,lastName,dispossessed,totalTackle,wonTackle,aerialLost,shotOffTarget,keyPass,aerialWon,bigChanceCreated,totalContest,fouls,totalCross,accurateCross,wonContest,goals,bigChanceMissed,totalOffside,blockedScoringAttempt,goalAssist,outfielderBlock,ownGoals,hitWoodwork
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",19.0,18.0,1.0,,18.0,18.0,,1.0,,9.0,3.0,4.0,,,90.0,28.0,6.5,1.0,4.735e-05,"{'original': 6.5, 'alternative': 6.5}",0,-0.8803,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",51.0,41.0,4.0,2.0,25.0,28.0,16.0,24.0,2.0,3.0,,,,,90.0,72.0,7.0,12.0,0.0137131,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,6.0,,,4.0,,,,,,,1.0,4.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",73.0,64.0,10.0,5.0,46.0,51.0,18.0,22.0,3.0,7.0,,,,,90.0,87.0,6.8,9.0,0.00903627,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,5.0,1.0,,4.0,,1.0,,,,,,2.0,1.0,4.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,,
Tim Ream,tim-ream,T. Ream,D,3,185,550,M,,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",78.0,68.0,11.0,6.0,51.0,57.0,17.0,21.0,,5.0,,,,,90.0,84.0,6.4,10.0,0.0115977,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",35.0,29.0,3.0,2.0,13.0,16.0,18.0,24.0,5.0,7.0,,,,,90.0,61.0,6.8,12.0,0.366812,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,4.0,3.0,,1.0,2.0,,,,,,,1.0,1.0,,,3.0,2.0,1.0,1.0,3.0,5.0,2.0,1.0,,,1.0,,1.0,,1.0,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,alexanderiwobi,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",37.0,32.0,2.0,1.0,10.0,11.0,22.0,26.0,,4.0,,,,,82.0,57.0,6.7,13.0,0.0696678,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,4.0,,1.0,,3.0,,0.0653,0.0188,,,2.0,2.0,,,1.0,1.0,,,4.0,1.0,,,2.0,,,1.0,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,Palhinha,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",44.0,37.0,3.0,,24.0,25.0,13.0,19.0,1.0,4.0,,,,,90.0,56.0,6.3,8.0,0.00889769,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,4.0,3.0,,1.0,,2.0,,,,,,2.0,1.0,,,,,,,5.0,,,,,,,,,,,1.0
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",25.0,18.0,2.0,,5.0,8.0,13.0,17.0,,4.0,,,,,45.0,30.0,6.3,8.0,0.0126381,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,andreaspereira,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",33.0,29.0,4.0,2.0,14.0,16.0,16.0,18.0,1.0,4.0,,,,,74.0,40.0,6.8,6.0,0.02995,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,3.0,,,,1.0,,,,,,,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
Willian,willian,Willian,F,88,175,9705,M,willianborges88,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",27.0,23.0,3.0,2.0,15.0,16.0,8.0,14.0,,2.0,,,,,82.0,40.0,6.9,11.0,0.00449763,"{'original': 6.9, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,1.0,1.0,,3.0,,0.2069,0.064,,,,1.0,,,2.0,1.0,,,1.0,,3.0,,1.0,,,1.0,,,,,
