Date,home_team,away_team,home_odds,away_odds,tournament_op
2022-01-14,Team SoloMid,100 Thieves,4.9,1.17,LCS Lock-In
2022-01-15,Immortals,Counter Logic Gaming,1.45,2.75,LCS Lock-In
2022-01-15,Team Liquid,Dignitas,1.17,4.79,LCS Lock-In
2022-01-15,Golden Guardians,Cloud9,4.41,1.2,LCS Lock-In
2022-01-15,Golden Guardians,100 Thieves,4.89,1.17,LCS Lock-In
2022-01-15,Team SoloMid,FlyQuest eSports,2.39,1.55,LCS Lock-In
2022-01-15,FlyQuest eSports,Cloud9,3.24,1.33,LCS Lock-In
2022-01-16,Team SoloMid,Cloud9,3.63,1.28,LCS Lock-In
2022-01-16,FlyQuest eSports,100 Thieves,4.35,1.2,LCS Lock-In
2022-01-16,Team Liquid,Counter Logic Gaming,1.18,4.64,LCS Lock-In
2022-01-16,Immortals,Dignitas,1.48,2.59,LCS Lock-In
2022-01-16,Evil Geniuses,Team Liquid,2.35,1.57,LCS Lock-In
2022-01-16,Evil Geniuses,Counter Logic Gaming,1.33,3.25,LCS Lock-In
2022-01-17,Evil Geniuses,Immortals,1.42,2.79,LCS Lock-In
2022-01-17,Golden Guardians,FlyQuest eSports,2.52,1.5,LCS Lock-In
2022-01-21,Counter Logic Gaming,Dignitas,1.86,1.89,LCS Lock-In
2022-01-22,Cloud9,100 Thieves,2.4,1.55,LCS Lock-In
2022-01-22,Team Liquid,Immortals,1.26,3.7,LCS Lock-In
2022-01-22,Team SoloMid,Golden Guardians,1.68,2.13,LCS Lock-In
2022-01-22,Evil Geniuses,Dignitas,1.29,3.43,LCS Lock-In
2022-01-23,Evil Geniuses,Golden Guardians,1.04,9.85,LCS Lock-In
2022-01-24,Cloud9,Counter Logic Gaming,1.22,3.75,LCS Lock-In
2022-01-28,Dignitas,Team Liquid,8.85,1.06,LCS Lock-In
2022-01-29,Evil Geniuses,Cloud9,1.37,2.99,LCS Lock-In
2022-01-30,Team Liquid,Evil Geniuses,2.61,1.49,LCS Lock-In
2025-01-12,Weibo Gaming,Oh My God,1.1,6.28,LPL
2025-01-13,TT Gaming,LNG Esports,2.09,1.7,LPL
2025-01-14,Royal Never Give Up,FunPlus Phoenix,2.03,1.72,LPL
2025-01-15,OKSavingsBank Brion,DRX,1.59,2.25,LCK
2025-01-15,DN Freecs,Nongshim RedForce,1.52,2.43,LCK
2025-01-15,Weibo Gaming,Ultra Prime,1.03,10.64,LPL
2025-01-16,FearX,KT Rolster,4.0,1.22,LCK
2025-01-16,Dplus Kia,T1,3.2,1.33,LCK
2025-01-16,LGD Gaming,Anyone's Legend,10.68,1.03,LPL
2025-01-17,EDward Gaming,Bilibili Gaming,9.83,1.03,LPL
2025-01-17,Nongshim RedForce,OKSavingsBank Brion,1.53,2.47,LCK
2025-01-17,Gen.G,Hanwha Life,1.58,2.3,LCK
2025-01-18,GIANTX,SK Gaming,1.67,2.17,LEC
2025-01-18,Top Esports,Team WE,1.02,11.78,LPL
2025-01-18,Heretics,Rogue,1.86,1.93,LEC
2025-01-18,Vitality,Team BDS,2.58,1.49,LEC
2025-01-18,Dplus Kia,DN Freecs,1.29,3.41,LCK
2025-01-18,DRX,T1,7.68,1.07,LCK
2025-01-18,Movistar KOI,Fnatic,2.23,1.59,LEC
2025-01-18,Karmine Corp,G2 Esports,2.42,1.55,LEC
2025-01-19,FearX,Gen.G,11.88,1.03,LCK
2025-01-19,Heretics,SK Gaming,2.22,1.64,LEC
2025-01-19,KT Rolster,Hanwha Life,4.71,1.16,LCK
2025-01-19,Ninjas in Pyjamas,Invictus Gaming,3.67,1.26,LPL
2025-01-19,Movistar KOI,Karmine Corp,1.91,1.87,LEC
2025-01-19,Fnatic,Vitality,1.4,2.9,LEC
2025-01-19,Rogue,GIANTX,2.56,1.5,LEC
2025-01-19,G2 Esports,Team BDS,1.39,2.94,LEC
2025-01-20,Heretics,Fnatic,3.22,1.34,LEC
2025-01-20,Movistar KOI,Vitality,1.5,2.58,LEC
2025-01-20,G2 Esports,SK Gaming,1.27,3.68,LEC
2025-01-20,Ultra Prime,JD Gaming,11.29,1.02,LPL
2025-01-20,Team BDS,Rogue,1.54,2.47,LEC
2025-01-20,GIANTX,Karmine Corp,2.44,1.54,LEC
2025-01-21,TT Gaming,EDward Gaming,1.48,2.53,LPL
2025-01-22,DN Freecs,DRX,1.34,3.09,LCK
