name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,fouls,expectedGoals,keyPass,accurateCross,aerialLost,dispossessed,outfielderBlock,wonTackle,unsuccessfulTouch,wasFouled,onTargetScoringAttempt,expectedGoalsOnTarget,goals,bigChanceCreated,bigChanceMissed,crossNotClaimed,goodHighClaim,punches,totalOffside,goalAssist
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194.0,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",34.0,24.0,18.0,8.0,17.0,21.0,7.0,13.0,8.0,4.0,4.0,,,90.0,51.0,7.4,13.0,0.00132336,"{'original': 7.4, 'alternative': 7.2}",0,-0.5858,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179.0,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",29.0,25.0,3.0,2.0,15.0,18.0,12.0,14.0,7.0,,,,,90.0,67.0,7.8,10.0,0.185873,"{'original': 7.8, 'alternative': 8.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,,5.0,9.0,1.0,,,,,10.0,1.0,8.0,1.0,,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,2.0,,,,,1.0,
Axel Disasi,axel-disasi,A. Disasi,D,2,190.0,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",32.0,26.0,7.0,2.0,23.0,24.0,3.0,8.0,5.0,,,,,90.0,55.0,7.2,9.0,0.00094273,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,2.0,4.0,1.0,,,,,16.0,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187.0,17567,M,LColwill,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",31.0,28.0,5.0,3.0,22.0,24.0,6.0,7.0,3.0,,,,,90.0,50.0,7.2,5.0,0.00155546,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,3.0,2.0,,,,,,10.0,1.0,2.0,,,,,3.0,,2.0,1.0,,,,,,,,,,,,
Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181.0,11476,M,Chilly,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",24.0,17.0,2.0,,9.0,13.0,8.0,13.0,1.0,,,,,90.0,45.0,6.9,11.0,0.0049214,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,2.0,2.0,2.0,4.0,,,,,,5.0,,1.0,,0.0974,,,1.0,1.0,,1.0,,1.0,1.0,0.1537,,,,,,,2.0,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178.0,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",33.0,31.0,,,22.0,23.0,9.0,10.0,5.0,,,,,90.0,46.0,6.9,2.0,0.0100948,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,4.0,8.0,1.0,,,,,2.0,,4.0,3.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177.0,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",33.0,26.0,1.0,1.0,11.0,16.0,15.0,17.0,4.0,,,,,90.0,50.0,7.4,10.0,0.246684,"{'original': 7.4, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,2.0,4.0,,1.0,,1.0,,3.0,1.0,4.0,1.0,0.1622,1.0,,,,4.0,,,,,,,,,,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185.0,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",20.0,19.0,1.0,1.0,5.0,6.0,14.0,15.0,,,,,,71.0,30.0,7.1,3.0,0.236849,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,3.0,3.0,1.0,1.0,1.0,,,,2.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182.0,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",32.0,26.0,4.0,3.0,12.0,12.0,14.0,21.0,5.0,,,,,90.0,49.0,7.3,10.0,0.0388843,"{'original': 7.3, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,2.0,6.0,8.0,2.0,,,1.0,,,2.0,4.0,2.0,0.117,1.0,,2.0,,1.0,2.0,3.0,2.0,,,,,,,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170.0,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",10.0,8.0,,,3.0,3.0,5.0,7.0,3.0,,,,,64.0,29.0,7.3,8.0,0.0022185,"{'original': 7.3, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,4.0,3.0,,1.0,1.0,,,,,1.0,2.0,0.4656,,,,2.0,,1.0,4.0,1.0,3.0,1.8936,1.0,,1.0,,,,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186.0,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",20.0,14.0,2.0,1.0,5.0,6.0,9.0,15.0,6.0,,,,,82.0,37.0,6.7,14.0,0.210149,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Nicolas Jackson,,1.0,2.0,10.0,3.0,1.0,4.0,1.0,,,1.0,,,,0.399,2.0,,2.0,4.0,1.0,,,,1.0,0.4252,,1.0,1.0,,,,1.0,1.0
Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175.0,52393,M,Nkunku,769333,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,879465600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر نكونكو', 'hi': 'क्रिस्टोफर नकुंकू', 'bn': 'ক্রিস্টোফার এনকুঙ্কু'}, 'shortNameTranslation': {'ar': 'ك. نكونكو', 'hi': 'सी. नकुंकू', 'bn': 'সি. এনকুঙ্কু'}}",4.0,3.0,,,2.0,2.0,1.0,2.0,,,,,,26.0,11.0,6.7,3.0,7.555e-05,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,,,,,1.0,1.0,1.0,,,0.2249,,,,1.0,,,1.0,,1.0,0.064,,,,,,,1.0,
Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190.0,13565,M,yungchalobah,826134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,931132800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'hi': 'ट्रेवोह चालोबा', 'bn': 'ত্রেভহ চালোবাহ'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'hi': 'टी. चालोबा', 'bn': 'টি. চালোবাহ'}}",2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,19.0,5.0,6.6,1.0,0.00012819,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
Cesare Casadei,cesare-casadei,C. Casadei,M,22,192.0,6954,M,cesarecasadei,1016788,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1042156800,"{'value': 15600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيزار كاسادي', 'hi': 'सेसरे कासादेई', 'bn': 'সিজার ক্যাসাডেই'}, 'shortNameTranslation': {'ar': 'س. كاسادي', 'hi': 'सी. कासादेई', 'bn': 'সি. ক্যাসাডেই'}}",3.0,1.0,,,,,1.0,3.0,,,,,,8.0,6.0,6.7,2.0,0.0536238,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,1.0,3.0,,,,,,2.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194.0,7252,M,marcusbettss,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Gilchrist,alfie-gilchrist,A. Gilchrist,D,14,183.0,4501,M,,1114837,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069977600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي جيلكريست', 'hi': 'अल्फी गिलक्रिस्ट', 'bn': 'আলফি গিলক্রিস্ট'}, 'shortNameTranslation': {'ar': 'أ. جيلكريست', 'hi': 'ए. गिलक्रिस्ट', 'bn': 'এ. গিলক্রিস্ট'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishé Samuels-Smith,ishe-samuels-smith,I. Samuels-Smith,D,16,186.0,1204,M,,1196791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1149465600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيشه سامويلز-سميث', 'hi': 'इशे सैमुअल्स-स्मिथ', 'bn': 'ইশে স্যামুয়েলস-স্মিথ'}, 'shortNameTranslation': {'ar': 'إ. سامويلز-سميث', 'hi': 'आई. सैमुअल्स-स्मिथ', 'bn': 'স্যামুয়েলস-স্মিথ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Ishé Samuels-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182.0,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175.0,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ollie Harrison,ollie-harrison,O. Harrison,M,58,,623,M,,1567897,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1186444800,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي هاريسون'}, 'shortNameTranslation': {'ar': 'أ. هاريسون'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Ollie Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
