name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,lastName
Facundo Buonanotte,Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,18331,M,facubuonanotte_,1117025,"{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",True,miss,regular,left-foot,90,5935,535,,12.5,34.2,0,56.0,80.6,
João Pedro,,joao-pedro,J. Pedro,F,20,86665,M,joaopedro,975079,"{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",True,block,assisted,right-foot,90,5934,534,,6.8,45.4,0,52.8,19.0,
Igor Júlio,,igor-julio,I. Júlio,D,5,1286,M,,842513,"{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",True,miss,regular,right-foot,90,5809,409,,18.9,38.8,0,38.3,65.3,
Billy Gilmour,,gilmour-billy,B. Gilmour,M,6,4385,M,billygilmour,907668,"{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",True,block,regular,right-foot,90,5805,405,,14.6,47.5,0,53.7,19.0,
Andreas Pereira,,andreas-pereira,A. Pereira,M,18,13772,M,andreaspereira,285949,"{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",False,save,regular,right-foot,90,5558,158,,7.2,67.8,0,46.2,2.5,
Andreas Pereira,,andreas-pereira,A. Pereira,M,18,13772,M,andreaspereira,285949,"{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",False,block,assisted,left-foot,90,5556,156,,10.0,56.1,0,49.0,19.0,
Andreas Pereira,,andreas-pereira,A. Pereira,M,18,13772,M,andreaspereira,285949,"{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",False,miss,assisted,right-foot,90,5554,154,,13.1,58.1,0,80.3,9.7,
Joël Veltman,,joel-veltman,J. Veltman,D,34,1159,M,,219572,"{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",True,save,corner,right-foot,90,5341,2641,,22.1,58.3,0,51.2,10.8,
Adam Webster,,adam-webster,A. Webster,D,4,506,M,,216308,"{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",True,block,corner,head,88,5268,2568,,7.8,62.7,0,53.6,19.0,
Ansu Fati,,ansu-fati,A. Fati,F,31,177605,M,AnsuFati,962883,"{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",True,save,assisted,left-foot,82,4905,2205,,7.7,34.5,0,48.3,3.2,
