minute,value
1.0,-3
2.0,-11
3.0,-11
4.0,-12
5.0,-10
6.0,15
7.0,7
8.0,4
9.0,7
10.0,16
11.0,19
12.0,39
13.0,42
14.0,39
15.0,14
16.0,9
17.0,2
18.0,5
19.0,74
20.0,65
21.0,34
22.0,6
23.0,-14
24.0,27
25.0,32
26.0,14
27.0,4
28.0,-6
29.0,18
30.0,17
31.0,10
32.0,6
33.0,37
34.0,19
35.0,10
36.0,12
37.0,14
38.0,12
39.0,39
40.0,28
41.0,22
42.0,45
43.0,51
44.0,31
45.0,11
45.5,-34
46.0,3
47.0,4
48.0,5
49.0,10
50.0,9
51.0,24
52.0,1
53.0,-13
54.0,-40
55.0,-25
56.0,-17
57.0,-10
58.0,-6
59.0,-33
60.0,-15
61.0,-10
62.0,-7
63.0,-20
64.0,-38
65.0,-25
66.0,23
67.0,-25
68.0,-13
69.0,8
70.0,-2
71.0,15
72.0,-14
73.0,-4
74.0,-7
75.0,-6
76.0,-7
77.0,-5
78.0,-73
79.0,-38
80.0,-17
81.0,-5
82.0,-19
83.0,-10
84.0,-4
85.0,-45
86.0,-27
87.0,-18
88.0,-8
89.0,21
90.0,31
90.5,1
