minute,value
1.0,2
2.0,3
3.0,4
4.0,1
5.0,7
6.0,60
7.0,61
8.0,36
9.0,21
10.0,31
11.0,11
12.0,11
13.0,-36
14.0,-14
15.0,-10
16.0,30
17.0,32
18.0,31
19.0,17
20.0,34
21.0,7
22.0,-20
23.0,-11
24.0,-1
25.0,10
26.0,11
27.0,14
28.0,61
29.0,35
30.0,-61
31.0,-19
32.0,-40
33.0,-18
34.0,-14
35.0,-3
36.0,-1
37.0,5
38.0,18
39.0,11
40.0,6
41.0,27
42.0,16
43.0,-35
44.0,-21
45.0,-17
45.5,-29
46.0,4
47.0,21
48.0,72
49.0,39
50.0,39
51.0,21
52.0,10
53.0,-2
54.0,-2
55.0,-17
56.0,-64
57.0,-46
58.0,-66
59.0,-36
60.0,-18
61.0,34
62.0,22
63.0,4
64.0,-54
65.0,-32
66.0,-60
67.0,-30
68.0,-27
69.0,-34
70.0,-26
71.0,-19
72.0,-42
73.0,-28
74.0,-19
75.0,20
76.0,6
77.0,27
78.0,13
79.0,4
80.0,18
81.0,15
82.0,42
83.0,20
84.0,7
85.0,-6
86.0,-6
87.0,-11
88.0,-25
89.0,-19
90.0,-16
90.5,-11
