name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,totalClearance,fouls,totalOffside,keyPass,aerialLost,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,expectedGoals,expectedGoalsOnTarget,bigChanceMissed,totalTackle,wasFouled,challengeLost,outfielderBlock,wonTackle,wonContest,shotOffTarget,dispossessed,unsuccessfulTouch,goalAssist,goals,punches,errorLeadToAGoal,clearanceOffLine
Ederson,ederson,Ederson,G,31,188,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",24.0,17.0,13.0,6.0,14.0,14.0,3.0,10.0,7.0,1.0,2.0,2.0,2.0,2.0,90.0,32.0,7.4,7.0,0.00136799,"{'original': 7.4, 'alternative': 7.4}",0,0.4209,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,KyleWalker2,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",62.0,54.0,1.0,,11.0,15.0,44.0,55.0,3.0,,,,,,90.0,83.0,7.3,18.0,0.189742,"{'original': 7.3, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
John Stones,john-stones,J. Stones,D,5,188,22451,M,johnstones5,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",69.0,67.0,1.0,1.0,17.0,18.0,50.0,52.0,3.0,,,,,,90.0,77.0,7.8,3.0,0.100337,"{'original': 7.8, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,4.0,2.0,4.0,,,3.0,1.0,,,1.0,1.0,1.0,2.0,0.2005,0.1399,,,,,,,,,,,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",56.0,52.0,2.0,1.0,24.0,26.0,28.0,30.0,4.0,,,,,,90.0,74.0,7.8,4.0,0.0312197,"{'original': 7.8, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,5.0,6.0,,,6.0,3.0,,,2.0,2.0,,3.0,0.1713,0.3443,1.0,1.0,3.0,,,,,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,23614,M,manuel_akanji,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",108.0,106.0,3.0,3.0,22.0,24.0,84.0,86.0,9.0,,,,,,90.0,123.0,8.5,4.0,0.165577,"{'original': 8.5, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,,4.0,1.0,,,3.0,,,1.0,3.0,1.0,1.0,2.0,0.0535,0.3318,,1.0,,1.0,1.0,1.0,,,,,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",107.0,95.0,3.0,3.0,19.0,22.0,76.0,85.0,4.0,,,,,,90.0,126.0,9.0,14.0,0.336081,"{'original': 9, 'alternative': 8.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,6.0,7.0,11.0,3.0,2.0,4.0,3.0,,5.0,2.0,,,1.0,0.1074,,,1.0,2.0,1.0,,1.0,2.0,2.0,,,,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,BSilva,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",72.0,68.0,5.0,2.0,7.0,7.0,63.0,73.0,2.0,,,,,,90.0,89.0,7.5,13.0,0.407394,"{'original': 7.5, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,2.0,,4.0,2.0,3.0,,,,,5.0,1.0,,,,0.2484,,1.0,,,1.0,,,2.0,1.0,1.0,1.0,,,,,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,Foden,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",79.0,73.0,3.0,,9.0,10.0,66.0,73.0,1.0,,,,,,90.0,103.0,7.7,15.0,0.215485,"{'original': 7.7, 'alternative': 7}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,2.0,1.0,3.0,2.0,2.0,,2.0,1.0,,3.0,1.0,2.0,3.0,1.0,0.409,0.8556,1.0,,,,,,1.0,1.0,,6.0,,,,,
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",44.0,42.0,,,4.0,5.0,38.0,44.0,3.0,,,,,,89.0,61.0,7.7,12.0,0.125394,"{'original': 7.7, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,,,6.0,2.0,1.0,1.0,,2.0,,3.0,1.0,,,,0.1571,,,2.0,,,,2.0,,3.0,2.0,2.0,1.0,,,,
Oscar Bobb,oscar-bobb,O. Bobb,M,52,174,17188,M,oscarbobb,1065216,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1057968000,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسكار بوب', 'hi': 'ऑस्कर बॉब', 'bn': 'অস্কার বব'}, 'shortNameTranslation': {'ar': 'أ. بوب', 'hi': 'ओ. बॉब', 'bn': 'ও. বব'}}",39.0,33.0,,,2.0,2.0,33.0,39.0,1.0,,,,,,61.0,52.0,7.1,8.0,0.148896,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Oscar Bobb,,2.0,2.0,,3.0,3.0,5.0,,,,,2.0,,1.0,,,0.2426,,1.0,,,1.0,,,3.0,,,,,,,,
