name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,fouls,bigChanceMissed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,expectedGoals,totalCross,accurateCross,aerialLost,aerialWon,duelWon,bigChanceCreated,clearanceOffLine,ownGoals,keyPass,challengeLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,wonTackle,expectedGoalsOnTarget,totalContest,wonContest,unsuccessfulTouch,totalOffside,sofascoreId,errorLeadToAShot,wasFouled,goalAssist,goals
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185.0,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",32.0,4.0,30.0,2.0,2.0,2.0,2.0,30.0,11.0,1.0,5.0,7.0,1.0,1.0,90.0,41.0,6.8,28.0,0.0224305,"{'original': 6.8, 'alternative': 6.9}",0,-2.1306,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Holgate,,,mason-holgate,M. Holgate,D,27,187.0,409,M,781544,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,845942400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايسون هولجيت', 'hi': 'मेसन होल्गेट', 'bn': 'মেসন হোলগেট'}, 'shortNameTranslation': {'ar': 'م. هولجيت', 'hi': 'एम. होल्गेट', 'bn': 'এম. হলগেট'}}",,,,,,,,,,,,,,,13.0,1.0,3.0,,,"{'original': 3, 'alternative': 3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190.0,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",14.0,11.0,1.0,1.0,10.0,12.0,1.0,2.0,,,,,,,90.0,29.0,6.3,4.0,0.0013666,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,1.0,1.0,1.0,8.0,2.0,2.0,0.3715,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180.0,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",20.0,16.0,4.0,2.0,10.0,12.0,7.0,9.0,1.0,,,,,,90.0,37.0,6.7,8.0,0.161279,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,,8.0,1.0,,,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178.0,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",23.0,16.0,6.0,2.0,9.0,13.0,8.0,12.0,6.0,,,,,,90.0,43.0,6.6,10.0,0.0082937,"{'original': 6.6, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,,,6.0,3.0,,0.0476,2.0,1.0,1.0,2.0,3.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.289,,,,,,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169.0,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",22.0,14.0,5.0,1.0,3.0,5.0,12.0,19.0,3.0,,,,,,79.0,33.0,6.4,12.0,0.161025,"{'original': 6.4, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,,3.0,,,0.131,2.0,1.0,,,2.0,,,,,,1.0,,1.0,,,,3.0,2.0,1.0,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187.0,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",24.0,20.0,,,15.0,17.0,5.0,7.0,4.0,,,,,,90.0,39.0,6.7,7.0,0.00205116,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,,1.0,2.0,2.0,1.0,0.0154,,,3.0,1.0,4.0,,,,,,,,,3.0,3.0,,,,2.0,,,,,,
Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176.0,76,M,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",18.0,14.0,3.0,2.0,9.0,10.0,5.0,10.0,4.0,,,,,,79.0,30.0,6.4,9.0,0.00509108,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,,,,,0.0285,2.0,,,,3.0,,,,,,2.0,,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,,
Yasser Larouci,Yasser,Larouci,larouci-yasser,Y. Larouci,D,76,175.0,3783,M,927360,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,978307200,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لعروسي، ياسر', 'hi': 'लारौसी, यासर', 'bn': 'লারুচি, ইয়াসির'}, 'shortNameTranslation': {'ar': 'ي. لعروسي', 'hi': 'वाई. लारौसी', 'bn': 'ওয়াই. লারুচি'}}",15.0,12.0,1.0,,4.0,6.0,8.0,9.0,,,,,,,63.0,27.0,6.4,6.0,0.00396625,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,,2.0,,,,,,,,4.0,,,,,,1.0,,,1.0,,,3.0,3.0,1.0,1.0,larouci.yasseroff,1.0,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180.0,10990,M,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",13.0,12.0,,,3.0,3.0,9.0,11.0,5.0,,,,,,79.0,30.0,6.4,11.0,0.0335698,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,11.0,,,,,,1.0,,1.0,,4.0,,3.0,,,,1.0,,1.0,,,,,,7.0,1.0,2.0,,jamesmcatee_,,2.0,,
