name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,totalClearance,lastManTackle,totalTackle,wonTackle,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,blockedScoringAttempt,outfielderBlock,interceptionWon,aerialLost,dispossessed,firstName,lastName,totalCross,accurateCross,totalContest,wonContest,bigChanceMissed,wasFouled,unsuccessfulTouch,clearanceOffLine,goals,totalOffside
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",21.0,20.0,2.0,2.0,0.0,20.0,21.0,8.0,1.0,2.0,90.0,30.0,6.5,1.0,7.499e-05,"{'original': 6.5, 'alternative': 6.4}",0,-0.9294,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Moder,jakub-moder,J. Moder,M,7,191,7259,M,886242,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,923443200,"{'value': 10900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مودر', 'hi': 'जकूब मोडेर', 'bn': 'জাকুব মডার'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'hi': 'जे. मोडेर', 'bn': 'জে মডার'}}",37.0,32.0,2.0,,0.0,18.0,19.0,4.0,,,90.0,54.0,7.0,5.0,0.440464,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,kubamoder,14.0,18.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,0.0736,0.5984,1.0,,,,,,,,,,,,,,,,,
Adam Webster,adam-webster,A. Webster,D,4,191,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",82.0,77.0,11.0,7.0,0.0,49.0,50.0,7.0,,,90.0,93.0,7.6,5.0,0.0226544,"{'original': 7.6, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,28.0,32.0,3.0,1.0,3.0,1.0,,2.0,,2.0,,,,,0.1574,,,1.0,4.0,1.0,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",92.0,90.0,2.0,1.0,0.0,47.0,48.0,2.0,,,90.0,104.0,6.8,3.0,0.0180252,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,43.0,44.0,,2.0,,,,,,3.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
Valentín Barco,valentin-barco,V. Barco,M,8,172,10685,M,1127057,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1090540800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتين باركو', 'hi': 'वैलेन्टिन बार्को', 'bn': 'ভ্যালেন্টিন বারকো'}, 'shortNameTranslation': {'ar': 'ف. باركو', 'hi': 'वी. बारको', 'bn': 'ভি. বারকো'}}",50.0,43.0,1.0,,0.0,21.0,22.0,4.0,,,81.0,77.0,6.7,20.0,0.0885718,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,colo.barco,23.0,38.0,,6.0,5.0,,,,1.0,,,4.0,2.0,1.0,0.1152,0.1577,1.0,,,1.0,1.0,3.0,Valentín Barco,,10.0,1.0,2.0,1.0,1.0,,,,,
Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,22765,M,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",28.0,26.0,2.0,,0.0,15.0,16.0,8.0,,,81.0,41.0,7.0,2.0,0.0223147,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,carlos_baleba,11.0,12.0,,8.0,6.0,3.0,1.0,,,1.0,,4.0,3.0,4.0,0.044,,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",98.0,88.0,8.0,5.0,0.0,44.0,45.0,4.0,,,90.0,108.0,7.5,13.0,0.370165,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,pascalgross65,47.0,59.0,,1.0,,1.0,,,,,,,,,0.0256,,4.0,1.0,,1.0,,,,,6.0,3.0,,,,,,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,175,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",16.0,11.0,,,0.0,4.0,4.0,5.0,,,81.0,27.0,6.5,10.0,0.413464,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,simon.adingra,8.0,14.0,,6.0,2.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,2.0,1.0,3.0,,,1.0,1.0,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",15.0,12.0,,,0.0,3.0,4.0,,,,56.0,22.0,6.5,7.0,0.0482519,"{'original': 6.5, 'alternative': 6.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,9.0,12.0,,3.0,,,,,,,,,,,0.3056,,1.0,3.0,,,,2.0,,,1.0,,1.0,,,,,,,
João Pedro,joao-pedro,J. Pedro,F,20,182,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",39.0,36.0,3.0,2.0,0.0,11.0,12.0,5.0,,,90.0,66.0,6.4,15.0,0.133533,"{'original': 6.4, 'alternative': 6}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,joaopedro,25.0,28.0,1.0,7.0,6.0,1.0,,2.0,1.0,1.0,,2.0,,,1.1255,,2.0,2.0,,1.0,,1.0,,,1.0,,7.0,2.0,2.0,1.0,5.0,,,
