name,firstName,lastName,slug,shortName,position,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,jerseyNumber
Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,6051,M,sergio_regui,858195,"{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",53.836,85.34,25,home,
Kristoffer Ajer,,,kristoffer-ajer,K. Ajer,D,1118,M,,576384,"{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",40.96,13.83,10,home,20
Yehor Yarmolyuk,,,yarmoliuk-yehor,Y. Yarmolyuk,M,2447,M,,1031258,"{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",42.8,33.2,1,home,18
Joshua Dasilva,,,joshua-dasilva,J. D. Silva,M,455,M,,856260,"{'nameTranslation': {'ar': 'جوشوا داسيلفا', 'hi': 'जोशुआ दासिल्वा', 'bn': 'জোশুয়া দাসিলভা'}, 'shortNameTranslation': {'ar': 'ج. داسيلفا', 'hi': 'जेडी दासिल्वा', 'bn': 'জে. ডি. সিলভা'}}",84.25,74.9625,16,home,
Shandon Baptiste,,,shandon-baptiste,S. Baptiste,M,142,M,,892111,"{'nameTranslation': {'ar': 'شاندون بابتيست', 'hi': 'शैंडन बैपटिस्ट', 'bn': 'শ্যান্ডন ব্যাপটিস্ট'}, 'shortNameTranslation': {'ar': 'ش. بابتيست', 'hi': 'एस. बैपटिस्ट', 'bn': 'এস. ব্যাপটিস্ট'}}",60.033333333333,45.306666666667,15,home,26
Keane Lewis-Potter,,,keane-lewis-potter,K. Lewis-Potter,D,979,M,,972421,"{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",64.258064516129,74.487096774194,31,home,23
Neal Maupay,,,neal-maupay,N. Maupay,F,2064,M,,268903,"{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",56.268571428571,52.182857142857,35,home,9
Mathias Jensen,,,mathias-jensen,M. Jensen,M,973,M,,799251,"{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",58.148717948718,63.985897435897,78,home,8
Mads Roerslev,Mads,Roerslev,mads-roerslev,M. Roerslev,D,470,M,,826057,"{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",51.3921875,15.1890625,64,home,2
Ethan Pinnock,,,ethan-pinnock,E. Pinnock,D,1038,M,,855864,"{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",31.789855072464,55.698550724638,69,home,5
Mikkel Damsgaard,,,damsgaard-mikkel,M. Damsgaard,M,3573,M,,907072,"{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",52.896363636364,28.725454545455,55,home,24
Ben Mee,,,ben-mee,B. Mee,D,600,M,,137774,"{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",39.712903225806,77.5,93,home,15
Nathan Collins,,,nathan-collins,N. Collins,D,1469,M,,958916,"{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",29.381578947368,23.640789473684,76,home,22
Mark Flekken,,,mark-flekken,M. Flekken,G,2871,M,,171919,"{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",11.73,49.836666666667,60,home,1
Vitaly Janelt,,,vitaly-janelt,V. Janelt,M,1013,M,,814873,"{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",43.706976744186,48.733720930233,86,home,27
Ivan Toney,,,ivan-toney,I. Toney,F,10125,M,ivantoney,290927,"{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",56.229411764706,49.069117647059,68,home,17
Brandon Aguilera,,,brandon-aguilera,B. Aguilera,M,919,M,,1020203,"{'nameTranslation': {'ar': 'براندون أغويليرا', 'hi': 'ब्रैंडन एगुइलेरा', 'bn': 'ব্র্যান্ডন আগুইলেরা'}, 'shortNameTranslation': {'ar': 'ب. أغويليرا', 'hi': 'बी. एगुइलेरा', 'bn': 'বি. আগুইলেরা'}}",53.978571428571,17.428571428571,14,away,10
Neco Williams,,,williams-neco,N. Williams,D,3163,M,,927356,"{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",47.822222222222,15.531111111111,45,away,3
Nicolás Domínguez,,,nicolas-dominguez,N. Domínguez,M,3140,M,,871765,"{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",56.638235294118,34.724509803922,102,away,16
Matt Turner,,,matt-turner,M. Turner,G,1581,M,,833943,"{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",11.307142857143,48.016666666667,42,away,30
Gonzalo Montiel,,,gonzalo-montiel,G. Montiel,D,9289,M,gonzalo_montiel29,822933,"{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",48.7984375,16.1765625,64,away,4
Ryan Yates,,,ryan-yates,R. Yates,M,881,M,,846252,"{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",53.455555555556,33.968518518519,54,away,22
Callum Hudson-Odoi,,,callum-hudson-odoi,C. Hudson-Odoi,M,9379,M,Calteck10,867442,"{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",66.6,78.242647058824,68,away,7
Chris Wood,,,chris-wood,C. Wood,F,7744,M,wodsy39,50480,"{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",64.892452830189,60.318867924528,53,away,11
Murillo,Murillo,,murillo,Murillo,D,9796,M,murillosantiago40,1199282,"{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",36.809230769231,65.593846153846,65,away,5
Danilo,,,danilo,Danilo,M,4572,M,Danilo,1064039,"{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",49.349315068493,64.654794520548,73,away,35
Orel Mangala,,,orel-mangala,O. Mangala,M,1539,M,,793988,"{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",54.86,53.73125,80,away,20
Nuno Tavares,,,nuno-tavares,N. Tavares,D,4988,M,nuno_tavares71,944973,"{'nameTranslation': {'ar': 'نونو تافاريس', 'hi': 'नूनो तवारेस', 'bn': 'নুনো টাভারেস'}, 'shortNameTranslation': {'ar': 'ن. تافاريس', 'hi': 'एन. तवारेस', 'bn': 'এন. টাভারেস'}}",54.689690721649,85.418556701031,97,away,17
Andrew Omobamidele,,,andrew-omobamidele,A. Omobamidele,D,706,M,,983066,"{'nameTranslation': {'ar': 'أندرو أوموباميديلي', 'hi': 'एंड्रयू ओमोबामिडेले', 'bn': 'অ্যান্ড্রু ওমোবামিডেলে'}, 'shortNameTranslation': {'ar': 'أ. أوموباميديلي', 'hi': 'ए. ओमोबामिडेले', 'bn': 'এ. ওমোবামিডেলে'}}",33.5625,38.653571428571,56,away,20
