name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelWon,outfielderBlock,interceptionWon,wasFouled,totalTackle,wonTackle,aerialLost,duelLost,challengeLost,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,goals,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,goalAssist,totalCross,accurateCross,dispossessed,unsuccessfulTouch,shotOffTarget,bigChanceCreated,bigChanceMissed,hitWoodwork,sofascoreId,savedShotsFromInsideTheBox,totalOffside
Mark Flekken,mark-flekken,M. Flekken,G,1,194.0,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",48.0,38.0,20.0,11.0,31.0,33.0,7.0,15.0,1.0,6.0,1.0,1.0,1.0,90.0,54.0,6.5,11.0,0.0033287,"{'original': 6.5, 'alternative': 6.1}",0,-1.0957,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193.0,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",49.0,39.0,5.0,1.0,30.0,34.0,9.0,15.0,4.0,4.0,,,,90.0,67.0,6.6,10.0,0.0101918,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194.0,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",50.0,39.0,3.0,2.0,34.0,43.0,5.0,7.0,6.0,3.0,,,,90.0,61.0,6.8,11.0,0.0612405,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,6.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Mee,ben-mee,B. Mee,D,15,180.0,600,M,137774,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,622339200,"{'value': 460000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",49.0,38.0,10.0,6.0,21.0,22.0,17.0,27.0,5.0,7.0,,,,90.0,74.0,8.0,12.0,0.00836256,"{'original': 8, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1277,0.1975,1.0,,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184.0,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",32.0,18.0,3.0,1.0,7.0,12.0,12.0,25.0,4.0,2.0,,,,89.0,55.0,6.9,22.0,0.0278338,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,,1.0,,2.0,1.0,1.0,5.0,1.0,2.0,2.0,,,,2.0,,,1.0,Mads,Roerslev,1.0,5.0,1.0,1.0,2.0,,,,,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180.0,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",32.0,19.0,2.0,,6.0,9.0,13.0,24.0,,5.0,,,,74.0,41.0,6.4,14.0,0.00924887,"{'original': 6.4, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,4.0,,2.0,2.0,,,1.0,6.0,4.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184.0,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",61.0,51.0,8.0,4.0,33.0,37.0,18.0,24.0,2.0,6.0,,,,90.0,72.0,7.2,10.0,0.0114845,"{'original': 7.2, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,,3.0,,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,1.0,0.052,,1.0,,,,,,,,1.0,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180.0,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",44.0,43.0,5.0,4.0,25.0,25.0,22.0,26.0,,4.0,,,,89.0,67.0,7.3,9.0,0.390795,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,,,1.0,,1.0,9.0,4.0,1.0,,1.0,,,1.0,0.0306,0.0326,2.0,,,1.0,7.0,4.0,2.0,,,1.0,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170.0,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",15.0,10.0,2.0,,3.0,4.0,7.0,11.0,1.0,1.0,,,,89.0,27.0,6.4,7.0,0.00686738,"{'original': 6.4, 'alternative': 6.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,1.0,1.0,2.0,2.0,2.0,3.0,,,,1.0,,,,0.5919,0.234,,,,,,,1.0,1.0,2.0,,2.0,1.0,,,
Neal Maupay,neal-maupay,N. Maupay,F,9,171.0,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",15.0,11.0,,,7.0,9.0,4.0,6.0,,2.0,,,,74.0,27.0,7.2,8.0,0.0223951,"{'original': 7.2, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,,,2.0,2.0,1.0,2.0,6.0,1.0,2.0,,1.0,1.0,1.0,,0.2679,0.4567,,,,,,,1.0,1.0,,,,,,,
