name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,onTargetScoringAttempt,totalClearance,outfielderBlock,totalTackle,fouls,expectedGoals,keyPass,dispossessed,interceptionWon,wonTackle,unsuccessfulTouch,wasFouled,expectedGoalsOnTarget,bigChanceCreated,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,accurateCross,bigChanceMissed,goals,totalOffside,firstName,lastName,goalAssist,punches,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,errorLeadToAGoal,clearanceOffLine
David Raya,david-raya,D. Raya,G,1,183,25247,M,d_raya1,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",30.0,18.0,13.0,1.0,17.0,18.0,1.0,12.0,7.0,1.0,1.0,1.0,90.0,37.0,6.9,12.0,0.00077441,"{'original': 6.9, 'alternative': 7.1}",0,0.0575,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",48.0,46.0,1.0,,16.0,16.0,30.0,33.0,1.0,,,,90.0,58.0,7.4,3.0,0.0429389,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0294,1.0,,,,,,,,,,,,,,,,,,,,,,,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",65.0,64.0,3.0,3.0,45.0,45.0,19.0,20.0,10.0,,,,90.0,77.0,7.3,5.0,0.0140179,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,3.0,4.0,,,2.0,1.0,2.0,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,45357,M,GabrielMagalhães,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",49.0,42.0,5.0,1.0,24.0,26.0,18.0,23.0,1.0,,,,90.0,54.0,7.2,7.0,0.0506708,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,3.0,,1.0,1.0,,1.0,,0.0624,,,1.0,,,,0.0375,,,,,,,,,,,,,,,,,,
Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,35,175,17817,M,OZinchenko,287643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,850608000,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'hi': 'ओलेक्सांद्र ज़िनचेंको', 'bn': 'অলেক্সান্ডার জিনচেনকো'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'hi': 'ओ. ज़िनचेंको', 'bn': 'ও. জিনচেনকো'}}",50.0,42.0,2.0,1.0,11.0,13.0,31.0,37.0,1.0,,,,89.0,64.0,7.4,9.0,0.0551959,"{'original': 7.4, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,4.0,3.0,2.0,,,,1.0,,,2.0,1.0,4.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,81763,M,Ødegaard,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",59.0,55.0,2.0,1.0,16.0,16.0,39.0,43.0,4.0,,,,90.0,74.0,7.8,9.0,0.120901,"{'original': 7.8, 'alternative': 7.2}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,7.0,4.0,1.0,1.0,,,,2.0,0.4383,4.0,3.0,,,1.0,,0.2698,,5.0,4.0,2.0,2.0,,,,,,,,,,,,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",58.0,53.0,3.0,3.0,17.0,17.0,37.0,42.0,4.0,,,,90.0,70.0,7.2,7.0,0.0930202,"{'original': 7.2, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,5.0,4.0,,1.0,1.0,,2.0,1.0,0.1073,,1.0,3.0,1.0,,,0.2205,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,
Kai Havertz,kai-havertz,K. Havertz,F,29,193,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",30.0,28.0,1.0,1.0,7.0,7.0,21.0,23.0,4.0,,,,89.0,41.0,7.5,2.0,0.0449336,"{'original': 7.5, 'alternative': 7.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,5.0,2.0,,1.0,,,,2.0,0.7534,,,2.0,,,1.0,0.7328,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,
Bukayo Saka,bukayo-saka,B. Saka,F,7,178,187094,M,BSaka7,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",39.0,34.0,,,5.0,5.0,30.0,37.0,3.0,,,,89.0,63.0,8.1,12.0,0.65682,"{'original': 8.1, 'alternative': 7.7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,3.0,7.0,,1.0,,,1.0,1.0,0.2264,3.0,1.0,,,3.0,4.0,0.0771,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,76694,M,GabrielJesus,794839,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,860025600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}",36.0,36.0,,,11.0,11.0,25.0,25.0,1.0,,,,81.0,49.0,7.9,7.0,0.0536212,"{'original': 7.9, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,2.0,,2.0,,,,1.0,0.4562,2.0,1.0,,,5.0,1.0,0.067,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,
