name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,hitWoodwork,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,expectedGoals,keyPass,aerialLost,aerialWon,bigChanceMissed,blockedScoringAttempt,outfielderBlock,unsuccessfulTouch,onTargetScoringAttempt,expectedGoalsOnTarget,goals,punches,errorLeadToAShot,totalOffside
Nick Pope,,,nick-pope,N. Pope,G,1,198,4568,M,npope29,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",18.0,13.0,9.0,4.0,12.0,13.0,1.0,5.0,2.0,1.0,1.0,1.0,86.0,22.0,6.8,5.0,0.00012149,"{'original': 6.8, 'alternative': 6.7}",0,0.1663,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8611,M,ktrippier2,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",74.0,56.0,9.0,3.0,16.0,20.0,42.0,63.0,8.0,,,,90.0,113.0,8.7,27.0,0.803038,"{'original': 8.7, 'alternative': 8.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,9.0,2.0,6.0,6.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,0.1072,6.0,,,,,,,,,,,,
Jamaal Lascelles,,,jamaal-lascelles,J. Lascelles,D,6,188,970,M,,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",53.0,48.0,4.0,1.0,28.0,29.0,20.0,24.0,7.0,,,,90.0,60.0,7.2,5.0,0.0233694,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,2.0,9.0,,,,,,1.0,,2.0,,1.0,1.0,,1.0,0.2243,,1.0,8.0,1.0,,,,,,,,,
Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3205,M,,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",61.0,51.0,11.0,6.0,25.0,26.0,26.0,35.0,3.0,,,,90.0,73.0,7.8,11.0,0.228454,"{'original': 7.8, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,5.0,,1.0,1.0,1.0,,3.0,,2.0,1.0,,,1.0,1.0,0.1853,,1.0,3.0,,1.0,1.0,,,,,,,
Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4844,M,,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",46.0,39.0,4.0,2.0,17.0,21.0,23.0,27.0,9.0,,,,90.0,63.0,7.5,11.0,0.075717,"{'original': 7.5, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,2.0,6.0,,2.0,3.0,3.0,,,,,1.0,,,2.0,,,1.0,,1.0,,,,1.0,,,,,,
Lewis Miley,Lewis Miley,,lewis-miley,L. Miley,M,67,188,3070,M,,1400650,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146441600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",39.0,35.0,,,10.0,11.0,25.0,29.0,7.0,,,,90.0,51.0,7.0,6.0,0.0445809,"{'original': 7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,3.0,4.0,1.0,1.0,,,,,,,2.0,3.0,3.0,,,0.2456,,1.0,1.0,1.0,1.0,,,,,,,,
Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,BrunoGuimarães,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",63.0,56.0,6.0,5.0,21.0,21.0,35.0,43.0,8.0,,,,90.0,86.0,8.0,11.0,0.157778,"{'original': 8, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,4.0,7.0,,1.0,1.0,1.0,,1.0,,1.0,,4.0,2.0,1.0,2.0,0.1019,3.0,1.0,1.0,,1.0,1.0,2.0,,,,,,
Joelinton,,,joelinton,Joelinton,M,7,186,9814,M,joelinton34,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",57.0,49.0,1.0,1.0,11.0,12.0,38.0,45.0,10.0,,,,90.0,84.0,8.4,14.0,0.218129,"{'original': 8.4, 'alternative': 8.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,5.0,15.0,1.0,,3.0,2.0,,,,1.0,3.0,3.0,3.0,5.0,,0.0799,3.0,3.0,5.0,,,2.0,4.0,1.0,0.0199,,,,
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8455,M,miguel_almiron,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",37.0,29.0,,,9.0,9.0,20.0,29.0,3.0,,,,90.0,53.0,7.4,13.0,0.0603415,"{'original': 7.4, 'alternative': 7.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,4.0,2.0,,2.0,2.0,,1.0,3.0,,1.0,,2.0,2.0,,,0.4708,1.0,,,,1.0,,,1.0,0.4678,,,,
Alexander Isak,,,alexander-isak,A. Isak,F,9,193,101689,M,AlexIsak,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",39.0,33.0,,,6.0,7.0,27.0,32.0,3.0,,,,90.0,50.0,6.9,10.0,0.742371,"{'original': 6.9, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,2.0,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,0.3436,1.0,2.0,,1.0,2.0,,2.0,,,,,,
