name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,blockedScoringAttempt,totalTackle,wonTackle,wasFouled,fouls,expectedGoals,firstName,lastName,aerialLost,totalClearance,interceptionWon,keyPass,dispossessed,shotOffTarget,unsuccessfulTouch,onTargetScoringAttempt,expectedGoalsOnTarget,totalOffside,accurateCross,bigChanceMissed,goals,goalAssist,bigChanceCreated,outfielderBlock,errorLeadToAGoal,errorLeadToAShot
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",39.0,28.0,19.0,25.0,27.0,12.0,4.0,,1.0,3.0,,,90.0,46.0,6.4,12.0,0.0003286,"{'original': 6.4, 'alternative': 6.3}",0,-0.7428,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",42.0,37.0,4.0,19.0,21.0,23.0,5.0,,,,,,90.0,69.0,7.0,7.0,0.0897736,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,19.0,2.0,,5.0,3.0,,2.0,2.0,,1.0,,,5.0,,,,,1.0,3.0,1.0,,,,,,,1.0,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",66.0,57.0,8.0,47.0,55.0,11.0,8.0,,,,,,90.0,75.0,6.0,10.0,0.00511279,"{'original': 6, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,10.0,,1.0,1.0,3.0,,1.0,1.0,,1.0,,,,,,,,4.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0
Tim Ream,tim-ream,T. Ream,D,3,185,550,M,,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",56.0,55.0,6.0,36.0,37.0,19.0,6.0,,,,,,90.0,67.0,7.1,3.0,0.00591711,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,6.0,19.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,3.0,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",48.0,39.0,7.0,24.0,28.0,25.0,4.0,,,,,,90.0,87.0,7.3,17.0,0.00925173,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,15.0,5.0,,4.0,9.0,1.0,5.0,3.0,,4.0,1.0,2.0,1.0,,,,,1.0,5.0,,,,1.0,,,1.0,,,,,,,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",30.0,26.0,1.0,14.0,16.0,14.0,3.0,,,,,,72.0,37.0,6.3,8.0,0.012557,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,12.0,,,5.0,,1.0,,,,,,,1.0,0.0162,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,1.0,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,Palhinha,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",32.0,27.0,9.0,14.0,15.0,17.0,6.0,,,,,,82.0,53.0,7.5,9.0,0.0148251,"{'original': 7.5, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,13.0,,1.0,6.0,9.0,2.0,2.0,,,7.0,6.0,1.0,2.0,0.071,,,,1.0,1.0,,,1.0,1.0,1.0,0.3668,,,,,,,1.0,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",14.0,10.0,1.0,4.0,4.0,11.0,3.0,,,,,,62.0,30.0,6.5,10.0,0.00385685,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,1.0,,5.0,4.0,,2.0,,,4.0,3.0,,2.0,0.0087,,,1.0,2.0,,,,1.0,3.0,,,1.0,,,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,andreaspereira,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",12.0,9.0,1.0,4.0,5.0,11.0,1.0,,,,,,45.0,20.0,6.7,6.0,0.0620551,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,7.0,4.0,,3.0,1.0,1.0,,,,,,1.0,,,,,2.0,,,2.0,,,1.0,,,1.0,2.0,,,,,,,
Willian,willian,Willian,F,88,175,9705,M,willianborges88,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",45.0,37.0,3.0,13.0,17.0,33.0,8.0,,,,,,90.0,67.0,6.7,20.0,0.15284,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,25.0,5.0,,10.0,5.0,2.0,2.0,1.0,,,,4.0,1.0,,,,1.0,,1.0,3.0,5.0,,1.0,,,,1.0,,,,,,,
Carlos Vinícius,carlos-vinicius,C. Vinícius,F,95,190,4988,M,,891920,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,796089600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلوس فينيسيوس', 'hi': 'कार्लोस विनीसियस', 'bn': 'কার্লোস ভিনিসিয়াস'}, 'shortNameTranslation': {'ar': 'ك. فينيسيوس', 'hi': 'सी. विनीसियस', 'bn': 'সি. ভিনিসিয়াস'}}",7.0,3.0,,3.0,4.0,3.0,2.0,,,,,,45.0,14.0,6.6,6.0,2.041e-05,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,2.0,,2.0,1.0,,,,,,0.0671,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,alexanderiwobi,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",23.0,22.0,1.0,13.0,14.0,10.0,5.0,,,,,,45.0,29.0,6.8,4.0,0.172733,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,9.0,1.0,,,,,,,1.0,,,,,0.0351,,,,,1.0,1.0,,,2.0,,,1.0,,,,,,,,
Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,16724,M,RJimenez9,192442,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,673401600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راؤول خيمينيز', 'hi': 'राउल जिमेनेज़', 'bn': 'রাউল জিমেনেজ'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'hi': 'आर. जिमेनेज़', 'bn': 'আর. জিমেনেজ'}}",8.0,4.0,,3.0,4.0,4.0,1.0,,,,,,45.0,15.0,6.4,9.0,0.0189071,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,1.0,2.0,2.0,,1.0,,,,,1.0,1.0,0.4542,,,,,,1.0,,,2.0,1.0,0.242,,,1.0,,,,,,
Harry Wilson,harry-wilson,H. Wilson,M,8,173,4052,M,,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",10.0,8.0,2.0,3.0,4.0,6.0,3.0,,,,,,28.0,16.0,7.3,2.0,0.211944,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,5.0,,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,0.3054,,,,,,1.0,,,,,,1.0,,,,,1.0,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",19.0,18.0,,16.0,16.0,4.0,2.0,,,,,,18.0,22.0,6.5,3.0,0.00070234,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,1.0,,2.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",12.0,11.0,,6.0,7.0,5.0,,,,,,,8.0,16.0,7.1,1.0,0.00542787,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,5.0,,,,2.0,,1.0,1.0,,,,1.0,,0.0698,,,,,,,,,,1.0,0.3246,,,,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177,1471,M,,788170,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,852249600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فودي بالو توريه', 'hi': 'फ़ोडे बल्लो-टूरे', 'bn': 'ফোডে ব্যালো-টোরে'}, 'shortNameTranslation': {'ar': 'ف. بالو توريه', 'hi': 'एफ. बल्लो-टूरे', 'bn': 'এফ. বাল্লো-টোরে'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc De Fougerolles,luc-de-fougerolles,L. D. Fougerolles,D,44,183,315,M,,1413129,"{'alpha2': 'CA', 'alpha3': 'CAN', 'name': 'Canada', 'slug': 'canada'}",EUR,1129075200,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك دي فوغيرول'}, 'shortNameTranslation': {'ar': 'ل. دي فوغيرول'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4513,M,RodrigoMuniz019,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
