name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalTackle,wonTackle,sofascoreId,interceptionWon,wasFouled,fouls,firstName,lastName,unsuccessfulTouch,totalOffside,totalContest,wonContest,dispossessed,onTargetScoringAttempt,goals,expectedGoals,expectedGoalsOnTarget,keyPass,shotOffTarget,goalAssist,bigChanceCreated,blockedScoringAttempt,hitWoodwork,errorLeadToAShot,outfielderBlock
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",43.0,40.0,5.0,2.0,40.0,40.0,3.0,1.0,8.0,1.0,1.0,1.0,3.0,3.0,90.0,49.0,7.2,3.0,0.00015361,"{'original': 7.2, 'alternative': 7.4}",0,0.0392,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",46.0,37.0,7.0,3.0,18.0,23.0,25.0,1.0,4.0,,,,,,90.0,62.0,6.9,10.0,0.0414052,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,20.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",85.0,74.0,4.0,2.0,50.0,56.0,29.0,2.0,,,,,,,90.0,90.0,7.2,11.0,0.00558612,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,24.0,,,1.0,4.0,2.0,6.0,,1.0,1.0,tosinadarabioyo,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",90.0,84.0,14.0,10.0,58.0,59.0,31.0,,6.0,,,,,,90.0,96.0,7.5,7.0,0.0156892,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,26.0,,,1.0,2.0,1.0,5.0,,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",50.0,41.0,4.0,3.0,21.0,22.0,30.0,2.0,3.0,,,,,,75.0,66.0,7.3,13.0,0.0172991,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,20.0,2.0,,,1.0,2.0,6.0,2.0,4.0,3.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",44.0,37.0,4.0,2.0,25.0,27.0,17.0,1.0,7.0,,,,,,79.0,59.0,7.4,9.0,0.00620136,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,,,,2.0,3.0,9.0,1.0,7.0,6.0,Palhinha,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",102.0,98.0,5.0,5.0,43.0,43.0,60.0,,7.0,,,,,,90.0,118.0,8.4,9.0,0.0849436,"{'original': 8.4, 'alternative': 8.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,55.0,1.0,,1.0,,4.0,6.0,,3.0,3.0,,,2.0,2.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,0.2677,0.447,2.0,,,,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",45.0,37.0,2.0,2.0,7.0,9.0,39.0,,3.0,,,,,,75.0,63.0,8.8,17.0,0.0674765,"{'original': 8.8, 'alternative': 8.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,30.0,3.0,,2.0,,6.0,1.0,,1.0,1.0,alexanderiwobi,3.0,,,,,2.0,,1.0,,3.0,2.0,2.0,0.6137,1.1879,1.0,1.0,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",69.0,61.0,7.0,5.0,15.0,17.0,56.0,,5.0,,,,,,90.0,87.0,9.4,15.0,0.492332,"{'original': 9.4, 'alternative': 9.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,47.0,4.0,1.0,1.0,,2.0,4.0,,2.0,2.0,andreaspereira,,1.0,,,,2.0,,1.0,1.0,1.0,,,0.093,,4.0,1.0,2.0,2.0,1.0,1.0,,
Willian,willian,Willian,F,88,175,9705,M,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",52.0,46.0,1.0,1.0,11.0,13.0,39.0,,6.0,,,,,,63.0,58.0,7.4,9.0,0.333254,"{'original': 7.4, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,35.0,,,,,2.0,,,,,willianborges88,,,1.0,,,2.0,,,,1.0,,,,,2.0,,1.0,1.0,,,,
