Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,Tckl,Int,PsInA3rd,Passes in the Final Third,HighTOEndGoal,HighTOEndShot,HighTurnoversOP,HighTurnovers,PPDA,Sequences,Seq9+Pass,AvgSeqPass,DirectSpeed,Pass%,PsCmp,PsAtt,BgChncCrtd,BgChnc,TchsA3%,TchsA3,TouchOpBox,FldTilt,Poss%,xGOT,xG Diff,xG,Goal,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
7,3cwjdmekfdouwg990mqdq9fh0,835,Paraguay,Paraguay,PAR,Paraguay,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,21,10,156,14,0,1,4,7,12.34,133,4,2.5,1.33,72.7%,232,319,1,1,10.7%,54,11,19.5%,35.0%,0.42,-0.89,0.53,1,835,1,USA vs PAR,false,true,false,false,true,2026-06-13,49wa9ymnt0trv2mjruak556ok,9vh2u1p4ppm597tjfahst2m3n,596,596,Paraguay,United States,USA,1,4,Played,L 1-4,2608247,USA vs PAR (2026-06-13)
7,avggs3u2b5cu8i1dnzknhth52,1057,Morocco,Morocco,MAR,Morocco,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,26,5,61,93,0,4,9,12,19.14,141,15,3.6,0.53,86.2%,419,486,1,2,27.2%,188,13,60.6%,48.5%,0.74,0.11,1.37,1,1057,1,BRA vs MAR,false,true,false,true,false,2026-06-13,ar8b186wqraa80u0vpi2e4nis,ajab3nmpoltsoeqcuoyi4pwzx,614,614,Morocco,Brazil,BRA,1,1,Played,T 1-1,2608245,BRA vs MAR (2026-06-13)
13,39d8zamp9tvg3wc51jxc2a1c0,1221,Côte d'Ivoire,Côte d'Ivoire,CIV,Côte d'Ivoire,#FF9900,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,14,11,72,82,0,4,8,8,21.89,137,16,3.6,1.40,84.5%,397,470,1,2,22.9%,152,39,51.3%,48.5%,1.22,0.51,1.52,1,1221,1,CIV vs ECU,true,false,true,false,false,2026-06-14,ddupm8zbfndp54r8uru3obf9w,2j2402oabiovxw24cnjk9m369,830,830,Côte d'Ivoire,Ecuador,ECU,1,0,Played,W 1-0,2608250,CIV vs ECU (2026-06-14)
13,3l2t2db0c5ow2f7s7bhr6mij4,357,Germany,Germany,GER,Germany,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,19,12,41,161,0,3,12,15,6.06,142,25,4.7,1.40,87.0%,554,637,5,6,33.9%,276,64,78.6%,64.7%,5.24,3.81,4.22,7,357,1,GER vs CUW,true,false,true,false,false,2026-06-14,cjc09ujyfc1ks4blsyl8hbfv8,3csexoalt9hfesmo2p4619ga4,6512,6512,Germany,Curaçao,CUW,7,1,Played,W 7-1,2608249,GER vs CUW (2026-06-14)
13,657oha8nkne1ybba2bouzkbo7,366,Netherlands,Netherlands,NED,Netherlands,#FF6600,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,11,7,79,86,0,2,5,5,17.07,111,24,5.0,0.99,88.4%,463,524,0,0,28.7%,196,33,59.4%,59.5%,2.16,0.20,0.78,2,366,1,NED vs JPN,true,false,false,true,false,2026-06-14,424kyd0drjm51x8dsauowgpp0,6duaxcbrofil112qfq4v895go,1266,1266,Netherlands,Japan,JPN,2,2,Played,T 2-2,2608251,NED vs JPN (2026-06-14)
13,9s2kpeunkes0g17l95r3t91j6,362,Türkiye,Türkiye,TUR,Türkiye,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,12,4,39,245,0,6,9,11,10.00,145,30,5.1,1.33,90.2%,635,704,2,2,42.4%,387,51,82.1%,71.3%,1.46,0.18,1.36,0,362,1,AUS vs TUR,false,true,false,false,true,2026-06-14,5d1c5lu90p9hhk82c0kcp05qs,bl4fd8cxe6kjvjx8br82gkhnq,575,575,Türkiye,Australia,AUS,0,2,Played,L 0-2,2608248,AUS vs TUR (2026-06-14)
13,2j2402oabiovxw24cnjk9m369,830,Ecuador,Ecuador,ECU,Ecuador,#FFFF00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,21,13,91,57,0,4,9,13,8.61,133,21,3.9,0.89,85.2%,419,492,1,1,20.5%,137,16,48.7%,51.5%,0.03,-0.51,1.01,0,830,1,CIV vs ECU,false,true,false,false,true,2026-06-14,ddupm8zbfndp54r8uru3obf9w,39d8zamp9tvg3wc51jxc2a1c0,1221,1221,Ecuador,Côte d'Ivoire,CIV,0,1,Played,L 0-1,2608250,CIV vs ECU (2026-06-14)
13,151psmk1h1c846f2lqmflkx75,1327,Haiti,Haiti,HAI,Haiti,#0000FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,12,6,49,58,0,6,8,9,9.36,123,11,3.8,1.47,85.4%,368,431,0,1,24.2%,147,22,57.8%,53.0%,0.22,-0.00,1.05,0,1327,1,HAI vs SCO,true,false,false,false,true,2026-06-14,cydmo9vjfyvaefav6t1531xck,bcllqlzvj9j7opjene2zvran7,115,115,Haiti,Scotland,SCO,0,1,Played,L 0-1,2608246,HAI vs SCO (2026-06-14)
13,bl4fd8cxe6kjvjx8br82gkhnq,575,Australia,Australia,AUS,Australia,#FFCC00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,15,7,273,30,0,1,5,6,20.69,116,7,2.6,1.28,74.2%,201,271,1,1,19.7%,98,18,17.9%,28.7%,1.08,-0.18,1.18,2,575,1,AUS vs TUR,true,false,true,false,false,2026-06-14,5d1c5lu90p9hhk82c0kcp05qs,9s2kpeunkes0g17l95r3t91j6,362,362,Australia,Türkiye,TUR,2,0,Played,W 2-0,2608248,AUS vs TUR (2026-06-14)
13,bcllqlzvj9j7opjene2zvran7,115,Scotland,Scotland,SCO,Scotland,#0000CC,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,12,6,74,35,0,2,3,8,13.33,121,13,3.4,1.75,82.1%,307,374,1,2,18.9%,103,21,42.2%,47.0%,1.18,0.00,1.05,1,115,1,HAI vs SCO,false,true,true,false,false,2026-06-14,cydmo9vjfyvaefav6t1531xck,151psmk1h1c846f2lqmflkx75,1327,1327,Scotland,Haiti,HAI,1,0,Played,W 1-0,2608246,HAI vs SCO (2026-06-14)
