name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,firstName,lastName,sofascoreId
Joe White,joe-white,J. White,M,30,183,M,994550,"{'nameTranslation': {'ar': 'جو وايت', 'hi': 'जो व्हाइट', 'bn': 'জো হোয়াইট'}, 'shortNameTranslation': {'ar': 'ج. وايت', 'hi': 'जे. व्हाइट', 'bn': 'জে. হোয়াইট'}}",57.785714285714,75.628571428571,7,home,,,
Jacob Murphy,jacob-murphy,J. Murphy,F,23,3550,M,372336,"{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",59.113043478261,45.378260869565,23,home,,,
Matt Ritchie,matt-ritchie,M. Ritchie,M,30,305,M,42699,"{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",68.1875,27.725,8,home,,,
Valentino Livramento,valentino-livramento,V. Livramento,D,21,4844,M,980634,"{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",48.192857142857,82.657142857143,28,home,,,
Miguel Almirón,miguel-almiron,M. Almirón,M,10,8455,M,333373,"{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",65.882692307692,32.859615384615,52,home,,,miguel_almiron
Martin Dúbravka,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,"{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",10.408888888889,49.711111111111,45,home,,,
Harvey Barnes,harvey-barnes,H. Barnes,F,11,5075,M,855647,"{'nameTranslation': {'ar': 'هارفي بارنز', 'hi': 'हार्वे बार्न्स', 'bn': 'হার্ভে বার্নস'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'hi': 'एच. बार्न्स', 'bn': 'এইচ. বার্নস'}}",54.9,71.9,48,home,,,
Dan Burn,dan-burn,D. Burn,D,33,4399,M,99090,"{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",42.875438596491,82.612280701754,57,home,,,
Sean Longstaff,sean-longstaff,S. Longstaff,M,8,1640,M,866191,"{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",48.184210526316,48.405263157895,57,home,,,
Kieran Trippier,kieran-trippier,K. Trippier,D,2,8611,M,69256,"{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",46.634343434343,22.521212121212,99,home,,,ktrippier2
