name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAShot,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialLost,aerialWon,interceptionWon,firstName,lastName,dispossessed,onTargetScoringAttempt,totalOffside,shotOffTarget,blockedScoringAttempt,punches,totalKeeperSweeper,accurateKeeperSweeper,goalAssist,bigChanceCreated,goals,bigChanceMissed
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",33.0,24.0,15.0,6.0,23.0,26.0,1.0,7.0,8.0,,1.0,3.0,90.0,42.0,7.4,9.0,0.0,0.0,0.00016346,"{'original': 7.4, 'alternative': 7.6}",0,0.2642,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",54.0,47.0,3.0,1.0,22.0,26.0,25.0,28.0,6.0,,,,90.0,82.0,7.7,7.0,0.0873,0.0,0.0355042,"{'original': 7.7, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,4.0,1.0,,,3.0,1.0,3.0,3.0,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",38.0,37.0,,,24.0,25.0,13.0,13.0,4.0,,,,90.0,53.0,7.7,1.0,0.0,0.0,0.00346745,"{'original': 7.7, 'alternative': 7.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,7.0,,,,6.0,,5.0,3.0,,,,,,2.0,3.0,,,,,,,,,,,,,,
Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,mickyvdven,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",73.0,69.0,2.0,,56.0,60.0,13.0,13.0,4.0,,,,90.0,86.0,7.4,4.0,0.0,0.0,0.00376265,"{'original': 7.4, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,3.0,,1.0,1.0,7.0,1.0,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,udogiethree,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",36.0,33.0,1.0,1.0,17.0,17.0,16.0,19.0,8.0,,,,82.0,57.0,7.3,9.0,0.0,0.0,0.342584,"{'original': 7.3, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,8.0,6.0,1.0,2.0,1.0,4.0,,,,1.0,3.0,4.0,1.0,1.0,2.0,,,,1.0,,,,,,,,1.0,1.0,,
Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,pape,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",27.0,24.0,1.0,1.0,9.0,11.0,15.0,16.0,4.0,,,,59.0,37.0,7.4,6.0,0.0688,0.1509,0.40681,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,3.0,2.0,1.0,,1.0,,2.0,1.0,2.0,,2.0,2.0,2.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,
Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,14766,M,YB8,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",38.0,33.0,1.0,1.0,15.0,17.0,18.0,21.0,6.0,,,,74.0,65.0,7.7,12.0,0.0471,0.0911,0.124176,"{'original': 7.7, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,9.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,
Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,dejan_k10,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",26.0,21.0,,,4.0,5.0,17.0,22.0,2.0,,,,90.0,40.0,7.7,8.0,0.3505,0.9702,0.193969,"{'original': 7.7, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,6.0,5.0,3.0,2.0,2.0,,,2.0,,,1.0,1.0,2.0,,,2.0,,,2.0,1.0,,,1.0,,,,,,1.0,
James Maddison,james-maddison,J. Maddison,M,10,175,16399,M,Madders,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",32.0,29.0,3.0,2.0,14.0,14.0,17.0,23.0,4.0,,,,73.0,57.0,8.3,11.0,1.0809,1.502,0.441297,"{'original': 8.3, 'alternative': 8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,2.0,6.0,7.0,1.0,2.0,2.0,1.0,,,,1.0,5.0,,1.0,1.0,,1.0,,,4.0,2.0,,1.0,1.0,,,,,1.0,1.0,1.0
Heung-min Son,heung-min-son,H. M. Son,F,7,184,126618,M,HMSon,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",39.0,33.0,,,7.0,7.0,26.0,34.0,3.0,,,,90.0,53.0,8.0,11.0,0.0472,0.0,0.288253,"{'original': 8, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,,2.0,4.0,1.0,3.0,2.0,1.0,,,,2.0,2.0,,4.0,,,1.0,,,,,,2.0,,,,,,1.0,,
Richarlison,richarlison,Richarlison,F,9,184,46727,M,Richarlison,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",13.0,10.0,,,6.0,7.0,4.0,6.0,1.0,,,,60.0,29.0,6.3,11.0,0.2623,0.1521,0.0449921,"{'original': 6.3, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,8.0,4.0,1.0,2.0,1.0,,,,,4.0,1.0,1.0,,3.0,2.0,,,,2.0,1.0,,1.0,,,,,,,,1.0
Ivan Perišić,ivan-perisic,I. Perišić,M,5,187,17688,M,ivanperisic444,38710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,602380800,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان بيريشيتش', 'hi': 'इवान पेरिसिच', 'bn': 'ইভান পেরিসিচ'}, 'shortNameTranslation': {'ar': 'إ. بيريسيتش', 'hi': 'आई. पेरिसिच', 'bn': 'আই. পেরিসিচ'}}",20.0,18.0,1.0,1.0,7.0,7.0,11.0,15.0,1.0,,,,31.0,30.0,6.9,6.0,0.0352,0.0,0.0186913,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,4.0,3.0,2.0,2.0,1.0,,,2.0,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",43.0,40.0,,,23.0,24.0,17.0,19.0,3.0,,,,30.0,49.0,7.0,4.0,0.0,0.0,0.225628,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,3.0,,2.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1368,M,,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",21.0,19.0,2.0,1.0,7.0,7.0,12.0,14.0,3.0,,,,17.0,22.0,6.8,2.0,0.0,0.0,0.00554224,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
Giovani Lo Celso,lo-celso-giovani,G. Lo Celso,M,20,177,16348,M,locelso_giovani,798835,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,829008000,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني لو سيلسو', 'hi': 'लो सेल्सो, जियोवानी', 'bn': 'লো সেলসো, জিওভানি'}, 'shortNameTranslation': {'ar': 'ج. لو سيلسو', 'hi': 'जी. सेल्सो,', 'bn': 'জি. লো সেলসো'}}",32.0,28.0,2.0,2.0,13.0,14.0,15.0,18.0,2.0,,,,16.0,33.0,7.0,4.0,0.0,0.0,0.022433,"{'original': 7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",12.0,12.0,,,5.0,5.0,7.0,7.0,2.0,,,,8.0,15.0,6.7,,0.1294,0.0,0.0118256,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Fraser Forster,fraser-forster,F. Forster,G,,201,1211,M,,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Royal,emerson-royal,E. Royal,D,22,183,9716,M,emerson_royal,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187,11997,M,DAVINSON,566102,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834537600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافينسون سانشيز', 'hi': 'डेविंसन सांचेज़', 'bn': 'ডেভিনসন সানচেজ'}, 'shortNameTranslation': {'ar': 'د. سانشيز', 'hi': 'डी. सांचेज़', 'bn': 'ডি. সানচেজ'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manor Solomon,manor-solomon,M. Solomon,M,6,167,4868,M,,862223,"{'alpha2': 'IL', 'alpha3': 'ISR', 'name': 'Israel', 'slug': 'israel'}",EUR,932774400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانور سولومون', 'hi': 'मनोर सोलोमन', 'bn': 'মনোর সলোমন'}, 'shortNameTranslation': {'ar': 'م. سولومون', 'hi': 'एम. सोलोमन', 'bn': 'এম. সলোমন'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
