name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAShot,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialLost,aerialWon,interceptionWon,firstName,lastName,dispossessed,onTargetScoringAttempt,totalOffside,shotOffTarget,blockedScoringAttempt,punches,totalKeeperSweeper,accurateKeeperSweeper,goalAssist,bigChanceCreated,goals,bigChanceMissed
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,Dom_Solanke,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",11.0,9.0,,,3.0,3.0,6.0,8.0,2.0,,,,90.0,22.0,6.5,7.0,0.065,0.0,0.041205,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,2.0,,3.0,,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",25.0,21.0,2.0,2.0,13.0,14.0,8.0,13.0,3.0,,,,45.0,36.0,7.1,7.0,0.0257,0.0,0.00960575,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,1.0,2.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,3.0,,,,,,1.0,,,,,,,,
Hamed Junior Traorè,hamed-junior-traore,H. J. Traorè,M,20,177,2881,M,,892924,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,950659200,"{'value': 14100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'حامد جونيور تراوري', 'hi': 'हामेद जूनियर ट्राओरे', 'bn': 'হামেদ জুনিয়র ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ح. ج. تراوري', 'hi': 'एच.जे. जूनियर', 'bn': 'এইচ. জে. ট্রাওরে'}}",11.0,7.0,,,1.0,1.0,6.0,12.0,1.0,,,,30.0,20.0,6.1,11.0,0.0,0.0,0.0110871,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,6.0,1.0,1.0,3.0,,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,
Jaidon Anthony,jaidon-anthony,J. Anthony,M,11,177,1071,M,,1020680,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944006400,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايدون أنتوني', 'hi': 'जैडॉन एंथनी', 'bn': 'জাইডন অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'ج. أنتوني', 'hi': 'जे. एंथनी', 'bn': 'জে. অ্যান্টনি'}}",15.0,15.0,1.0,1.0,5.0,5.0,10.0,12.0,3.0,,,,30.0,26.0,7.0,5.0,0.0683,0.0295,0.0238554,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,2.0,2.0,,1.0,1.0,,,,,2.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",12.0,9.0,,,2.0,2.0,7.0,10.0,3.0,,,,17.0,13.0,6.7,3.0,0.0,0.0,0.013568,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Kieffer Moore,kieffer-moore,K. Moore,F,19,195,1406,M,,298366,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,713232000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفر مور', 'hi': 'किफ़र मूर', 'bn': 'কিফার মুর'}, 'shortNameTranslation': {'ar': 'ك. مور', 'hi': 'के. मूर', 'bn': 'কে. মুর'}}",4.0,3.0,,,,,3.0,4.0,,,,,13.0,4.0,6.6,1.0,0.0,0.0,0.0109378,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Ionuț Radu,ionut-radu,I. Radu,G,13,188,3307,M,,815202,"{'alpha2': 'RO', 'alpha3': 'ROU', 'name': 'Romania', 'slug': 'romania'}",EUR,864777600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيونوت رادو', 'hi': 'इओनुट राडू', 'bn': 'আয়নাট রাডু'}, 'shortNameTranslation': {'ar': 'إ. رادو', 'hi': 'आई. राडू', 'bn': 'আই. রাদু'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Mepham,chris-mepham,C. Mepham,D,2,191,392,M,,865740,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,878688000,"{'value': 3300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Hill,james-hill,J. Hill,D,23,184,378,M,,1156586,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1010620800,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس هيل', 'hi': 'जेम्स हिल', 'bn': 'জেমস হিল'}, 'shortNameTranslation': {'ar': 'ج. هيل', 'hi': 'जे. हिल', 'bn': 'জে. হিল'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
