name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,sofascoreId,totalCross,duelLost,duelWon,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,aerialLost,aerialWon,totalClearance,unsuccessfulTouch,fouls,challengeLost,dispossessed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,accurateCross,goals,hitWoodwork,goalAssist,bigChanceCreated,goodHighClaim,savedShotsFromInsideTheBox,punches,errorLeadToAShot,bigChanceMissed
Carlton Morris,carlton-morris,C. Morris,F,9,185.0,1084,M,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",27.0,19.0,,,5.0,6.0,14.0,22.0,5.0,,,,90.0,43.0,8.1,12.0,0.0542736,"{'original': 8.1, 'alternative': 7.9}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,1.0,5.0,6.0,2.0,2.0,,,,,,1.0,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,0.6886,1.0561,,1.0,1.0,,,,,,,
Luke Berry,luke-berry,L. Berry,M,8,177.0,67,M,97465,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,710899200,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",6.0,3.0,,,,,3.0,6.0,2.0,,,,28.0,12.0,6.9,3.0,0.0526379,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,2.0,2.0,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,
Fred Onyedinma,fred-onyedinma,F. Onyedinma,M,44,185.0,115,M,370932,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,848793600,"{'value': 610000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريد أونيادينما'}, 'shortNameTranslation': {'ar': 'ف. أونيادينما'}}",8.0,5.0,,,,,6.0,10.0,1.0,,,,28.0,21.0,7.0,10.0,0.0312192,"{'original': 7, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,2.0,3.0,1.0,,,,,,,,,3.0,,3.0,,,1.0,1.0,2.0,,0.1188,0.1944,1.0,,,,,,,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184.0,116,M,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",7.0,5.0,,,1.0,1.0,6.0,8.0,,,,,10.0,14.0,7.6,2.0,0.283279,"{'original': 7.6, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,,3.0,,,,,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,2.0,,,1.0,1.0,,,,,
Tim Krul,tim-krul,T. Krul,G,,193.0,426,M,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Shea,james-shea,J. Shea,G,1,180.0,45,M,137789,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,677030400,"{'value': 115000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس شيا', 'hi': 'जेम्स शिया', 'bn': 'জেমস শিয়া'}, 'shortNameTranslation': {'ar': 'ج. شيا', 'hi': 'जे. शिया', 'bn': 'জে. শিয়া'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Johnson,joseph-johnson,J. Johnson,D,38,180.0,84,M,825550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1140480000,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيف جونسون', 'hi': 'जोसेफ जॉनसन', 'bn': 'জোসেফ জনসন'}, 'shortNameTranslation': {'ar': 'ج. جونسون', 'hi': 'जे. जॉनसन', 'bn': 'জে. জনসন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Piesold,axel-piesold,A. Piesold,M,6,,13,M,1468580,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1112227200,"{'value': 165000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسل بيزولد'}, 'shortNameTranslation': {'ar': 'أ. بيزولد'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Axel Piesold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zack Nelson,zack-nelson,Z. Nelson,M,37,183.0,81,M,1394950,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095984000,"{'value': 790000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زاك نيلسون', 'hi': 'जैक नेल्सन', 'bn': 'জ্যাক নেলসন'}, 'shortNameTranslation': {'ar': 'ز. نيلسون', 'hi': 'जे. नेल्सन', 'bn': 'জেড. নেলসন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Zack Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175.0,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
