name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,aerialLost,aerialWon,duelLost,challengeLost,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,accurateLongBalls,unsuccessfulTouch,keyPass,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,bigChanceCreated,blockedScoringAttempt,goalAssist,accurateCross,penaltyWon,outfielderBlock,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",20.0,14.0,5.0,14.0,16.0,4.0,1.0,3.0,1.0,1.0,2.0,90.0,26.0,6.3,6.0,0.0,0.0,3.296e-05,"{'original': 6.3, 'alternative': 6.4}",0,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",64.0,55.0,1.0,18.0,21.0,45.0,6.0,8.0,,,,90.0,83.0,7.0,12.0,0.0,0.0,0.0381975,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,37.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
Raphaël Varane,,,raphael-varane,R. Varane,D,,191,10416,M,raphael_varane,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",53.0,52.0,2.0,16.0,16.0,37.0,,7.0,,,,45.0,55.0,6.5,1.0,0.0,0.0,0.0283597,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,36.0,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51098,M,LichaMartínez,859999,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,885081600,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليساندرو مارتينيز', 'hi': 'लिसांड्रो मार्टिनेज', 'bn': 'লিসান্দ্রো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'ل. مارتينيز', 'hi': 'एल. मार्टिनेज', 'bn': 'এল. মার্টিনেজ'}}",83.0,77.0,6.0,26.0,27.0,58.0,2.0,5.0,,,,90.0,94.0,6.8,10.0,0.0,0.0,0.0378896,"{'original': 6.8, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,51.0,2.0,1.0,,3.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",66.0,59.0,7.0,17.0,18.0,49.0,5.0,12.0,1.0,,,90.0,89.0,7.1,10.0,0.0,0.0,0.0454849,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,42.0,1.0,,3.0,4.0,1.0,,,,7.0,2.0,1.0,,3.0,6.0,2.0,,,,,,,,,,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",91.0,77.0,8.0,26.0,28.0,63.0,8.0,8.0,,,,90.0,110.0,7.6,17.0,0.9995,1.0962,0.0642248,"{'original': 7.6, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,51.0,,4.0,2.0,8.0,3.0,,2.0,1.0,4.0,1.0,5.0,2.0,,3.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",62.0,50.0,2.0,20.0,23.0,43.0,1.0,8.0,,,,90.0,73.0,7.4,18.0,0.2778,0.9507,0.132494,"{'original': 7.4, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,30.0,4.0,1.0,,6.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",41.0,36.0,2.0,3.0,4.0,39.0,4.0,5.0,3.0,,,85.0,57.0,7.6,11.0,0.1869,0.6022,0.518857,"{'original': 7.6, 'alternative': 7.1}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,33.0,2.0,2.0,,6.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,2.0,4.0,,1.0,2.0,,,1.0,1.0,,,,,,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",72.0,55.0,9.0,8.0,12.0,71.0,7.0,6.0,2.0,,,90.0,107.0,8.9,34.0,1.2099,1.1788,0.553801,"{'original': 8.9, 'alternative': 8.4}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,48.0,11.0,1.0,1.0,9.0,,2.0,4.0,1.0,2.0,,3.0,2.0,3.0,6.0,1.0,3.0,1.0,2.0,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",33.0,28.0,3.0,5.0,6.0,28.0,4.0,2.0,1.0,,,90.0,51.0,7.5,16.0,0.1219,0.1993,0.582662,"{'original': 7.5, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,23.0,1.0,2.0,1.0,10.0,1.0,5.0,3.0,2.0,1.0,,,,1.0,1.0,4.0,2.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,
