minute,value
1.0,4
2.0,-30
3.0,30
4.0,55
5.0,21
6.0,1
7.0,-6
8.0,7
9.0,17
10.0,5
11.0,-43
12.0,-14
13.0,10
14.0,18
15.0,17
16.0,46
17.0,54
18.0,29
19.0,13
20.0,9
21.0,4
22.0,20
23.0,-30
24.0,-6
25.0,5
26.0,5
27.0,20
28.0,6
29.0,6
30.0,-38
31.0,-24
32.0,-19
33.0,-29
34.0,-22
35.0,-13
36.0,-1
37.0,2
38.0,1
39.0,34
40.0,19
41.0,-51
42.0,-26
43.0,-17
44.0,-9
45.0,48
45.5,-76
46.0,-9
47.0,-9
48.0,-2
49.0,4
50.0,6
51.0,10
52.0,23
53.0,4
54.0,4
55.0,28
56.0,-19
57.0,6
58.0,8
59.0,2
60.0,-3
61.0,-13
62.0,-29
63.0,-43
64.0,42
65.0,-11
66.0,4
67.0,12
68.0,10
69.0,45
70.0,56
71.0,37
72.0,41
73.0,21
74.0,4
75.0,6
76.0,9
77.0,31
78.0,21
79.0,26
80.0,79
81.0,45
82.0,27
83.0,19
84.0,14
85.0,6
86.0,29
87.0,17
88.0,52
89.0,31
90.0,19
90.5,13
