name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,ownGoals,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,goalAssist,totalCross,accurateCross,totalContest,wonContest,bigChanceCreated,bigChanceMissed,shotOffTarget,expectedGoals,keyPass,challengeLost,dispossessed,outfielderBlock,wasFouled,onTargetScoringAttempt,blockedScoringAttempt,goals,expectedGoalsOnTarget,savedShotsFromInsideTheBox,saves,totalOffside
Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5014,M,deanhenderson,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",25.0,16.0,10.0,2.0,15.0,17.0,1.0,8.0,6.0,1.0,1.0,1.0,90.0,30.0,5.3,10.0,0.00086491,"{'original': 5.3, 'alternative': 5.2}",0,-1.4187,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,674,M,,43215,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,670809600,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",70.0,59.0,8.0,2.0,40.0,45.0,19.0,25.0,1.0,,,,90.0,78.0,6.7,12.0,0.00610502,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,3.0,6.0,1.0,1.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,190,2408,M,,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",83.0,68.0,12.0,3.0,57.0,60.0,12.0,24.0,14.0,,,,90.0,94.0,7.1,16.0,0.311063,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,4.0,2.0,7.0,4.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3183,3.0,,,,,,,,,,,
Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",50.0,48.0,2.0,1.0,42.0,43.0,6.0,7.0,4.0,,,,90.0,57.0,6.4,3.0,0.00231313,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,2.0,5.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,11977,M,daniel.chitiva,870360,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833068800,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",69.0,60.0,1.0,1.0,24.0,30.0,36.0,40.0,6.0,,,,90.0,114.0,7.2,20.0,0.177887,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,12.0,10.0,2.0,3.0,8.0,4.0,3.0,3.0,,1.0,,4.0,,1.0,,,,2.0,,1.0,,,,,,,,,
Adam Wharton,,,adam-wharton,A. Wharton,M,20,182,5314,M,,1109771,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1076025600,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",53.0,46.0,1.0,1.0,27.0,31.0,20.0,23.0,6.0,,,,61.0,61.0,7.0,9.0,0.322061,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,4.0,,,4.0,3.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
Will Hughes,,,will-hughes,W. Hughes,M,19,185,1013,M,,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",53.0,49.0,3.0,2.0,26.0,28.0,23.0,26.0,,,,,81.0,64.0,7.4,7.0,0.0556549,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,6.0,,1.0,4.0,2.0,2.0,1.0,,1.0,,,,,,,,1.0,2.0,,1.0,2.0,,,,,,,
Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",44.0,35.0,4.0,3.0,19.0,25.0,16.0,19.0,8.0,,,,90.0,65.0,7.0,14.0,0.05071,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,5.0,,,4.0,3.0,2.0,,,,,2.0,1.0,,,2.0,0.0969,1.0,,2.0,,,,,,,,,
Michael Olise,,,michael-olise,M. Olise,M,17,185,65968,M,MOlise,978838,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1008115200,"{'value': 125000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",56.0,49.0,,,14.0,16.0,35.0,41.0,3.0,,,,68.0,77.0,8.9,16.0,0.393898,"{'original': 8.9, 'alternative': 8.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,7.0,7.0,,1.0,,,3.0,1.0,1.0,1.0,,5.0,2.0,2.0,,1.0,0.3157,2.0,1.0,2.0,,3.0,2.0,1.0,1.0,0.4823,,,
Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55112,M,eze,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",42.0,38.0,,,13.0,14.0,25.0,32.0,5.0,,,,81.0,71.0,8.5,18.0,0.16044,"{'original': 8.5, 'alternative': 8.4}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,6.0,,1.0,1.0,,3.0,1.0,1.0,4.0,,7.0,4.0,1.0,1.0,4.0,0.8412,2.0,1.0,4.0,,1.0,2.0,1.0,1.0,1.511,,,
