name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,aerialLost,duelLost,dispossessed,totalContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,hitWoodwork,totalClearance,interceptionWon,expectedGoals,keyPass,sofascoreId,challengeLost,unsuccessfulTouch,expectedGoalsOnTarget,clearanceOffLine,outfielderBlock,accurateCross,totalTackle,wonTackle,fouls,wonContest,wasFouled,bigChanceCreated,firstName,lastName,blockedScoringAttempt,totalOffside,goodHighClaim,savedShotsFromInsideTheBox,punches,totalKeeperSweeper,accurateKeeperSweeper
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",39.0,37.0,2.0,37.0,38.0,1.0,1.0,1.0,5.0,2.0,90.0,47.0,7.0,2.0,7.446e-05,"{'original': 7, 'alternative': 7.3}",0,0.1354,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",48.0,37.0,2.0,21.0,25.0,25.0,1.0,1.0,3.0,,90.0,70.0,7.3,17.0,0.0155881,"{'original': 7.3, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,16.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,0.2158,1.0,,,,,,,,,,,,,,,,,,,,,,
Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",62.0,54.0,9.0,42.0,47.0,15.0,4.0,4.0,3.0,,90.0,74.0,7.5,11.0,0.00631794,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,12.0,,4.0,5.0,,,,,1.0,,5.0,2.0,0.062,,tosinadarabioyo,1.0,1.0,0.2856,,,,,,,,,,,,,,,,,,
Issa Diop,issa-diop,I. Diop,D,31,194,855,M,825719,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,852768000,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى ديوب', 'hi': 'इस्सा डियोप', 'bn': 'ইসা ডিওপ'}, 'shortNameTranslation': {'ar': 'ع. ديوب', 'hi': 'आई. डियोप', 'bn': 'আই. ডিওপ'}}",87.0,79.0,4.0,61.0,66.0,21.0,,,3.0,,75.0,94.0,7.5,8.0,0.00531097,"{'original': 7.5, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,18.0,,2.0,2.0,,,,,,,4.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",60.0,48.0,12.0,31.0,37.0,28.0,1.0,2.0,4.0,,90.0,90.0,6.5,22.0,0.082645,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,20.0,5.0,2.0,12.0,2.0,4.0,,,1.0,,2.0,,0.0448,1.0,,1.0,1.0,0.1946,,,3.0,1.0,1.0,3.0,,,,,,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",45.0,35.0,3.0,24.0,25.0,20.0,1.0,9.0,3.0,,90.0,70.0,7.3,13.0,0.00494235,"{'original': 7.3, 'alternative': 7.1}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,11.0,,1.0,5.0,,4.0,1.0,3.0,1.0,,1.0,1.0,0.3364,,Palhinha,1.0,2.0,0.3839,,1.0,,3.0,2.0,2.0,3.0,2.0,,,,,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",104.0,97.0,9.0,42.0,43.0,64.0,1.0,5.0,6.0,,90.0,119.0,8.1,11.0,0.454605,"{'original': 8.1, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,5.0,56.0,3.0,,2.0,1.0,3.0,,1.0,,,1.0,1.0,0.0238,5.0,,,,,,1.0,1.0,,,,2.0,2.0,1.0,,,,,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",32.0,28.0,2.0,9.0,9.0,25.0,1.0,3.0,9.0,,90.0,47.0,7.6,6.0,0.313413,"{'original': 7.6, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,20.0,2.0,3.0,5.0,1.0,,,2.0,1.0,,,,0.1717,4.0,,1.0,,0.0662,,,1.0,,,,,2.0,1.0,,,1.0,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",41.0,34.0,2.0,10.0,13.0,40.0,,3.0,4.0,,90.0,67.0,7.1,19.0,0.250403,"{'original': 7.1, 'alternative': 7}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,27.0,12.0,2.0,4.0,1.0,1.0,1.0,4.0,,,1.0,,0.1849,3.0,andreaspereira,,,,,,3.0,1.0,1.0,,,2.0,,,,2.0,2.0,,,,,
Willian,willian,Willian,F,88,175,9705,M,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",68.0,58.0,8.0,15.0,18.0,57.0,,6.0,,,90.0,96.0,7.4,22.0,0.252261,"{'original': 7.4, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,45.0,7.0,1.0,6.0,3.0,4.0,,,,,,,0.0615,3.0,willianborges88,,2.0,,,,2.0,1.0,1.0,,2.0,3.0,,,,2.0,,,,,,
