name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,interceptionWon,wasFouled,fouls,aerialWon,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,keyPass,totalCross,wonContest,shotOffTarget,expectedGoals,goalAssist,accurateCross,bigChanceCreated,onTargetScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,sofascoreId,crossNotClaimed,goodHighClaim,bigChanceMissed,hitWoodwork,blockedScoringAttempt
Ederson,ederson,Ederson,G,31,188,51284,M,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",25.0,22.0,4.0,1.0,21.0,21.0,1.0,4.0,7.0,,1.0,90.0,32.0,6.6,3.0,0.00010786,"{'original': 6.6, 'alternative': 6.3}",0,-0.114,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ederson93,1.0,2.0,,,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",42.0,33.0,4.0,3.0,18.0,23.0,17.0,22.0,6.0,,,90.0,65.0,6.9,15.0,0.123893,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,1.0,4.0,7.0,2.0,1.0,1.0,,1.0,,3.0,,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0191,,2.0,,,,,,KyleWalker2,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188,40658,M,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",82.0,70.0,9.0,2.0,48.0,52.0,22.0,30.0,4.0,,,90.0,93.0,6.6,15.0,0.0232436,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,7.0,5.0,1.0,1.0,1.0,1.0,,2.0,4.0,2.0,,1.0,,1.0,,,,,0.146,,,,1.0,0.1317,,,RúbenD,,,1.0,1.0,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",52.0,47.0,2.0,1.0,31.0,33.0,16.0,20.0,4.0,,,90.0,69.0,7.4,11.0,0.146108,"{'original': 7.4, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,7.0,,1.0,1.0,,,,5.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,nathanake,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",43.0,30.0,2.0,,10.0,11.0,20.0,33.0,5.0,,,69.0,68.0,6.5,19.0,0.0224515,"{'original': 6.5, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,5.0,3.0,1.0,1.0,3.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,,0.0371,,,,,,,,JGvardiol,,,,,1.0
Rodri,rodri,Rodri,M,16,191,93944,M,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",96.0,87.0,5.0,2.0,39.0,42.0,48.0,54.0,7.0,,,90.0,108.0,7.5,10.0,0.201515,"{'original': 7.5, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,6.0,7.0,,,3.0,,,4.0,2.0,2.0,,3.0,2.0,,1.0,,2.0,2.0,0.1816,,,,1.0,0.0304,,1.0,Rodri,,,,,
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,34246,M,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",83.0,79.0,2.0,1.0,36.0,38.0,43.0,45.0,6.0,,,83.0,97.0,7.2,7.0,0.0623763,"{'original': 7.2, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,5.0,2.0,1.0,2.0,,2.0,,,1.0,,3.0,3.0,,1.0,,,1.0,0.0514,,,,,,,,Kova8,,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",45.0,40.0,2.0,1.0,8.0,9.0,32.0,37.0,3.0,,,90.0,66.0,8.0,11.0,0.151965,"{'original': 8, 'alternative': 7.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,8.0,2.0,2.0,2.0,1.0,3.0,,,,,4.0,1.0,1.0,3.0,1.0,1.0,1.0,0.1601,,,,1.0,0.5149,1.0,,BSilva,,,,,1.0
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",51.0,44.0,2.0,1.0,14.0,14.0,30.0,38.0,2.0,,,89.0,67.0,7.8,11.0,0.0630057,"{'original': 7.8, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,8.0,,,3.0,,4.0,,,,,2.0,1.0,1.0,2.0,1.0,2.0,,0.1326,,,,2.0,0.1397,,,Foden,,,,,
Jack Grealish,jack-grealish,J. Grealish,M,18,180,61911,M,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",41.0,35.0,,,8.0,9.0,27.0,32.0,2.0,,,90.0,59.0,8.1,10.0,0.390088,"{'original': 8.1, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,5.0,7.0,1.0,2.0,4.0,,3.0,,,,,1.0,,1.0,1.0,,3.0,,0.4244,,,1.0,1.0,0.3504,1.0,,JGrealish,,,,,2.0
