name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,errorLeadToAShot,unsuccessfulTouch,wasFouled,keyPass,dispossessed,outfielderBlock,interceptionWon,fouls,wonContest,totalTackle,accurateCross,bigChanceCreated,wonTackle,onTargetScoringAttempt,goals,blockedScoringAttempt,bigChanceMissed,shotOffTarget,totalOffside
Ola Aina,ola-aina,O. Aina,D,34,182,4048,M,,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",27.0,21.0,,,8.0,10.0,13.0,18.0,2.0,4.0,,,,,,,75.0,39.0,6.6,9.0,0.0,0.0,0.014353,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,2.0,3.0,5.0,2.0,1.0,,,,,,,1.0,,1.0,2.0,,,2.0,,,,,,
Serge Aurier,serge-aurier,S. Aurier,D,93,176,3021,M,Serge_aurier,105697,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,725155200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرج أورييه', 'hi': 'सर्ज ऑरिएर', 'bn': 'সার্জ অউরিয়ার'}, 'shortNameTranslation': {'ar': 'س. أورييه', 'hi': 'एस. ऑरिएर', 'bn': 'সি. অউরিয়ার'}}",32.0,28.0,3.0,3.0,18.0,19.0,10.0,13.0,1.0,4.0,,,,,,,56.0,35.0,6.4,5.0,0.0,0.0,0.00948629,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,1.0,,3.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,
Willy Boly,willy-boly,W. Boly,D,30,195,1805,M,,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",36.0,28.0,4.0,2.0,22.0,25.0,6.0,11.0,6.0,7.0,,,,,,,90.0,51.0,7.5,8.0,0.0405,0.2006,0.283369,"{'original': 7.5, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,2.0,4.0,5.0,1.0,,,,1.0,1.0,,2.0,1.0,2.0,,2.0,,1.0,2.0,1.0,,,,,1.0
Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,niakhate,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",47.0,43.0,5.0,4.0,19.0,20.0,24.0,30.0,1.0,7.0,,,,,,,90.0,59.0,6.7,9.0,0.0,0.0,0.017624,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,1.0,,3.0,2.0,1.0,,,,,,,,1.0,1.0,,2.0,,,1.0,,,,,,
Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4988,M,nuno_tavares71,944973,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,948844800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نونو تافاريس', 'hi': 'नूनो तवारेस', 'bn': 'নুনো টাভারেস'}, 'shortNameTranslation': {'ar': 'ن. تافاريس', 'hi': 'एन. तवारेस', 'bn': 'এন. টাভারেস'}}",10.0,7.0,,,2.0,4.0,6.0,7.0,,1.0,,,,,,,39.0,13.0,6.1,4.0,0.0,0.0,0.00705682,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,Morgangibbs27,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",44.0,36.0,1.0,1.0,8.0,10.0,29.0,39.0,,1.0,,,,,,,90.0,66.0,6.7,18.0,0.2575,0.0,0.0827721,"{'original': 6.7, 'alternative': 6.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,,,4.0,3.0,1.0,,,4.0,2.0,,2.0,,1.0,1.0,,1.0,1.0,,1.0,,,3.0,,,
Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,9875,M,ibrahim_sangare,843754,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,881020800,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",21.0,17.0,,,10.0,13.0,7.0,8.0,,4.0,,,,,,,56.0,22.0,6.3,4.0,0.0,0.0,0.00906666,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,3.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,1.0,,,,,,
Orel Mangala,orel-mangala,O. Mangala,M,20,178,1539,M,,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",37.0,32.0,1.0,1.0,14.0,16.0,18.0,21.0,,5.0,,,,,,,90.0,47.0,6.6,9.0,0.0619,0.0,0.0140445,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,3.0,2.0,2.0,,,2.0,,,,,2.0,1.0,,2.0,,,,,,,,1.0,
Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3140,M,,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",45.0,40.0,5.0,4.0,12.0,13.0,28.0,32.0,1.0,8.0,,,,,,,90.0,59.0,7.1,7.0,0.0439,0.0,0.0462716,"{'original': 7.1, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,2.0,5.0,,1.0,,1.0,,,,,1.0,1.0,,5.0,,,3.0,,,,,1.0,
Taiwo Awoniyi,taiwo-awoniyi,T. Awoniyi,F,9,183,3500,M,,359664,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,871344000,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايوو أونيي', 'hi': 'ताइवो अवोनीयी', 'bn': 'তাইও আওনিয়ি'}, 'shortNameTranslation': {'ar': 'ت. أونيي', 'hi': 'टी. अवोनीयी', 'bn': 'টি. আওনিয়ি'}}",7.0,6.0,,,4.0,4.0,2.0,3.0,1.0,5.0,,,,,,,75.0,24.0,6.5,9.0,0.4939,0.0,0.0319943,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,2.0,4.0,6.0,,3.0,,5.0,1.0,1.0,1.0,,,2.0,2.0,1.0,,,,,,,1.0,1.0,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175,9289,M,gonzalo_montiel29,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",41.0,38.0,4.0,2.0,13.0,14.0,25.0,30.0,,3.0,,,,,,,51.0,52.0,7.2,6.0,0.0,0.0,0.0639703,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,3.0,,1.0,2.0,3.0,,,,,,2.0,,,1.0,2.0,,2.0,,,1.0,,,,,,1.0
Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10539,M,anthonyelanga,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",26.0,22.0,,,6.0,7.0,16.0,20.0,,4.0,,,,,,,34.0,33.0,7.1,6.0,0.0667,0.2003,0.0369368,"{'original': 7.1, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,1.0
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9379,M,Calteck10,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",24.0,23.0,2.0,2.0,2.0,2.0,21.0,24.0,,,,,,,,,34.0,30.0,6.9,3.0,0.0,0.0,0.0749068,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,1.0,,2.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,
Chris Wood,chris-wood,C. Wood,F,11,191,7744,M,wodsy39,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,,,15.0,4.0,6.6,,0.0,0.0,0.0119833,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,
Divock Origi,divock-origi,D. Origi,F,27,189,3656,M,divockorigi,190399,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,798163200,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفوك أوريجي', 'hi': 'डिवॉक ओरिजी', 'bn': 'ডিভক অরিজি'}, 'shortNameTranslation': {'ar': 'د. أوريجي', 'hi': 'डी. ओरिजी', 'bn': 'ডি. অরিজি'}}",4.0,3.0,,,1.0,1.0,2.0,4.0,,,,,,,,,15.0,9.0,6.4,4.0,0.0613,0.0,0.00164445,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,1.0,,4.0,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,1.0,,,
Odysseas Vlachodimos,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2945,M,,138149,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,767318400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديسياس فلاكوديموس', 'hi': 'ओडिसीस व्लाचोदिमोस', 'bn': 'ওডেসিয়াস ভ্লাচোডিমোস'}, 'shortNameTranslation': {'ar': 'أ. فلاكوديموس', 'hi': 'ओ. व्लाचोदिमोस', 'bn': 'ও. ভ্লাচোডিমোস'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Worrall,joe-worrall,J. Worrall,D,4,193,313,M,,838399,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,852854400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheikhou Kouyaté,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
