name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,goalAssist,totalCross,duelLost,challengeLost,bigChanceCreated,unsuccessfulTouch,keyPass,totalContest,wonContest,outfielderBlock,totalTackle,wonTackle,firstName,lastName,accurateCross,dispossessed,shotOffTarget,interceptionWon,fouls,expectedGoals,aerialLost,wasFouled,blockedScoringAttempt,onTargetScoringAttempt,goals,totalOffside,expectedGoalsOnTarget,punches,hitWoodwork
Orel Mangala,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",1.0,,,,,,,1.0,,,,,,,,,,,14.0,1.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Odysseas Vlachodimos,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2945,M,138149,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,767318400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديسياس فلاكوديموس', 'hi': 'ओडिसीस व्लाचोदिमोस', 'bn': 'ওডেসিয়াস ভ্লাচোডিমোস'}, 'shortNameTranslation': {'ar': 'أ. فلاكوديموس', 'hi': 'ओ. व्लाचोदिमोस', 'bn': 'ও. ভ্লাচোডিমোস'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Worrall,joe-worrall,J. Worrall,D,4,193,313,M,838399,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,852854400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4988,M,944973,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,948844800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نونو تافاريس', 'hi': 'नूनो तवारेस', 'bn': 'নুনো টাভারেস'}, 'shortNameTranslation': {'ar': 'ن. تافاريس', 'hi': 'एन. तवारेस', 'bn': 'এন. টাভারেস'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,nuno_tavares71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheikhou Kouyaté,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Onana,andre-onana,A. Onana,G,24,190,55570,M,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",32.0,29.0,5.0,3.0,26.0,27.0,3.0,5.0,,,1.0,2.0,,,,,,,90.0,34.0,6.2,3.0,0.00547759,"{'original': 6.2, 'alternative': 6}",0,-0.9891,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,AndréOnana24,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",57.0,44.0,1.0,,18.0,22.0,26.0,36.0,,3.0,1.0,4.0,,,,,,,89.0,81.0,7.0,16.0,0.0540521,"{'original': 7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,awbissaka,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.038,,1.0,,1.0,,,0.0194,,
Raphaël Varane,raphael-varane,R. Varane,D,,191,10416,M,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",68.0,58.0,6.0,4.0,26.0,32.0,32.0,36.0,,2.0,4.0,5.0,,,,,,,90.0,77.0,6.7,11.0,0.0241656,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,raphael_varane,,,3.0,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,
Jonny Evans,jonny-evans,J. Evans,D,,188,4632,M,30144,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,568166400,,"{'nameTranslation': {'ar': 'جوني إيفانز', 'hi': 'जॉनी इवांस', 'bn': 'জনি ইভান্স'}, 'shortNameTranslation': {'ar': 'ج. إيفانز', 'hi': 'जे. इवांस', 'bn': 'জে. ইভান্স'}}",64.0,56.0,5.0,1.0,31.0,35.0,25.0,29.0,3.0,6.0,4.0,4.0,,,,,,,90.0,75.0,6.7,8.0,0.0115253,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6jevans,,,3.0,,,,,2.0,2.0,,,,,,,,,2.0,1.0,,2.0,1.0,,,,,,,
Diogo Dalot,diogo-dalot,D. Dalot,M,2,184,22683,M,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",39.0,27.0,8.0,4.0,12.0,20.0,15.0,19.0,3.0,5.0,3.0,5.0,,,,,,,90.0,60.0,6.4,14.0,0.0407425,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,DDalot,,,4.0,,,,,2.0,1.0,,1.0,,,,,1.0,,,1.0,0.0722,1.0,,1.0,,,,,,1.0
