name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,errorLeadToAGoal,errorLeadToAShot,unsuccessfulTouch,fouls,aerialWon,outfielderBlock,totalContest,wonContest,wasFouled,totalCross,accurateCross,keyPass,goalAssist,bigChanceCreated,totalOffside,bigChanceMissed,onTargetScoringAttempt,goals,sofascoreId
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",54.0,36.0,26.0,9.0,33.0,36.0,3.0,18.0,1.0,15.0,3.0,6.0,1.0,1.0,90.0,74.0,6.5,18.0,0.0,0.0,0.0004586,"{'original': 6.5, 'alternative': 6.3}",0,-0.3472,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameen Al-Dakhil,,,ameen-al-dakhil,A. Al-Dakhil,D,2,185,812,M,964761,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1015372800,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمين الدخيل', 'hi': 'अमीन अल-दखिल', 'bn': 'আমীন আল দাখিল'}, 'shortNameTranslation': {'ar': 'أ. الدخيل', 'hi': 'ए. अल-दखिल', 'bn': 'এ. আল-দাখিল'}}",32.0,21.0,3.0,,16.0,20.0,5.0,12.0,1.0,9.0,,,,,90.0,58.0,5.4,16.0,0.0855,0.0,0.00854751,"{'original': 5.4, 'alternative': 5.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,10.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",59.0,49.0,5.0,3.0,41.0,47.0,8.0,12.0,2.0,3.0,,,,,90.0,74.0,6.9,11.0,0.0418,0.0,0.00190845,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,4.0,,,1.0,,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,
Jordan Beyer,,,jordan-beyer,J. Beyer,D,5,187,316,M,927175,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,958694400,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان باير', 'hi': 'जॉर्डन बेयर', 'bn': 'জর্ডান বেয়ার'}, 'shortNameTranslation': {'ar': 'ج. باير', 'hi': 'जे. बेयर', 'bn': 'জে. বেয়ার'}}",53.0,46.0,9.0,6.0,40.0,44.0,6.0,9.0,,4.0,,,,,74.0,68.0,6.4,8.0,0.0,0.0,0.0041726,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,14.0,2.0,,,,,10.0,6.0,,,,1.0,1.0,,3.0,2.0,1.0,,,,,,,,,,
Connor Roberts,,,connor-roberts,C. Roberts,D,14,175,410,M,804613,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,811814400,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور روبرتس', 'hi': 'कॉनर रॉबर्ट्स', 'bn': 'কনর রবার্টস'}, 'shortNameTranslation': {'ar': 'ك. روبرتس', 'hi': 'सी. रॉबर्ट्स', 'bn': 'সি. রবার্টস'}}",60.0,47.0,3.0,2.0,27.0,34.0,21.0,27.0,,7.0,,,,,90.0,76.0,5.9,13.0,0.0,0.0,0.0955239,"{'original': 5.9, 'alternative': 5.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,2.0,2.0,,,,,,,,,,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",17.0,12.0,3.0,,5.0,8.0,8.0,12.0,2.0,4.0,,,,,45.0,29.0,6.3,10.0,0.0,0.0,0.0932778,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,2.0,,,,,1.0,1.0,,,,2.0,1.0,1.0,,1.0,,,3.0,1.0,1.0,,,,,,,
Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,937,M,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",46.0,40.0,3.0,,19.0,20.0,21.0,26.0,1.0,6.0,,,,,90.0,58.0,6.6,8.0,0.0269,0.0,0.203409,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,5.0,4.0,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,,,1.0,,3.0,,,1.0,1.0,,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",22.0,20.0,1.0,1.0,12.0,12.0,8.0,10.0,,4.0,,,,,45.0,30.0,6.9,4.0,0.0,0.0,0.0102488,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,4.0,,1.0,,,,2.0,2.0,,,,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,
Luca Koleosho,Luca Koleosho,,luca-koleosho,L. Koleosho,M,16,175,1493,M,1216282,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1095206400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكا كوليوشو', 'hi': 'लुका कोलेओशो', 'bn': 'লুকা কোলিওশো'}, 'shortNameTranslation': {'ar': 'ل. كوليوشو', 'hi': 'एल. कोलेओशो', 'bn': 'এল. কোলিওশো'}}",8.0,6.0,,,1.0,1.0,5.0,7.0,,1.0,,,,,68.0,26.0,6.1,10.0,0.0814,0.0,0.306722,"{'original': 6.1, 'alternative': 5.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,7.0,6.0,,1.0,1.0,1.0,,,,,,1.0,,,,10.0,5.0,1.0,,,1.0,1.0,1.0,1.0,,,,
Zeki Amdouni,,,zeki-amdouni,Z. Amdouni,F,7,183,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",14.0,14.0,,,4.0,4.0,10.0,11.0,,2.0,,,,,60.0,27.0,7.4,4.0,0.027,0.0,0.184643,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,6.0,,,1.0,,,4.0,2.0,,,1.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,
