name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelWon,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialWon,totalContest,wonContest,bigChanceCreated,shotOffTarget,totalClearance,expectedGoals,outfielderBlock,dispossessed,blockedScoringAttempt,onTargetScoringAttempt,errorLeadToAShot,expectedGoalsOnTarget,wasFouled,bigChanceMissed,goals,penaltyWon,penaltyFaced,punches,clearanceOffLine,goalAssist,penaltyConceded,totalOffside
Gonzalo Montiel,,,gonzalo-montiel,G. Montiel,D,4,175,9289,M,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",23.0,18.0,6.0,2.0,12.0,13.0,10.0,1.0,1.0,4.0,,,70.0,45.0,7.3,8.0,0.0033134,1.0,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,gonzalo_montiel29,6.0,,,,5.0,,5.0,5.0,1.0,,,,,1.0,,4.0,,1.0,,,,,,,,,,,,,,,
Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",40.0,38.0,4.0,3.0,32.0,33.0,7.0,3.0,1.0,4.0,,,90.0,55.0,7.5,3.0,0.00158612,,"{'original': 7.5, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,niakhate,6.0,,,,3.0,1.0,2.0,,,2.0,1.0,,,,,6.0,,2.0,,,,,,,,,,,,1.0,,,
Murillo,Murillo,,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",36.0,27.0,13.0,7.0,22.0,26.0,10.0,5.0,,3.0,,,90.0,52.0,7.4,11.0,0.0095138,1.0,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,murillosantiago40,5.0,,,3.0,3.0,,,,,,,4.0,3.0,1.0,,7.0,,2.0,1.0,,,,,,,,,,,,1.0,,
Ola Aina,,,ola-aina,O. Aina,D,34,182,4048,M,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",19.0,15.0,1.0,,11.0,14.0,5.0,7.0,1.0,1.0,,,90.0,47.0,6.2,10.0,0.00163254,,"{'original': 6.2, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,,,1.0,6.0,1.0,2.0,,1.0,2.0,,5.0,3.0,,1.0,3.0,0.0411,,1.0,1.0,,,,1.0,,,,,,,,1.0,
Danilo,,,danilo,Danilo,M,35,177,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",35.0,24.0,4.0,2.0,15.0,22.0,13.0,4.0,3.0,3.0,,,89.0,51.0,6.5,14.0,0.0052205,,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Danilo,9.0,,,,3.0,3.0,1.0,,2.0,,2.0,,,,,4.0,,,1.0,,,,,1.0,,,,,,,,,
Ibrahim Sangaré,,,ibrahim-sangare,I. Sangaré,M,6,191,9875,M,843754,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,881020800,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",28.0,23.0,4.0,2.0,14.0,15.0,13.0,3.0,2.0,4.0,,,70.0,36.0,6.7,5.0,0.00556741,1.0,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,ibrahim_sangare,9.0,,,,3.0,1.0,3.0,1.0,,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,
Anthony Elanga,,,anthony-elanga,A. Elanga,M,20,178,10539,M,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",18.0,14.0,1.0,1.0,7.0,8.0,12.0,4.0,,5.0,,,89.0,42.0,8.8,10.0,0.635305,3.0,"{'original': 8.8, 'alternative': 8.6}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,anthonyelanga,8.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,,,2.0,1.0,3.0,2.0,2.0,0.7324,,1.0,1.0,2.0,,0.5478,2.0,1.0,,,,,,2.0,,1.0
Morgan Gibbs-White,,,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",35.0,31.0,3.0,2.0,9.0,9.0,30.0,11.0,1.0,4.0,,,90.0,61.0,7.7,10.0,0.172449,4.0,"{'original': 7.7, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,Morgangibbs27,23.0,4.0,1.0,3.0,12.0,1.0,5.0,3.0,1.0,5.0,3.0,4.0,3.0,,3.0,2.0,0.3337,,1.0,,,,,2.0,1.0,,,,,,,,
Callum Hudson-Odoi,,,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",14.0,13.0,,,8.0,9.0,6.0,4.0,2.0,5.0,,,79.0,24.0,6.7,6.0,0.0218503,1.0,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Calteck10,5.0,1.0,,,2.0,1.0,,,1.0,,,3.0,1.0,,,,0.0684,,,,1.0,,0.306,1.0,,,,,,,,,
Chris Wood,,,chris-wood,C. Wood,F,11,191,7744,M,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",20.0,13.0,,,6.0,6.0,14.0,2.0,1.0,3.0,,,90.0,36.0,9.5,10.0,0.00984979,,"{'original': 9.5, 'alternative': 9.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,wodsy39,7.0,,,,5.0,,,,3.0,1.0,2.0,2.0,2.0,,,4.0,2.2292,1.0,,,3.0,,2.1524,1.0,,3.0,,,,,,,
Neco Williams,,,williams-neco,N. Williams,D,3,183,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",10.0,7.0,1.0,,3.0,3.0,9.0,1.0,1.0,,,,20.0,22.0,6.8,8.0,0.00133005,,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,4.0,2.0,,,2.0,1.0,1.0,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,
Ryan Yates,,,ryan-yates,R. Yates,M,22,190,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",6.0,4.0,1.0,1.0,2.0,3.0,3.0,,,,,,20.0,11.0,6.6,2.0,0.00083957,,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,,,,3.0,,,,,,1.0,,,,,,0.0545,,,1.0,,,,2.0,,,,,,,,,
Nicolás Domínguez,,,nicolas-dominguez,N. Domínguez,M,16,179,3140,M,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",7.0,5.0,1.0,,2.0,2.0,5.0,,,2.0,,,11.0,8.0,6.6,2.0,0.00017664,,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Joe Worrall,,,joe-worrall,J. Worrall,D,4,193,313,M,838399,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,852854400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",,,,,,,,,,,,,1.0,5.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,1.0,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,
Cheikhou Kouyaté,,,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",,,,,,,,,,,,,1.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2945,M,138149,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,767318400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديسياس فلاكوديموس', 'hi': 'ओडिसीस व्लाचोदिमोस', 'bn': 'ওডেসিয়াস ভ্লাচোডিমোস'}, 'shortNameTranslation': {'ar': 'أ. فلاكوديموس', 'hi': 'ओ. व्लाचोदिमोस', 'bn': 'ও. ভ্লাচোডিমোস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuno Tavares,,,nuno-tavares,N. Tavares,D,17,185,4988,M,944973,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,948844800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نونو تافاريس', 'hi': 'नूनो तवारेस', 'bn': 'নুনো টাভারেস'}, 'shortNameTranslation': {'ar': 'ن. تافاريس', 'hi': 'एन. तवारेस', 'bn': 'এন. টাভারেস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,nuno_tavares71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orel Mangala,,,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divock Origi,,,divock-origi,D. Origi,F,27,189,3656,M,190399,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,798163200,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفوك أوريجي', 'hi': 'डिवॉक ओरिजी', 'bn': 'ডিভক অরিজি'}, 'shortNameTranslation': {'ar': 'د. أوريجي', 'hi': 'डी. ओरिजी', 'bn': 'ডি. অরিজি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,divockorigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
