name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team
Joelinton,,,joelinton,Joelinton,M,7,9814,M,joelinton34,560128,"{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",59.566666666667,67.566666666667,18,home
Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,4014,M,lewishall_10,1136730,"{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",55.3,86.408,25,home
Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,4844,M,,980634,"{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",52.465714285714,57.374285714286,35,home
Callum Wilson,,,callum-wilson,C. Wilson,F,9,3183,M,,113956,"{'nameTranslation': {'ar': 'كالوم ويلسون', 'hi': 'कैलम विल्सन', 'bn': 'ক্যালাম উইলসন'}, 'shortNameTranslation': {'ar': 'ك. ويلسون', 'hi': 'सी. विल्सन', 'bn': 'সি. উইলসন'}}",75.85,51.558333333333,12,home
Dan Burn,,,dan-burn,D. Burn,D,33,4399,M,,99090,"{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",40.185365853659,79.453658536585,41,home
Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,,42209,"{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",8.6086956521739,48.952173913043,46,home
Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,8611,M,ktrippier2,69256,"{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",59.800757575758,22.267424242424,132,home
Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,15531,M,AGordon,914902,"{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",70.265454545455,60.065454545455,55,home
Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,1640,M,,866191,"{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",49.192156862745,68.305882352941,51,home
Lewis Miley,Lewis Miley,,lewis-miley,L. Miley,M,67,3070,M,,1400650,"{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",61.01875,32.9609375,64,home
Sven Botman,,,sven-botman,S. Botman,D,4,3367,M,,910046,"{'nameTranslation': {'ar': 'سفين بوتمان', 'hi': 'स्वेन बोटमैन', 'bn': 'সোভেন বটম্যান'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'hi': 'एस. बोटमैन', 'bn': 'এস. বটম্যান'}}",36.939705882353,55.805882352941,68,home
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,8455,M,miguel_almiron,333373,"{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",75.077777777778,31.766666666667,45,home
Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,31656,M,BrunoGuimarães,866469,"{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",60.647619047619,48.615476190476,84,home
Fabian Schär,,,fabian-schar,F. Schär,D,5,3205,M,,101882,"{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",44.784158415842,38.309900990099,101,home
Alexander Isak,,,alexander-isak,A. Isak,F,9,101689,M,AlexIsak,823941,"{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",72.498214285714,63.223214285714,56,home
Joe Worrall,,,joe-worrall,J. Worrall,D,4,313,M,,838399,"{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",5.6285714285714,43.571428571429,7,away
Neco Williams,,,williams-neco,N. Williams,D,3,3163,M,,927356,"{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",47.241666666667,12.445833333333,24,away
Ryan Yates,,,ryan-yates,R. Yates,M,22,881,M,,846252,"{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",45.484615384615,22.053846153846,13,away
Cheikhou Kouyaté,,,cheikhou-kouyate,C. Kouyaté,M,8,2612,M,,45944,"{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",25.7,88.4,1,away
Callum Hudson-Odoi,,,callum-hudson-odoi,C. Hudson-Odoi,M,7,9379,M,Calteck10,867442,"{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",43.55625,76.434375,32,away
Gonzalo Montiel,,,gonzalo-montiel,G. Montiel,D,4,9289,M,gonzalo_montiel29,822933,"{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",34.033962264151,19.041509433962,53,away
Chris Wood,,,chris-wood,C. Wood,F,11,7744,M,wodsy39,50480,"{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",54.445652173913,54.076086956522,46,away
Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,6811,M,niakhate,758168,"{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",29.6859375,34.95625,64,away
Ibrahim Sangaré,,,ibrahim-sangare,I. Sangaré,M,6,9875,M,ibrahim_sangare,843754,"{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",37.897826086957,49.7,46,away
Nicolás Domínguez,,,nicolas-dominguez,N. Domínguez,M,16,3140,M,,871765,"{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",45.191666666667,83.95,12,away
Murillo,Murillo,,murillo,Murillo,D,5,9796,M,murillosantiago40,1199282,"{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",22.367213114754,67.268852459016,61,away
