name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,duelLost,challengeLost,dispossessed,outfielderBlock,totalTackle,wonTackle,fouls,aerialLost,totalContest,wonContest,blockedScoringAttempt,interceptionWon,expectedGoals,keyPass,sofascoreId,unsuccessfulTouch,wasFouled,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,goalAssist,accurateCross,bigChanceCreated,goals,totalOffside,firstName,lastName,goodHighClaim
José Sá,jose-sa,J. Sá,G,1,192.0,3995,M,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",17.0,14.0,3.0,14.0,16.0,1.0,1.0,1.0,1.0,10.0,3.0,4.0,1.0,1.0,1.0,90.0,29.0,7.7,4.0,3.768e-05,"{'original': 7.7, 'alternative': 8}",0,0.3066,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192.0,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",86.0,78.0,12.0,57.0,59.0,28.0,4.0,5.0,5.0,2.0,,,,,,90.0,95.0,7.3,10.0,0.0165987,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,7.0,21.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Craig Dawson,craig-dawson,C. Dawson,D,,188.0,423,M,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",77.0,72.0,6.0,57.0,58.0,19.0,3.0,4.0,8.0,2.0,,,,,,90.0,91.0,7.6,5.0,0.00357454,"{'original': 7.6, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,15.0,,5.0,1.0,,3.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187.0,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",81.0,66.0,3.0,46.0,50.0,31.0,6.0,11.0,3.0,5.0,,,,,,90.0,102.0,7.7,18.0,0.013182,"{'original': 7.7, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,20.0,,2.0,1.0,,,3.0,2.0,,1.0,2.0,2.0,1.0,1.0,0.1422,1.0,,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177.0,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",49.0,39.0,3.0,23.0,28.0,24.0,2.0,8.0,2.0,6.0,,,,,,90.0,73.0,7.2,16.0,0.0132776,"{'original': 7.2, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,16.0,3.0,3.0,,1.0,,2.0,2.0,1.0,,3.0,2.0,,,,,nelsonsemedo50,1.0,2.0,,,,,,,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184.0,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",41.0,37.0,4.0,13.0,15.0,26.0,2.0,7.0,2.0,6.0,,,,,,90.0,58.0,7.7,7.0,0.0618308,"{'original': 7.7, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,24.0,,3.0,,,,4.0,3.0,1.0,2.0,1.0,1.0,1.0,,0.4536,2.0,,2.0,,1.0,,,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176.0,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",55.0,48.0,2.0,24.0,27.0,29.0,,6.0,,8.0,,,,,,90.0,71.0,7.3,11.0,0.0258989,"{'original': 7.3, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,24.0,1.0,7.0,,,,6.0,3.0,2.0,3.0,2.0,,,,0.1547,2.0,joaogomes.01,1.0,,2.0,1.0,0.0141,,,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179.0,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",56.0,55.0,2.0,25.0,25.0,33.0,,4.0,,6.0,,,,,,77.0,71.0,7.4,5.0,0.393507,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,31.0,2.0,9.0,,1.0,,3.0,2.0,2.0,5.0,2.0,1.0,,,,1.0,r_aitnouri,1.0,,,,,1.0,1.0,1.0,,,,,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176.0,2578,M,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",54.0,43.0,8.0,18.0,21.0,40.0,,2.0,1.0,6.0,,,,,,89.0,76.0,7.8,20.0,0.168022,"{'original': 7.8, 'alternative': 7.9}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,26.0,7.0,7.0,1.0,,,1.0,,1.0,4.0,2.0,1.0,1.0,2.0,0.4966,1.0,,2.0,,3.0,1.0,0.8064,,1.0,,1.0,,,,
Pedro Neto,pedro-neto,P. Neto,M,7,172.0,39950,M,879349,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,952560000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو نيتو', 'hi': 'पेड्रो नेटो', 'bn': 'পেড্রো নেটো'}, 'shortNameTranslation': {'ar': 'ب. نيتو', 'hi': 'पी. नेटो', 'bn': 'পি. নেটো'}}",60.0,50.0,2.0,19.0,19.0,48.0,,4.0,,2.0,,,,,,90.0,82.0,7.1,22.0,0.0796285,"{'original': 7.1, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,34.0,7.0,7.0,,2.0,,1.0,,,1.0,5.0,1.0,,,0.0588,2.0,pedroneto_30,2.0,2.0,2.0,,,,3.0,,,,,,
