name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,aerialLost,aerialWon,duelLost,bigChanceCreated,totalClearance,clearanceOffLine,outfielderBlock,interceptionWon,totalTackle,wonTackle,keyPass,firstName,lastName,challengeLost,fouls,sofascoreId,wasFouled,dispossessed,blockedScoringAttempt,unsuccessfulTouch,expectedGoals,accurateCross,shotOffTarget,onTargetScoringAttempt,hitWoodwork,expectedGoalsOnTarget,totalOffside,goals,goodHighClaim,punches,bigChanceMissed
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190.0,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",51.0,35.0,25.0,9.0,27.0,28.0,8.0,23.0,1.0,1.0,1.0,6.0,1.0,2.0,90.0,58.0,6.6,17.0,0.00207288,"{'original': 6.6, 'alternative': 6.6}",0,-0.0348,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Burke,reece-burke,R. Burke,D,32,189.0,101,M,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",61.0,55.0,3.0,1.0,30.0,32.0,25.0,30.0,2.0,,,6.0,,,90.0,71.0,8.1,7.0,0.214411,"{'original': 8.1, 'alternative': 8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183.0,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",51.0,42.0,13.0,8.0,29.0,36.0,13.0,15.0,6.0,,,6.0,,,90.0,63.0,7.4,9.0,0.00612405,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,5.0,3.0,,4.0,1.0,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180.0,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",34.0,30.0,4.0,2.0,22.0,24.0,8.0,12.0,5.0,1.0,,6.0,,,90.0,47.0,7.1,7.0,0.00255291,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,1.0,6.0,,,1.0,1.0,,2.0,1.0,,,,2.0,2.0,issa_kabore_29,2.0,,,,,,,,,,,,,,
Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181.0,794,M,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",43.0,38.0,3.0,1.0,12.0,16.0,26.0,30.0,7.0,9.0,5.0,3.0,,,90.0,71.0,6.8,16.0,0.260631,"{'original': 6.8, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,7.0,,1.0,,,1.0,,,1.0,,,,,,2.0,2.0,1.0,1.0,0.0169,,,,,,,,,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175.0,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",31.0,29.0,2.0,2.0,16.0,17.0,14.0,15.0,6.0,2.0,2.0,2.0,,,60.0,43.0,7.4,2.0,0.035349,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188.0,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",46.0,38.0,2.0,2.0,19.0,20.0,22.0,34.0,6.0,4.0,4.0,6.0,,,90.0,74.0,7.7,17.0,0.0944854,"{'original': 7.7, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,8.0,3.0,,9.0,,3.0,,,1.0,,,1.0,,,1.0,1.0,,2.0,4.0,,,0.115,3.0,1.0,2.0,1.0,0.0999,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183.0,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",21.0,16.0,3.0,,8.0,8.0,8.0,17.0,1.0,1.0,1.0,3.0,,,45.0,32.0,6.5,12.0,0.00681073,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,,,1.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,
Jordan Clark,jordan-clark,J. Clark,M,18,183.0,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",34.0,29.0,3.0,2.0,6.0,7.0,23.0,29.0,4.0,2.0,,2.0,,,85.0,52.0,6.8,13.0,0.0377763,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,2.0,6.0,,1.0,,,,1.0,1.0,,,,1.0,,,1.0,2.0,1.0,2.0,0.1414,,1.0,,,,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185.0,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",12.0,9.0,1.0,,2.0,3.0,8.0,11.0,5.0,4.0,,5.0,,,90.0,38.0,6.2,12.0,0.0305362,"{'original': 6.2, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,1.0,10.0,,,,,1.0,1.0,1.0,,,,1.0,3.0,,3.0,1.0,2.0,2.0,0.0348,1.0,,,,,,,,,
