minute,value
1.0,-7
2.0,-12
3.0,-16
4.0,-3
5.0,7
6.0,14
7.0,11
8.0,10
9.0,49
10.0,45
11.0,68
12.0,83
13.0,54
14.0,41
15.0,32
16.0,20
17.0,12
18.0,-48
19.0,-57
20.0,-36
21.0,-19
22.0,-13
23.0,-26
24.0,-12
25.0,-6
26.0,-8
27.0,11
28.0,29
29.0,14
30.0,5
31.0,-27
32.0,-60
33.0,-70
34.0,-46
35.0,-76
36.0,-46
37.0,-29
38.0,-19
39.0,-16
40.0,-6
41.0,7
42.0,56
43.0,40
44.0,36
45.0,49
46.0,7
47.0,-31
48.0,-7
49.0,-25
50.0,-9
51.0,-5
52.0,9
53.0,-48
54.0,-20
55.0,-8
56.0,9
57.0,3
58.0,25
59.0,14
60.0,12
61.0,7
62.0,-16
63.0,-9
64.0,-89
65.0,-100
66.0,-54
67.0,-27
68.0,-19
69.0,-8
70.0,42
71.0,45
72.0,21
73.0,22
74.0,-32
75.0,-18
76.0,-16
77.0,-13
78.0,-4
79.0,-18
80.0,-6
81.0,5
82.0,-9
83.0,-33
84.0,-12
85.0,-2
86.0,6
87.0,62
88.0,34
89.0,31
90.0,11
90.5,-13
