name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,hitWoodwork,totalTackle,wonTackle,wasFouled,fouls,totalOffside,keyPass,blockedScoringAttempt,interceptionWon,unsuccessfulTouch,expectedGoals,sofascoreId,outfielderBlock,wonContest,shotOffTarget,goalAssist,bigChanceCreated,onTargetScoringAttempt,expectedGoalsOnTarget,goals,punches,bigChanceMissed
Matz Sels,matz-sels,M. Sels,G,26,188.0,2453,M,78152,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,699062400,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتس سيلس', 'hi': 'मैट्ज़ सेल्स', 'bn': 'ম্যাটজ সেলস'}, 'shortNameTranslation': {'ar': 'م. سيلس', 'hi': 'एम. सेल्स', 'bn': 'এম. সেলস'}}",16.0,14.0,4.0,2.0,12.0,12.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,90.0,25.0,6.7,3.0,0.00146349,"{'original': 6.7, 'alternative': 6.6}",0,-0.2413,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neco Williams,williams-neco,N. Williams,D,3,183.0,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",44.0,32.0,9.0,2.0,18.0,25.0,15.0,25.0,3.0,5.0,,,,90.0,86.0,6.7,26.0,0.143715,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,1.0,2.0,2.0,8.0,6.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
Felipe,felipe,Felipe,D,,191.0,782,M,242211,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,611280000,,"{'nameTranslation': {'ar': 'فيليبي', 'hi': 'फेलिप', 'bn': 'ফিলিপ'}, 'shortNameTranslation': {'ar': 'فيليبي', 'hi': 'फेलिप', 'bn': 'ফিলিপ'}}",61.0,52.0,4.0,2.0,30.0,36.0,22.0,25.0,4.0,1.0,,,,90.0,80.0,7.2,10.0,0.00734566,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,8.0,3.0,12.0,1.0,,,,3.0,3.0,1.0,2.0,,,1.0,3.0,1.0,0.0109,,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180.0,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",77.0,67.0,9.0,4.0,38.0,42.0,29.0,35.0,3.0,6.0,,,,90.0,91.0,6.9,13.0,0.0182217,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Murillo,,,,1.0,1.0,3.0,3.0,,,,,2.0,1.0,,2.0,,,1.0,1.0,2.0,0.0401,murillosantiago40,1.0,,,,,,,,,
Ola Aina,ola-aina,O. Aina,D,34,182.0,4048,M,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",55.0,47.0,2.0,1.0,20.0,23.0,27.0,35.0,1.0,3.0,,,,84.0,74.0,6.7,16.0,0.0248966,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,1.0,1.0,3.0,3.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,2.0,0.0133,,,,,,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190.0,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",57.0,51.0,2.0,1.0,29.0,31.0,22.0,27.0,1.0,7.0,,,,90.0,67.0,7.0,8.0,0.0466836,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,
Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191.0,9875,M,843754,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,881020800,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",37.0,27.0,3.0,1.0,15.0,19.0,12.0,18.0,,11.0,,,,45.0,48.0,6.9,13.0,0.0199885,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,2.0,0.0197,ibrahim_sangare,,1.0,1.0,,,,,,,
Divock Origi,divock-origi,D. Origi,F,27,189.0,3656,M,190399,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,798163200,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفوك أوريجي', 'hi': 'डिवॉक ओरिजी', 'bn': 'ডিভক অরিজি'}, 'shortNameTranslation': {'ar': 'د. أوريجي', 'hi': 'डी. ओरिजी', 'bn': 'ডি. অরিজি'}}",18.0,13.0,,,4.0,4.0,10.0,16.0,,,,,,60.0,29.0,6.5,10.0,0.0247468,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,1.0,,4.0,2.0,,,2.0,,2.0,2.0,,1.0,2.0,,1.0,,1.0,0.0454,divockorigi,,,,,,,,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171.0,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",69.0,62.0,11.0,6.0,16.0,16.0,49.0,62.0,,7.0,,,,90.0,92.0,7.5,20.0,0.785332,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,9.0,3.0,2.0,,9.0,5.0,2.0,1.0,3.0,,,,4.0,2.0,,4.0,,,3.0,0.0173,Morgangibbs27,,1.0,1.0,1.0,1.0,,,,,
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177.0,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",49.0,40.0,2.0,1.0,9.0,11.0,31.0,45.0,,7.0,,,,90.0,78.0,7.1,25.0,0.0525639,"{'original': 7.1, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,,,,7.0,4.0,1.0,4.0,4.0,,,,2.0,,1.0,2.0,,,2.0,0.0617,Calteck10,,2.0,,,,2.0,0.1992,,,
Chris Wood,chris-wood,C. Wood,F,11,191.0,7744,M,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",14.0,10.0,,,3.0,5.0,7.0,9.0,1.0,,,,,90.0,28.0,7.3,10.0,0.0138317,"{'original': 7.3, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,5.0,3.0,9.0,4.0,,2.0,1.0,,1.0,,,1.0,,,,,3.0,0.64,wodsy39,,,1.0,,,2.0,0.6782,1.0,,
