minute,value
1.0,-1
2.0,-41
3.0,-24
4.0,-9
5.0,-2
6.0,-19
7.0,-3
8.0,28
9.0,44
10.0,26
11.0,16
12.0,-44
13.0,35
14.0,12
15.0,31
16.0,12
17.0,21
18.0,14
19.0,42
20.0,57
21.0,47
22.0,33
23.0,39
24.0,26
25.0,34
26.0,29
27.0,76
28.0,44
29.0,22
30.0,49
31.0,22
32.0,8
33.0,43
34.0,21
35.0,-18
36.0,-35
37.0,-12
38.0,-6
39.0,31
40.0,28
41.0,64
42.0,41
43.0,69
44.0,36
45.0,18
45.5,-15
46.0,5
47.0,40
48.0,23
49.0,35
50.0,19
51.0,1
52.0,7
53.0,15
54.0,58
55.0,31
56.0,84
57.0,39
58.0,-23
59.0,14
60.0,15
61.0,8
62.0,9
63.0,26
64.0,14
65.0,41
66.0,24
67.0,13
68.0,51
69.0,79
70.0,43
71.0,25
72.0,14
73.0,4
74.0,-3
75.0,3
76.0,16
77.0,9
78.0,4
79.0,1
80.0,-2
81.0,-26
82.0,-100
83.0,-54
84.0,-27
85.0,67
86.0,40
87.0,-34
88.0,13
89.0,1
90.0,13
90.5,-6
