name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,firstName,lastName,sofascoreId
William Osula,osula-william,W. Osula,F,18,2921,M,1122603,"{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",61.858823529412,32.470588235294,17,home,,,
Jayden Bogle,bogle-jayden,J. Bogle,D,2,740,M,929132,"{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",53.266666666667,11.138095238095,21,home,,,
Ben Osborn,ben-osborn,B. Osborn,M,23,76,M,282665,"{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",51.514285714286,62.128571428571,14,home,Ben,Osborn,
John Fleck,john-fleck,J. Fleck,M,13,104,M,27999,"{'nameTranslation': {'ar': 'جون فليك', 'hi': 'जॉन फ्लेक', 'bn': 'জন ফ্লেক'}, 'shortNameTranslation': {'ar': 'ج. فليك', 'hi': 'जे.फ्लेक फ्लेक', 'bn': 'জে. ফ্লেক'}}",35.581818181818,71.654545454545,11,home,,,
Cameron Archer,cameron-archer,C. Archer,F,19,1000,M,993451,"{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",66.623333333333,65.926666666667,30,home,,,
Oliver Norwood,oliver-norwood,O. Norwood,M,26,225,M,100637,"{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",48.120792079208,42.706930693069,101,home,,,
Anel Ahmedhodžić,anel-ahmedhodzic,A. Ahmedhodžić,D,21,1558,M,825899,"{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",39.725806451613,23.038709677419,31,home,,,
James McAtee,james-mcatee,J. McAtee,M,24,10990,M,1003334,"{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",65.303921568627,57.139215686275,51,home,,,jamesmcatee_
Vinícius Souza,vinicius-souza,Vinicius,M,5,1676,M,979290,"{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",53.904545454545,41.220454545455,44,home,,,
Wesley Foderingham,wesley-foderingham,W. Foderingham,G,25,337,M,187861,"{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",7.7267857142857,55.451785714286,56,home,,,
