minute,value
1.0,-1
2.0,4
3.0,2
4.0,-7
5.0,12
6.0,-6
7.0,2
8.0,43
9.0,68
10.0,28
11.0,37
12.0,21
13.0,-21
14.0,-20
15.0,-21
16.0,-10
17.0,-27
18.0,28
19.0,9
20.0,-25
21.0,-14
22.0,-36
23.0,-30
24.0,-55
25.0,-76
26.0,-53
27.0,-39
28.0,-31
29.0,-27
30.0,-21
31.0,-14
32.0,-2
33.0,-8
34.0,-12
35.0,-67
36.0,-56
37.0,-36
38.0,-13
39.0,-48
40.0,-27
41.0,-30
42.0,30
43.0,4
44.0,3
45.0,7
45.5,-2
46.0,-7
47.0,-10
48.0,-12
49.0,-71
50.0,-48
51.0,-53
52.0,-38
53.0,-54
54.0,-34
55.0,-87
56.0,-56
57.0,-39
58.0,-32
59.0,-47
60.0,-26
61.0,-18
62.0,-13
63.0,-55
64.0,-33
65.0,-52
66.0,-40
67.0,-33
68.0,-79
69.0,-55
70.0,-39
71.0,-31
72.0,-69
73.0,41
74.0,2
75.0,-3
76.0,-3
77.0,-10
78.0,-10
79.0,-11
80.0,20
81.0,-33
82.0,-17
83.0,-13
84.0,14
85.0,1
86.0,-5
87.0,-4
88.0,11
89.0,-5
90.0,-5
90.5,67
