name,slug,shortName,position,userCount,gender,sofascoreId,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,jerseyNumber,firstName,lastName
Diogo Jota,diogo-jota,D. Jota,F,33671,M,DiogoJ18,606164,"{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",True,block,regular,right-foot,90,5644,244,,9.7,45.6,0,49.3,19.0,,,
Mohamed Salah,mohamed-salah,M. Salah,M,561305,M,MoSalah,159665,"{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",True,block,assisted,left-foot,90,5642,242,,11.8,55.0,0,48.2,19.0,11,,
Mohamed Salah,mohamed-salah,M. Salah,M,561305,M,MoSalah,159665,"{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",True,block,assisted,left-foot,88,5244,2544,,14.5,70.9,0,51.9,19.0,11,,
Mohamed Salah,mohamed-salah,M. Salah,M,561305,M,MoSalah,159665,"{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",True,goal,penalty,left-foot,86,5148,2448,penalty,11.5,50.0,0,52.9,10.1,11,,
Sven Botman,sven-botman,S. Botman,D,3367,M,,910046,"{'nameTranslation': {'ar': 'سفين بوتمان', 'hi': 'स्वेन बोटमैन', 'bn': 'সোভেন বটম্যান'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'hi': 'एस. बोटमैन', 'bn': 'এস. বটম্যান'}}",False,goal,corner,head,81,4846,2146,regular,5.5,51.3,0,54.2,10.8,4,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,53434,M,CodyGakpo,862967,"{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",True,goal,assisted,right-foot,78,4643,1943,regular,7.7,49.4,0,47.7,10.8,18,,
Miguel Almirón,miguel-almiron,M. Almirón,M,8455,M,miguel_almiron,333373,"{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",False,miss,assisted,left-foot,76,4504,1804,,9.6,67.2,0,62.4,77.8,10,,
Curtis Jones,curtis-jones,C. Jones,M,17493,M,curtisjones,927353,"{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",True,goal,assisted,right-foot,74,4400,1700,regular,2.4,52.3,0,49.0,10.8,17,,
Anthony Gordon,gordon-anthony,A. Gordon,F,15531,M,AGordon,914902,"{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",False,save,regular,right-foot,70,4162,1462,,28.6,48.5,0,51.0,4.4,10,,
Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,30819,M,ryanjiro,904897,"{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",True,miss,corner,right-foot,69,4119,1419,,17.6,39.5,0,53.8,93.1,38,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,53434,M,CodyGakpo,862967,"{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",True,save,corner,right-foot,69,4115,1415,,10.3,47.3,0,51.7,4.4,18,,
Curtis Jones,curtis-jones,C. Jones,M,17493,M,curtisjones,927353,"{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",True,block,regular,left-foot,65,3884,1184,,11.6,44.2,0,52.6,19.0,17,,
Mohamed Salah,mohamed-salah,M. Salah,M,561305,M,MoSalah,159665,"{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",True,save,assisted,left-foot,65,3882,1182,,14.8,75.6,0,53.0,14.6,11,,
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",True,miss,assisted,head,64,3783,1083,,8.8,52.8,0,63.0,25.0,7,,
Luis Díaz,luis-diaz,L. Díaz,F,140854,M,LuisDíaz,883537,"{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",True,save,assisted,right-foot,62,3697,997,,14.8,58.7,0,50.8,13.9,14,,
Alexander Isak,alexander-isak,A. Isak,F,101689,M,AlexIsak,823941,"{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",False,goal,assisted,right-foot,54,3218,518,regular,12.3,35.0,0,46.8,7.6,9,,
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",True,miss,corner,head,53,3170,470,,9.8,68.1,0,49.2,55.6,7,,
Darwin Núñez,darwin-nunez,D. Núñez,F,74506,M,Darwin,924871,"{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",True,save,assisted,right-foot,52,3119,419,,9.4,69.9,0,51.5,13.3,7,,
