minute,value
1.0,-8
2.0,-12
3.0,-21
4.0,-20
5.0,-24
6.0,-21
7.0,-51
8.0,-60
9.0,-35
10.0,-31
11.0,-24
12.0,-18
13.0,-14
14.0,-68
15.0,-46
16.0,-30
17.0,-21
18.0,-10
19.0,-9
20.0,24
21.0,4
22.0,-7
23.0,-6
24.0,-20
25.0,-16
26.0,-14
27.0,-17
28.0,-12
29.0,28
30.0,5
31.0,-13
32.0,-3
33.0,-22
34.0,22
35.0,3
36.0,-14
37.0,-15
38.0,-10
39.0,-35
40.0,-61
41.0,-42
42.0,-73
43.0,-54
44.0,-32
45.0,-22
45.5,42
46.0,-10
47.0,-60
48.0,-69
49.0,-49
50.0,-37
51.0,-44
52.0,-29
53.0,-22
54.0,-19
55.0,-92
56.0,-68
57.0,-56
58.0,-21
59.0,-16
60.0,-7
61.0,-8
62.0,7
63.0,-26
64.0,-16
65.0,-13
66.0,-35
67.0,-12
68.0,8
69.0,18
70.0,18
71.0,37
72.0,15
73.0,3
74.0,47
75.0,21
76.0,5
77.0,-7
78.0,-59
79.0,-58
80.0,-35
81.0,-14
82.0,16
83.0,37
84.0,-37
85.0,-15
86.0,-48
87.0,-24
88.0,-12
89.0,-61
90.0,-43
90.5,-174
