name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,challengeLost,onTargetScoringAttempt,outfielderBlock,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalOffside,totalCross,dispossessed,goalAssist,accurateCross,bigChanceCreated,goals,sofascoreId,goodHighClaim,lastManTackle,hitWoodwork
Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1148,M,283847,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,821923200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفو غريبيتش', 'hi': 'इवो ग्रबिक', 'bn': 'আইভো গ্রবিক'}, 'shortNameTranslation': {'ar': 'إ. غريبيتش', 'hi': 'आई. ग्रबिक', 'bn': 'আই. গ্রবিক'}}",26.0,12.0,22.0,8.0,5.0,5.0,7.0,21.0,1.0,1.0,1.0,12.0,4.0,6.0,1.0,90.0,37.0,7.1,14.0,0.00085523,"{'original': 7.1, 'alternative': 7.1}",0,-1.4628,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Holgate,,,mason-holgate,M. Holgate,D,27,187,409,M,781544,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,845942400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايسون هولجيت', 'hi': 'मेसन होल्गेट', 'bn': 'মেসন হোলগেট'}, 'shortNameTranslation': {'ar': 'م. هولجيت', 'hi': 'एम. होल्गेट', 'bn': 'এম. হলগেট'}}",17.0,10.0,5.0,1.0,7.0,9.0,3.0,8.0,4.0,7.0,11.0,2.0,,,,90.0,43.0,6.6,11.0,0.00097089,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",17.0,14.0,6.0,4.0,8.0,8.0,6.0,9.0,3.0,7.0,9.0,2.0,,,,90.0,36.0,7.3,5.0,0.00346627,"{'original': 7.3, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,4.0,3.0,2.0,,1.0,1.0,1.0,1.0,0.0247,0.0412,1.0,,,,,,,,,,,,,,,,
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",26.0,15.0,9.0,3.0,9.0,12.0,6.0,14.0,2.0,5.0,5.0,2.0,,,,90.0,41.0,6.7,12.0,0.0131194,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,3.0,,1.0,,,2.0,,1.0,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",11.0,9.0,2.0,1.0,3.0,3.0,6.0,8.0,2.0,4.0,1.0,1.0,,,,90.0,23.0,6.7,3.0,0.0104706,"{'original': 6.7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,,1.0,,2.0,,,,0.0749,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",16.0,10.0,2.0,1.0,6.0,8.0,4.0,8.0,,3.0,3.0,1.0,,,,85.0,28.0,6.6,7.0,0.00090445,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,
Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180,223,M,1191153,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073520000,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر أربيلاستر'}, 'shortNameTranslation': {'ar': 'أ. أربيلاستر'}}",20.0,15.0,4.0,2.0,9.0,11.0,6.0,10.0,,4.0,,8.0,,,,85.0,31.0,7.1,7.0,0.0114122,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,2.0,2.0,,1.0,,,,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",17.0,9.0,1.0,,5.0,5.0,5.0,15.0,,2.0,,2.0,,,,90.0,29.0,7.1,11.0,0.414201,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,2.0,,,,1.0,1.0,,,,0.0632,,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,
Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,76,M,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",19.0,13.0,5.0,1.0,8.0,10.0,6.0,13.0,1.0,6.0,3.0,6.0,,,,86.0,38.0,6.9,10.0,0.0176965,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,2.0,3.0,2.0,,2.0,,1.0,,,,,,4.0,,,,,,4.0,,,1.0,,,,,,
Oliver McBurnie,,,oliver-mcburnie,O. McBurnie,F,9,188,920,M,367228,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,833846400,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر مكبورني', 'hi': 'ओलिवर मैकबर्नी', 'bn': 'অলিভার ম্যাকবার্নি'}, 'shortNameTranslation': {'ar': 'أ. مكبورني', 'hi': 'ओ. मैकबर्नी', 'bn': 'ও. ম্যাকবার্নি'}}",24.0,12.0,,,3.0,3.0,10.0,22.0,8.0,10.0,2.0,3.0,,,,89.0,39.0,8.3,17.0,0.413942,"{'original': 8.3, 'alternative': 8.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,,2.0,1.0,2.0,,2.0,1.0,1.0,,0.6972,0.2309,2.0,8.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
