minute,value
1.0,-1
2.0,-10
3.0,-13
4.0,-34
5.0,-18
6.0,-13
7.0,-85
8.0,-52
9.0,-31
10.0,-20
11.0,-13
12.0,-10
13.0,-5
14.0,28
15.0,7
16.0,2
17.0,26
18.0,13
19.0,-27
20.0,-22
21.0,-13
22.0,-38
23.0,-27
24.0,-42
25.0,-28
26.0,-43
27.0,-12
28.0,18
29.0,5
30.0,-5
31.0,11
32.0,3
33.0,28
34.0,14
35.0,-9
36.0,8
37.0,-34
38.0,-9
39.0,24
40.0,83
41.0,54
42.0,37
43.0,9
44.0,27
45.0,12
45.5,-25
46.0,-3
47.0,-5
48.0,-10
49.0,-19
50.0,-16
51.0,-6
52.0,-2
53.0,29
54.0,49
55.0,32
56.0,21
57.0,18
58.0,19
59.0,8
60.0,3
61.0,-2
62.0,22
63.0,11
64.0,-9
65.0,-8
66.0,-34
67.0,-19
68.0,28
69.0,8
70.0,-51
71.0,-29
72.0,-15
73.0,-24
74.0,-11
75.0,4
76.0,10
77.0,7
78.0,2
79.0,-4
80.0,-16
81.0,-9
82.0,18
83.0,-22
84.0,-15
85.0,-19
86.0,-9
87.0,-29
88.0,-26
89.0,-10
90.0,-2
90.5,-4
