period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
ALL,Match overview,Ball possession,49.0,51.0,,,49%,51%,2,ballPossession
ALL,Match overview,Expected goals,1.39,1.2,,,1.39,1.20,1,expectedGoals
ALL,Match overview,Big chances,2.0,2.0,,,2,2,3,bigChanceCreated
ALL,Match overview,Total shots,9.0,9.0,,,9,9,3,totalShotsOnGoal
ALL,Match overview,Goalkeeper saves,3.0,2.0,,,3,2,1,goalkeeperSaves
ALL,Match overview,Corner kicks,1.0,5.0,,,1,5,2,cornerKicks
ALL,Match overview,Fouls,13.0,11.0,,,13,11,1,fouls
ALL,Match overview,Passes,451.0,482.0,,,451,482,2,passes
ALL,Match overview,Tackles,27.0,21.0,,,27,21,1,totalTackle
ALL,Match overview,Free kicks,11.0,12.0,,,11,12,2,freeKicks
ALL,Match overview,Yellow cards,1.0,3.0,,,1,3,2,yellowCards
ALL,Shots,Total shots,9.0,9.0,,,9,9,3,totalShotsOnGoal
ALL,Shots,Shots on target,3.0,4.0,,,3,4,2,shotsOnGoal
ALL,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
ALL,Shots,Shots off target,3.0,3.0,,,3,3,3,shotsOffGoal
ALL,Shots,Blocked shots,3.0,2.0,,,3,2,1,blockedScoringAttempt
ALL,Shots,Shots inside box,7.0,7.0,,,7,7,3,totalShotsInsideBox
ALL,Shots,Shots outside box,2.0,2.0,,,2,2,3,totalShotsOutsideBox
ALL,Attack,Big chances scored,1.0,1.0,,,1,1,3,bigChanceScored
ALL,Attack,Big chances missed,1.0,1.0,,,1,1,3,bigChanceMissed
ALL,Attack,Through balls,0.0,1.0,,,0,1,2,accurateThroughBall
ALL,Attack,Fouled in final third,4.0,0.0,,,4,0,1,fouledFinalThird
ALL,Attack,Offsides,1.0,3.0,,,1,3,2,offsides
ALL,Passes,Accurate passes,356.0,370.0,,,356,370,2,accuratePasses
ALL,Passes,Throw-ins,24.0,31.0,,,24,31,2,throwIns
ALL,Passes,Final third entries,51.0,66.0,,,51,66,2,finalThirdEntries
ALL,Passes,Long balls,22.0,20.0,68.0,71.0,22/68 (32%),20/71 (28%),1,accurateLongBalls
ALL,Passes,Crosses,5.0,3.0,20.0,13.0,5/20 (25%),3/13 (23%),1,accurateCross
ALL,Duels,Duels,56.0,44.0,,,56%,44%,1,duelWonPercent
ALL,Duels,Dispossessed,9.0,16.0,,,9,16,2,dispossessed
ALL,Duels,Ground duels,50.0,39.0,89.0,89.0,50/89 (56%),39/89 (44%),1,groundDuelsPercentage
ALL,Duels,Aerial duels,24.0,19.0,43.0,43.0,24/43 (56%),19/43 (44%),1,aerialDuelsPercentage
ALL,Duels,Dribbles,12.0,7.0,24.0,18.0,12/24 (50%),7/18 (39%),1,dribblesPercentage
ALL,Defending,Tackles won,19.0,14.0,27.0,21.0,70%,67%,1,wonTacklePercent
ALL,Defending,Total tackles,27.0,21.0,,,27,21,1,totalTackle
ALL,Defending,Interceptions,5.0,7.0,,,5,7,2,interceptionWon
ALL,Defending,Recoveries,72.0,71.0,,,72,71,1,ballRecovery
ALL,Defending,Clearances,26.0,19.0,,,26,19,1,totalClearance
ALL,Goalkeeping,Total saves,3.0,2.0,,,3,2,1,goalkeeperSaves
ALL,Goalkeeping,Goals prevented,-0.421,0.0366,,,-0.42,0.04,2,goalsPrevented
ALL,Goalkeeping,Goal kicks,6.0,8.0,,,6,8,2,goalKicks
1ST,Match overview,Ball possession,53.0,47.0,,,53%,47%,1,ballPossession
1ST,Match overview,Expected goals,0.39,1.06,,,0.39,1.06,2,expectedGoals
1ST,Match overview,Big chances,1.0,2.0,,,1,2,2,bigChanceCreated
1ST,Match overview,Total shots,3.0,6.0,,,3,6,2,totalShotsOnGoal
1ST,Match overview,Goalkeeper saves,2.0,2.0,,,2,2,3,goalkeeperSaves
1ST,Match overview,Corner kicks,1.0,3.0,,,1,3,2,cornerKicks
1ST,Match overview,Passes,252.0,227.0,,,252,227,1,passes
1ST,Match overview,Tackles,14.0,10.0,,,14,10,1,totalTackle
1ST,Match overview,Free kicks,5.0,8.0,,,5,8,2,freeKicks
1ST,Match overview,Yellow cards,0.0,0.0,,,0,0,3,yellowCards
1ST,Shots,Total shots,3.0,6.0,,,3,6,2,totalShotsOnGoal
1ST,Shots,Shots on target,2.0,3.0,,,2,3,2,shotsOnGoal
1ST,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
1ST,Shots,Shots off target,1.0,2.0,,,1,2,2,shotsOffGoal
1ST,Shots,Blocked shots,0.0,1.0,,,0,1,2,blockedScoringAttempt
1ST,Shots,Shots inside box,2.0,5.0,,,2,5,2,totalShotsInsideBox
1ST,Shots,Shots outside box,1.0,1.0,,,1,1,3,totalShotsOutsideBox
1ST,Attack,Big chances scored,0.0,1.0,,,0,1,2,bigChanceScored
1ST,Attack,Big chances missed,1.0,1.0,,,1,1,3,bigChanceMissed
1ST,Attack,Through balls,0.0,1.0,,,0,1,2,accurateThroughBall
1ST,Attack,Fouled in final third,1.0,0.0,,,1,0,1,fouledFinalThird
1ST,Attack,Offsides,1.0,1.0,,,1,1,3,offsides
1ST,Passes,Accurate passes,202.0,171.0,,,202,171,1,accuratePasses
1ST,Passes,Throw-ins,18.0,14.0,,,18,14,1,throwIns
1ST,Passes,Final third entries,21.0,31.0,,,21,31,2,finalThirdEntries
1ST,Passes,Long balls,9.0,8.0,35.0,33.0,9/35 (26%),8/33 (24%),1,accurateLongBalls
1ST,Passes,Crosses,3.0,2.0,13.0,7.0,3/13 (23%),2/7 (29%),2,accurateCross
1ST,Duels,Duels,52.0,48.0,,,52%,48%,1,duelWonPercent
1ST,Duels,Dispossessed,4.0,7.0,,,4,7,2,dispossessed
1ST,Duels,Ground duels,24.0,19.0,43.0,43.0,24/43 (56%),19/43 (44%),1,groundDuelsPercentage
1ST,Duels,Aerial duels,8.0,11.0,19.0,19.0,8/19 (42%),11/19 (58%),2,aerialDuelsPercentage
1ST,Duels,Dribbles,5.0,2.0,11.0,9.0,5/11 (45%),2/9 (22%),1,dribblesPercentage
1ST,Defending,Tackles won,9.0,8.0,14.0,10.0,64%,80%,2,wonTacklePercent
1ST,Defending,Total tackles,14.0,10.0,,,14,10,1,totalTackle
1ST,Defending,Interceptions,3.0,4.0,,,3,4,2,interceptionWon
1ST,Defending,Recoveries,37.0,41.0,,,37,41,2,ballRecovery
1ST,Defending,Clearances,8.0,11.0,,,8,11,2,totalClearance
1ST,Goalkeeping,Total saves,2.0,2.0,,,2,2,3,goalkeeperSaves
1ST,Goalkeeping,Goal kicks,4.0,5.0,,,4,5,2,goalKicks
2ND,Match overview,Ball possession,44.0,56.0,,,44%,56%,2,ballPossession
2ND,Match overview,Expected goals,1.0,0.14,,,1.00,0.14,1,expectedGoals
2ND,Match overview,Big chances,1.0,0.0,,,1,0,1,bigChanceCreated
