minute,value
1.0,-5
2.0,-11
3.0,-10
4.0,-12
5.0,-13
6.0,-4
7.0,19
8.0,9
9.0,-9
10.0,-4
11.0,-5
12.0,-7
13.0,-24
14.0,-15
15.0,-26
16.0,29
17.0,-40
18.0,-33
19.0,-30
20.0,-62
21.0,-45
22.0,-44
23.0,-37
24.0,-37
25.0,-27
26.0,-66
27.0,-37
28.0,-9
29.0,-63
30.0,-40
31.0,-98
32.0,-34
33.0,-24
34.0,-12
35.0,20
36.0,11
37.0,-11
38.0,10
39.0,-33
40.0,-22
41.0,48
42.0,81
43.0,41
44.0,20
45.0,9
45.5,-16
46.0,-7
47.0,-12
48.0,-28
49.0,-56
50.0,-39
51.0,-72
52.0,-71
53.0,-46
54.0,-64
55.0,-38
56.0,-24
57.0,-7
58.0,-23
59.0,-32
60.0,-22
61.0,-15
62.0,-69
63.0,-42
64.0,-28
65.0,-35
66.0,-32
67.0,-87
68.0,-13
69.0,-57
70.0,-65
71.0,-44
72.0,-27
73.0,-57
74.0,-58
75.0,-37
76.0,-27
77.0,-22
78.0,-72
79.0,-39
80.0,-30
81.0,-7
82.0,-14
83.0,-12
84.0,-30
85.0,-100
86.0,-71
87.0,-100
88.0,-87
89.0,-58
90.0,-33
90.5,-23
