name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,accurateCross,aerialWon,duelWon,totalContest,interceptionWon,lastManTackle,totalTackle,wonTackle,totalOffside,keyPass,dispossessed,onTargetScoringAttempt,outfielderBlock,unsuccessfulTouch,wasFouled,expectedGoals,expectedGoalsOnTarget,goalAssist,aerialLost,bigChanceCreated,fouls,shotOffTarget,blockedScoringAttempt,wonContest,bigChanceMissed,goals,errorLeadToAShot,hitWoodwork
Julián Alvarez,,,julian-alvarez,J. Álvarez,F,19,170,228751,M,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",35.0,34.0,2.0,2.0,5.0,5.0,29.0,35.0,2.0,,,2.0,,,,90.0,51.0,7.6,8.0,0.186738,"{'original': 7.6, 'alternative': 7.2}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,LaAraña,5.0,,,1.0,,,,1.0,1.0,,4.0,2.0,3.0,,,,0.701,0.8221,,,,,1.0,2.0,,1.0,,,
Stefan Ortega,,,stefan-ortega,S. Ortega,G,18,186,10750,M,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",25.0,17.0,12.0,4.0,17.0,20.0,,5.0,,,,8.0,3.0,3.0,,82.0,31.0,6.2,8.0,0.00016793,"{'original': 6.2, 'alternative': 6.2}",0,-0.0032000000000001,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,stefan.ortega1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Kevin De Bruyne,,,kevin-de-bruyne,K. De Bruyne,M,11,181,335100,M,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",22.0,17.0,,,,,18.0,31.0,3.0,,,,,,,21.0,35.0,8.7,13.0,0.39072,"{'original': 8.7, 'alternative': 8.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,KDB,9.0,1.0,1.0,1.0,,,,,,,3.0,,1.0,,,,0.1746,0.4895,1.0,1.0,1.0,2.0,,1.0,,,1.0,,
Oscar Bobb,Oscar Bobb,,oscar-bobb,O. Bobb,M,52,174,17188,M,1065216,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1057968000,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسكار بوب', 'hi': 'ऑस्कर बॉब', 'bn': 'অস্কার বব'}, 'shortNameTranslation': {'ar': 'أ. بوب', 'hi': 'ओ. बॉब', 'bn': 'ও. বব'}}",6.0,5.0,,,,,5.0,6.0,,,,,,,,8.0,13.0,8.0,1.0,0.0151508,"{'original': 8, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,oscarbobb,,,,4.0,2.0,,,1.0,,,,,1.0,,,1.0,0.9046,0.9727,,,,,,,2.0,,1.0,,
Matheus Nunes,,,matheus-nunes,M. Nunes,D,27,183,18816,M,945122,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,904176000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس نونيز', 'hi': 'मैथियस नून्स', 'bn': 'ম্যাথিউস নুনেস'}, 'shortNameTranslation': {'ar': 'م. نونيز', 'hi': 'एम. नून्स', 'bn': 'এম. নুনেস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,matheusnunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Lewis,Rico Lewis,,rico-lewis,R. Lewis,D,82,170,17414,M,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Rico_Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Gómez,,,sergio-gomez,S. Gómez,M,17,171,4599,M,855835,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,968025600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو غوميز', 'hi': 'सर्जियो गोमेज़', 'bn': 'সার্জিও গোমেজ'}, 'shortNameTranslation': {'ar': 'س. غوميز', 'hi': 'एस. गोमेज़', 'bn': 'এস. গোমেজ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,sergiogm_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahamadou Susoho,,,susoho-mahamadou,M. Susoho,M,7,175,665,M,1156644,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1106179200,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سوسهو، محمدو', 'hi': 'सुसोहो, महामदौ', 'bn': 'সুসোহো, মহামাদৌ'}, 'shortNameTranslation': {'ar': 'م. سوسهو', 'hi': 'एम. सुसोहो', 'bn': 'এম. সুসোহো'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Grealish,,,jack-grealish,J. Grealish,M,18,180,61911,M,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,JGrealish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalvin Phillips,,,kalvin-phillips,K. Phillips,M,44,177,7665,M,786028,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,817862400,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين فيليبس', 'hi': 'केल्विन फिलिप्स', 'bn': 'ক্যালভিন ফিলিপস'}, 'shortNameTranslation': {'ar': 'ك. فيليبس', 'hi': 'के. फिलिप्स', 'bn': 'কে. ফিলিপস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,kalvinphillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
