name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,accurateCross,aerialWon,duelWon,totalContest,interceptionWon,lastManTackle,totalTackle,wonTackle,totalOffside,keyPass,dispossessed,onTargetScoringAttempt,outfielderBlock,unsuccessfulTouch,wasFouled,expectedGoals,expectedGoalsOnTarget,goalAssist,aerialLost,bigChanceCreated,fouls,shotOffTarget,blockedScoringAttempt,wonContest,bigChanceMissed,goals,errorLeadToAShot,hitWoodwork
Ederson,,,ederson,Ederson,G,31,188,51284,M,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",4.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,8.0,5.0,6.3,1.0,0.00040306,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Ederson93,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Kyle Walker,,,kyle-walker,K. Walker,D,2,183,28997,M,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",65.0,61.0,5.0,2.0,10.0,11.0,52.0,57.0,5.0,,,3.0,,,,90.0,83.0,7.5,8.0,0.821793,"{'original': 7.5, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,KyleWalker2,3.0,1.0,,4.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,0.0083,,1.0,3.0,,1.0,1.0,,3.0,,,,
Rúben Dias,,,ruben-dias,R. Dias,D,3,188,40658,M,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",78.0,72.0,6.0,2.0,29.0,32.0,43.0,46.0,2.0,,5.0,6.0,,,,90.0,96.0,7.1,8.0,0.0140204,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,RúbenD,,,1.0,3.0,,,,1.0,,,,,,2.0,1.0,1.0,,,,2.0,,,,,,,,,
Nathan Aké,,,nathan-ake,N. Aké,D,6,180,21377,M,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",54.0,48.0,2.0,,21.0,24.0,27.0,30.0,2.0,,,4.0,,,,90.0,56.0,6.3,6.0,0.0099402,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,nathanake,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Joško Gvardiol,,,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",49.0,43.0,,,11.0,12.0,32.0,37.0,3.0,,2.0,8.0,,,,90.0,66.0,7.0,8.0,0.0373187,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,JGvardiol,,,,4.0,3.0,1.0,,2.0,2.0,,,,,,1.0,,0.1614,,,1.0,,1.0,1.0,1.0,2.0,,,,
Rodri,,,rodri,Rodri,M,16,191,93944,M,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",144.0,134.0,10.0,5.0,30.0,30.0,104.0,115.0,6.0,,,7.0,,,,90.0,164.0,8.6,14.0,0.225459,"{'original': 8.6, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Rodri,1.0,,2.0,8.0,3.0,2.0,,1.0,,,3.0,2.0,1.0,1.0,1.0,3.0,0.0347,0.0695,1.0,2.0,,2.0,,,3.0,,,,
Mateo Kovačić,,,mateo-kovacic,M. Kovačić,M,8,178,34246,M,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",91.0,88.0,1.0,,15.0,16.0,73.0,75.0,3.0,1.0,1.0,5.0,,,,90.0,105.0,7.4,7.0,0.127016,"{'original': 7.4, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Kova8,,,,4.0,3.0,,,,,,2.0,2.0,1.0,,2.0,1.0,0.0674,0.0817,,,,,,1.0,3.0,,,,
Phil Foden,,,phil-foden,P. Foden,M,47,171,188988,M,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",57.0,53.0,,,5.0,6.0,48.0,51.0,7.0,,,8.0,,,,90.0,80.0,7.7,12.0,0.314859,"{'original': 7.7, 'alternative': 7.1}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Foden,,,,4.0,3.0,,,1.0,,,4.0,5.0,2.0,,2.0,1.0,0.3176,0.091,,1.0,,,3.0,1.0,2.0,,,,
Bernardo Silva,,,bernardo-silva,B. Silva,M,20,173,65986,M,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",89.0,81.0,5.0,4.0,19.0,20.0,62.0,70.0,2.0,,1.0,2.0,,,,69.0,98.0,8.1,11.0,0.0906167,"{'original': 8.1, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,BSilva,1.0,,,1.0,,,,1.0,1.0,,,1.0,2.0,,1.0,,0.4458,0.6511,,,,1.0,1.0,,,,1.0,,1.0
Jérémy Doku,,,jeremy-doku,J. Doku,M,11,173,68596,M,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",28.0,21.0,2.0,2.0,1.0,2.0,20.0,27.0,9.0,,,5.0,,,,82.0,59.0,6.7,22.0,0.348433,"{'original': 6.7, 'alternative': 6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Dokss,1.0,,,3.0,4.0,,,2.0,1.0,,4.0,6.0,,,4.0,,0.1859,,,,,,,3.0,1.0,,,,
