name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,penaltyFaced,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,onTargetScoringAttempt,goals,clearanceOffLine,outfielderBlock,interceptionWon,expectedGoals,expectedGoalsOnTarget,keyPass,shotOffTarget,totalTackle,penaltyConceded,fouls,wonContest,blockedScoringAttempt,wonTackle,sofascoreId,goalAssist,totalCross,challengeLost,dispossessed,bigChanceMissed,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,lastName,totalOffside,savedShotsFromInsideTheBox,saves,penaltyWon
Jason Steele,jason-steele,J. Steele,G,23,188.0,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",28.0,19.0,17.0,8.0,16.0,20.0,3.0,8.0,1.0,8.0,1.0,1.0,1.0,90.0,35.0,6.8,9.0,0.00118782,"{'original': 6.8, 'alternative': 6.5}",0,-0.0111,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hinshelwood,jack-hinshelwood,J. Hinshelwood,D,13,182.0,1551,M,1142315,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113177600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هينشلوود', 'hi': 'जैक हिन्शेलवुड', 'bn': 'জ্যাক হিনশেলউড'}, 'shortNameTranslation': {'ar': 'ج. هينشلوود', 'hi': 'जे. हिन्शेलवुड', 'bn': 'জে. হিনশেলউড'}}",25.0,22.0,2.0,2.0,12.0,13.0,10.0,12.0,3.0,,,,,73.0,39.0,8.3,5.0,0.124002,"{'original': 8.3, 'alternative': 8.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Jack Hinshelwood,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1585,0.6315,1.0,,,,,,,,,,,,,,,,,,,,,,
Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189.0,2983,M,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",68.0,58.0,8.0,5.0,30.0,34.0,28.0,34.0,2.0,6.0,,,,90.0,77.0,6.9,10.0,0.0278022,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,1.0,7.0,,,1.0,,,,1.0,0.143,0.2493,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185.0,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",79.0,77.0,1.0,1.0,37.0,39.0,40.0,40.0,2.0,10.0,,,,90.0,89.0,7.6,2.0,0.018892,"{'original': 7.6, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,5.0,2.0,8.0,1.0,,,,,1.0,1.0,0.0627,,,,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181.0,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",66.0,58.0,7.0,5.0,7.0,8.0,51.0,60.0,,5.0,,,,90.0,86.0,8.3,14.0,0.311937,"{'original': 8.3, 'alternative': 7.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,2.0,5.0,5.0,,,1.0,1.0,,,,0.3989,0.4204,1.0,1.0,2.0,,,,1.0,,pascalgross65,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,
Carlos Baleba,baleba-carlos,C. Baleba,M,17,179.0,22765,M,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",66.0,61.0,4.0,3.0,35.0,36.0,26.0,30.0,3.0,8.0,,,,84.0,75.0,7.2,8.0,0.0137559,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,5.0,5.0,,,,,,,1.0,,,2.0,,2.0,,2.0,,,2.0,carlos_baleba,,,,2.0,,,1.0,,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169.0,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",79.0,72.0,5.0,5.0,25.0,28.0,50.0,57.0,1.0,5.0,,,,90.0,101.0,7.4,16.0,0.275169,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,6.0,5.0,2.0,,,,,1.0,1.0,0.0498,,3.0,,,,1.0,,1.0,,billygilmour,,6.0,1.0,1.0,,,3.0,2.0,3.0,,,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,175.0,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",30.0,23.0,2.0,,3.0,3.0,20.0,29.0,2.0,3.0,,,,84.0,50.0,7.6,15.0,0.0609917,"{'original': 7.6, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,5.0,6.0,7.0,,2.0,,,,,0.2108,0.6524,2.0,2.0,1.0,,1.0,3.0,,1.0,simon.adingra,,2.0,,,,,2.0,2.0,,,1.0,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174.0,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",29.0,26.0,1.0,1.0,5.0,6.0,21.0,23.0,,7.0,,,,69.0,43.0,6.7,8.0,0.130083,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Facundo Buonanotte,2.0,,9.0,6.0,2.0,,,,,,,0.0267,,1.0,1.0,3.0,,3.0,1.0,,2.0,facubuonanotte_,,,1.0,2.0,,,2.0,2.0,,,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178.0,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",65.0,52.0,1.0,,8.0,10.0,45.0,57.0,1.0,3.0,,,,90.0,85.0,7.3,22.0,0.242681,"{'original': 7.3, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,10.0,5.0,8.0,,,,,1.0,,0.0268,,3.0,1.0,1.0,,2.0,3.0,,,KaoruM,1.0,2.0,2.0,,,,3.0,,1.0,,,,,
