name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,totalTackle,wasFouled,fouls,keyPass,outfielderBlock,interceptionWon,wonTackle,dispossessed,unsuccessfulTouch,firstName,lastName,accurateCross,shotOffTarget,blockedScoringAttempt,clearanceOffLine,hitWoodwork,onTargetScoringAttempt,goals,errorLeadToAShot,goodHighClaim,punches,goalAssist,bigChanceMissed,bigChanceCreated,totalOffside
Neto,neto,Neto,G,22,190,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",39.0,27.0,18.0,6.0,23.0,23.0,4.0,16.0,1.0,1.0,1.0,10.0,1.0,1.0,90.0,46.0,6.4,12.0,0.0,0.0,0.00529456,"{'original': 6.4, 'alternative': 6.5}",0,-0.2972,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Aarons,max-aarons,M. Aarons,D,3,178,1292,M,,943645,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,946944000,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس آرونز', 'hi': 'मैक्स आरोन्स', 'bn': 'ম্যাক্স অ্যারোনস'}, 'shortNameTranslation': {'ar': 'م. آرونز', 'hi': 'एम. आरोन्स', 'bn': 'এম. অ্যারোনস'}}",36.0,32.0,1.0,1.0,19.0,23.0,13.0,14.0,,6.0,,3.0,,,75.0,52.0,6.9,6.0,0.0,0.0,0.0691013,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",96.0,77.0,15.0,4.0,60.0,65.0,17.0,31.0,4.0,5.0,,7.0,,,90.0,102.0,6.5,20.0,0.0,0.0,0.0122389,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,8.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",51.0,43.0,8.0,3.0,31.0,32.0,12.0,19.0,1.0,3.0,3.0,7.0,,,60.0,62.0,6.7,10.0,0.0,0.0,0.01723,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,6.0,2.0,,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,miloskerkez,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",40.0,31.0,3.0,2.0,19.0,22.0,13.0,22.0,4.0,10.0,3.0,6.0,,,90.0,75.0,6.8,17.0,0.0,0.0,0.0492852,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,6.0,1.0,3.0,1.0,2.0,3.0,,1.0,,,1.0,1.0,1.0,Milos,Kerkez,1.0,,,,,,,,,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",42.0,37.0,3.0,2.0,19.0,20.0,19.0,24.0,3.0,6.0,2.0,6.0,,,90.0,64.0,7.6,12.0,0.0679,0.0,0.0626276,"{'original': 7.6, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,,2.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
Joe Rothwell,joe-rothwell,J. Rothwell,M,6,185,269,M,,190853,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789782400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو روثويل', 'hi': 'जो रोथवेल', 'bn': 'জো রথওয়েল'}, 'shortNameTranslation': {'ar': 'ج. روثويل', 'hi': 'जे. रोथवेल', 'bn': 'জে. রথওয়েল'}}",69.0,61.0,7.0,,22.0,23.0,39.0,52.0,,6.0,,11.0,,,90.0,91.0,7.1,18.0,0.0281,0.0,0.0440253,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,,4.0,1.0,4.0,2.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",30.0,23.0,2.0,1.0,5.0,7.0,18.0,30.0,,,,,,,75.0,50.0,6.7,21.0,0.1639,0.2322,0.0232405,"{'original': 6.7, 'alternative': 6.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,2.0,5.0,,2.0,,,,,1.0,,,,1.0,4.0,,,,2.0,,,,2.0,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",26.0,22.0,2.0,2.0,13.0,14.0,9.0,12.0,,7.0,,10.0,,,67.0,43.0,7.1,11.0,0.0177,0.0445,0.0324515,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,8.0,,3.0,1.0,3.0,3.0,1.0,1.0,,,2.0,3.0,2.0,,,,,,,,1.0,,,,,,,,
Jaidon Anthony,jaidon-anthony,J. Anthony,M,11,177,1071,M,,1020680,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944006400,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايدون أنتوني', 'hi': 'जैडॉन एंथनी', 'bn': 'জাইডন অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'ج. أنتوني', 'hi': 'जे. एंथनी', 'bn': 'জে. অ্যান্টনি'}}",13.0,8.0,1.0,,2.0,3.0,6.0,10.0,1.0,4.0,1.0,2.0,,,60.0,26.0,6.4,8.0,0.0,0.0,0.00408608,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,8.0,2.0,1.0,1.0,2.0,,2.0,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,
