name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalClearance,totalTackle,wonTackle,ownGoals,aerialLost,aerialWon,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,interceptionWon,fouls,expectedGoals,expectedGoalsOnTarget,goals,unsuccessfulTouch,wasFouled,firstName,lastName,dispossessed,totalOffside
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",35.0,20.0,31.0,16.0,5.0,6.0,15.0,29.0,16.0,1.0,1.0,2.0,90.0,43.0,7.2,15.0,0.019692,1.0,"{'original': 7.2, 'alternative': 6.9}",0,-0.6726,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Young,ashley-young,A. Young,D,15,180,1765,M,,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",22.0,14.0,8.0,2.0,8.0,10.0,7.0,13.0,11.0,,,,89.0,38.0,6.1,10.0,0.0120746,,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",15.0,11.0,5.0,3.0,8.0,9.0,3.0,6.0,2.0,,,,90.0,25.0,7.3,4.0,0.0036278,1.0,"{'original': 7.3, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,3.0,5.0,,2.0,,,,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1602,0.0722,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",14.0,8.0,5.0,4.0,4.0,7.0,4.0,7.0,3.0,,,,90.0,24.0,6.7,6.0,0.00818731,,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,5.0,1.0,3.0,3.0,2.0,,2.0,2.0,,,,,,,1.0,3.0,,,,,,,,,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,mikola_16,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",14.0,8.0,5.0,1.0,4.0,5.0,5.0,13.0,3.0,,,,90.0,37.0,7.5,10.0,0.00592963,,"{'original': 7.5, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,,2.0,,1.0,1.0,,2.0,1.0,,2.0,,0.1975,0.3396,1.0,1.0,,,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,175,1080,M,,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",14.0,3.0,3.0,,3.0,6.0,,9.0,4.0,,,,90.0,28.0,6.3,17.0,5.581e-05,,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,4.0,2.0,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",24.0,18.0,1.0,,11.0,13.0,8.0,12.0,5.0,,,,90.0,40.0,7.0,8.0,0.0410641,1.0,"{'original': 7, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,,1.0,1.0,,,1.0,,,,2.0,1.0,0.1289,,,2.0,,,,,
Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,17031,M,iganagueye,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",16.0,11.0,2.0,,5.0,6.0,6.0,10.0,1.0,,,,90.0,24.0,6.5,5.0,0.00217859,,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,,3.0,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",16.0,12.0,1.0,1.0,2.0,2.0,11.0,20.0,2.0,,,,90.0,36.0,6.7,13.0,0.108735,1.0,"{'original': 6.7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,5.0,7.0,,3.0,3.0,1.0,,,3.0,2.0,,1.0,,,,,2.0,0.0528,,,1.0,1.0,Dwight,McNeil,1.0,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",18.0,15.0,,,4.0,5.0,11.0,13.0,4.0,,,,90.0,28.0,6.7,7.0,0.00845703,,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,2.0,1.0,,,,,,,2.0,2.0,,1.0,,,,5.0,0.1035,0.2095,,3.0,,,,1.0,
