minute,value
1.0,-8
2.0,-13
3.0,-15
4.0,-30
5.0,-26
6.0,19
7.0,-8
8.0,-25
9.0,-51
10.0,72
11.0,16
12.0,1
13.0,-31
14.0,-22
15.0,-26
16.0,-23
17.0,-44
18.0,-29
19.0,-36
20.0,-27
21.0,-21
22.0,32
23.0,13
24.0,-9
25.0,-23
26.0,-18
27.0,-22
28.0,-23
29.0,-22
30.0,20
31.0,3
32.0,1
33.0,-29
34.0,-11
35.0,-18
36.0,11
37.0,-8
38.0,-5
39.0,-14
40.0,-22
41.0,-30
42.0,-27
43.0,-26
44.0,-30
45.0,24
45.5,-32
46.0,-9
47.0,-13
48.0,-16
49.0,-18
50.0,-19
51.0,-17
52.0,-24
53.0,-21
54.0,-30
55.0,-26
56.0,-77
57.0,-50
58.0,-34
59.0,-24
60.0,-29
61.0,-21
62.0,-16
63.0,-38
64.0,-37
65.0,-30
66.0,-25
67.0,-45
68.0,-24
69.0,32
70.0,9
71.0,-14
72.0,-6
73.0,-5
74.0,17
75.0,6
76.0,-25
77.0,-17
78.0,-27
79.0,-48
80.0,-32
81.0,-22
82.0,-28
83.0,-20
84.0,-28
85.0,-22
86.0,-15
87.0,8
88.0,38
89.0,24
90.0,15
90.5,-12
