name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,ballRecovery,penaltyConceded,fouls,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelWon,totalContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,sofascoreId,aerialWon,outfielderBlock,challengeLost,wonContest,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,expectedGoals,expectedGoalsOnTarget,keyPass,goodHighClaim,goalAssist,accurateCross,goals,bigChanceCreated,shotOffTarget,bigChanceMissed,penaltyWon,errorLeadToAShot
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180,71135,M,922573,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,992822400,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",27.0,25.0,,,10.0,11.0,15.0,17.0,5.0,8.0,,1.0,,,,77.0,44.0,7.2,10.0,0.243261,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,5.0,5.0,,,,,3.0,3.0,GabiMartinelli,,,,2.0,1.0,,1.0,,0.1334,,3.0,,,,,,1.0,,,1.0
Mohamed Elneny,mohamed-elneny,M. Elneny,M,17,180,18954,M,159675,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,710812800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد النني', 'hi': 'मोहम्मद एल्नेनी', 'bn': 'মোহাম্মদ এলনেনি'}, 'shortNameTranslation': {'ar': 'م. النني', 'hi': 'एम. एल्नेनी', 'bn': 'এম. এলনেনি'}}",25.0,25.0,,,13.0,13.0,12.0,12.0,3.0,,,1.0,,,,23.0,29.0,6.7,1.0,0.00533278,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,,,,,,,1.0,,elnennym,,,1.0,,,1.0,,,0.0812,0.0561,,,,,,,1.0,,,
Reiss Nelson,reiss-nelson,R. Nelson,M,11,175,4985,M,826139,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944784000,"{'value': 15400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس نيلسون', 'hi': 'रीस नेल्सन', 'bn': 'রেইস নেলসন'}, 'shortNameTranslation': {'ar': 'ر. نيلسون', 'hi': 'आर. नेल्सन', 'bn': 'আর. নেলসন'}}",12.0,12.0,1.0,1.0,3.0,3.0,9.0,12.0,1.0,2.0,,,,,,23.0,21.0,7.0,4.0,0.0107773,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,,5.0,1.0,,,1.0,1.0,,4.0,reissnelson,,,,,,,,,,,,,,,,,,,,
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175,6808,M,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",8.0,8.0,,,1.0,1.0,7.0,7.0,5.0,,,4.0,,,,23.0,11.0,6.8,1.0,0.0267345,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,1.0,,,,,,1.0,1.0,EN9,,,,,,1.0,,,0.0669,0.0212,,,,,,,,,,
Ethan Nwaneri,ethan-nwaneri,E. Nwaneri,M,22,176,18206,M,1401702,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1174435200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان نوانيري', 'hi': 'एथन नवानेरी', 'bn': 'ইথান নওয়ানেরি'}, 'shortNameTranslation': {'ar': 'إ. نوانيري', 'hi': 'ई. नवानेरी', 'bn': 'ই. নওয়ানেরি'}}",18.0,15.0,,,1.0,1.0,14.0,17.0,1.0,,,1.0,,,,13.0,20.0,6.9,3.0,0.0412096,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,2.0,,,,,,,1.0,ethan_nwaneri,1.0,,,,,,,,,,1.0,,,,,,,,,
Cédric Soares,cedric-soares,C. Soares,M,6,172,2753,M,44760,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,683596800,"{'value': 740000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيدريك سواريس', 'hi': 'सेड्रिक सोरेस', 'bn': 'সেড্রিক সোয়ারেস'}, 'shortNameTranslation': {'ar': 'س. سواريس', 'hi': 'सी. सोरेस', 'bn': 'সি. সোয়ারেস'}}",9.0,8.0,2.0,1.0,5.0,6.0,3.0,4.0,,,,,,,,13.0,10.0,6.6,2.0,0.0015719,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,191,8776,M,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,ARamsdale,,,,,,,,,,,,,,,,,,,,
Reuell Walters,walters-reuell,R. Walters,D,2,183,368,M,1138843,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1103155200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'والترز، روييل', 'hi': 'वाल्टर्स, रूएल', 'bn': 'ওয়াল্টার্স, রিয়েল'}, 'shortNameTranslation': {'ar': 'ر. والترز', 'hi': 'आर. वाल्टर्स', 'bn': 'আর. ওয়াল্টার্স'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorginho,jorginho,Jorginho,M,21,180,32651,M,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,jorginhofrello,,,,,,,,,,,,,,,,,,,,
Mauro Bandeira,mauro-bandeira,M. Bandeira,M,,178,119,M,1089546,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1069113600,"{'value': 54000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماورو بانديرا', 'hi': 'माउरो बांडेरा', 'bn': 'মাউরো বান্দেইরা'}, 'shortNameTranslation': {'ar': 'م. بانديرا', 'hi': 'एम. बांडेरा', 'bn': 'এম. বান্দেইরা'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Mauro Bandeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
