minute,value
1.0,7
2.0,20
3.0,44
4.0,48
5.0,44
6.0,35
7.0,27
8.0,24
9.0,13
10.0,13
11.0,17
12.0,12
13.0,2
14.0,-15
15.0,41
16.0,26
17.0,36
18.0,48
19.0,38
20.0,28
21.0,24
22.0,87
23.0,54
24.0,35
25.0,25
26.0,-23
27.0,17
28.0,7
29.0,8
30.0,13
31.0,12
32.0,16
33.0,36
34.0,-30
35.0,-1
36.0,24
37.0,19
38.0,11
39.0,26
40.0,21
41.0,16
42.0,14
43.0,54
44.0,36
45.0,30
45.5,3
46.0,9
47.0,14
48.0,17
49.0,30
50.0,49
51.0,36
52.0,11
53.0,3
54.0,10
55.0,39
56.0,28
57.0,31
58.0,24
59.0,64
60.0,41
61.0,50
62.0,57
63.0,45
64.0,29
65.0,49
66.0,32
67.0,22
68.0,35
69.0,61
70.0,39
71.0,-52
72.0,-28
73.0,-25
74.0,-9
75.0,7
76.0,12
77.0,24
78.0,18
79.0,45
80.0,33
81.0,26
82.0,30
83.0,25
84.0,57
85.0,41
86.0,31
87.0,34
88.0,51
89.0,28
90.0,89
90.5,-19
