name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,accurateLongBalls,totalCross,aerialLost,challengeLost,bigChanceCreated,keyPass,firstName,lastName,outfielderBlock,blockedScoringAttempt,expectedGoals,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,goalAssist,accurateCross,bigChanceMissed,goals,totalOffside,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",26.0,21.0,1.0,4.0,5.0,21.0,4.0,,89.0,39.0,7.1,10.0,0.0327852,"{'original': 7.1, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,17.0,,6.0,2.0,2.0,2.0,1.0,1.0,,,,2.0,1.0,,,,2.0,1.0,,1.0,Nicolas Jackson,,,,1.1427,1.0,2.0,0.9905,,,1.0,1.0,3.0,,,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",17.0,13.0,,5.0,6.0,11.0,1.0,,21.0,20.0,6.7,5.0,0.0118541,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,8.0,,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Armando Broja,armando-broja,A. Broja,F,27,191,8884,M,armando.broja,996985,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,1000080000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرماندو برويا', 'hi': 'अरमांडो ब्रोजा', 'bn': 'আরমান্দো ব্রজা'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'hi': 'ए. ब्रोजा', 'bn': 'এ. ব্রজা'}}",9.0,9.0,,1.0,1.0,8.0,2.0,,15.0,14.0,6.6,,0.112322,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,8.0,,1.0,2.0,,2.0,2.0,,,,,,,,,,1.0,,,,,,,1.0,0.7134,1.0,,,,,1.0,,,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,maatsen_,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",,,,,,,,,1.0,1.0,,1.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",4.0,3.0,1.0,3.0,3.0,1.0,1.0,,1.0,5.0,,1.0,5.09e-06,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206,3384,M,,996903,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1031184000,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس بيرغستروم', 'hi': 'लुकास बर्गस्ट्रोम', 'bn': 'লুকাস বার্গস্ট্রোম'}, 'shortNameTranslation': {'ar': 'ل. بيرغستروم', 'hi': 'एल. बर्गस्ट्रोम', 'bn': 'এল. বার্গস্ট্রোম'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194,7252,M,marcusbettss,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Gilchrist,alfie-gilchrist,A. Gilchrist,D,14,183,4501,M,,1114837,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069977600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي جيلكريست', 'hi': 'अल्फी गिलक्रिस्ट', 'bn': 'আলফি গিলক্রিস্ট'}, 'shortNameTranslation': {'ar': 'أ. جيلكريست', 'hi': 'ए. गिलक्रिस्ट', 'bn': 'এ. গিলক্রিস্ট'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Matos,matos-alex,A. Matos,M,28,175,600,M,,1186050,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1096761600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتوس، أليكس', 'hi': 'माटोस, एलेक्स', 'bn': 'মাতোস, অ্যালেক্স'}, 'shortNameTranslation': {'ar': 'أ. ماتوس', 'hi': 'ए. माटोस', 'bn': 'এ. মাতোস'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,52393,M,Nkunku,769333,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,879465600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر نكونكو', 'hi': 'क्रिस्टोफर नकुंकू', 'bn': 'ক্রিস্টোফার এনকুঙ্কু'}, 'shortNameTranslation': {'ar': 'ك. نكونكو', 'hi': 'सी. नकुंकू', 'bn': 'সি. এনকুঙ্কু'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
