name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,accurateLongBalls,totalCross,aerialLost,challengeLost,bigChanceCreated,keyPass,firstName,lastName,outfielderBlock,blockedScoringAttempt,expectedGoals,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,goalAssist,accurateCross,bigChanceMissed,goals,totalOffside,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot
Wesley Foderingham,wesley-foderingham,W. Foderingham,G,25,185,337,M,,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",27.0,11.0,24.0,3.0,8.0,19.0,7.0,4.0,90.0,39.0,6.5,17.0,0.00061014,"{'original': 6.5, 'alternative': 6.1}",0,-0.0402,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,,,,,,,2.0,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,
Jayden Bogle,bogle-jayden,J. Bogle,D,2,178,740,M,,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",16.0,11.0,5.0,7.0,9.0,7.0,6.0,,90.0,37.0,7.0,5.0,0.00903716,"{'original': 7, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,,5.0,12.0,,,,2.0,2.0,9.0,2.0,,3.0,3.0,2.0,,,2.0,,,,,1.0,1.0,0.0464,,,,,,,,,,,,,,
Anel Ahmedhodžić,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",20.0,15.0,1.0,13.0,14.0,6.0,5.0,,90.0,34.0,6.5,6.0,0.00044115,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,0.0574,,,,,,,,,,,,,,
Auston Trusty,auston-trusty,A. Trusty,D,6,188,820,M,,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",15.0,9.0,4.0,7.0,11.0,4.0,3.0,,90.0,24.0,6.5,6.0,0.00057803,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,1.0,2.0,,,,4.0,,2.0,2.0,,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,1.0
Max Lowe,max-lowe,M. Lowe,D,3,175,114,M,,355154,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,863308800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس لوي', 'hi': 'मैक्स लोवे', 'bn': 'ম্যাক্স লোয়ে'}, 'shortNameTranslation': {'ar': 'م. لوي', 'hi': 'एम. लोवे', 'bn': 'এম. লোয়ে'}}",13.0,8.0,3.0,3.0,5.0,9.0,1.0,,90.0,39.0,6.8,8.0,0.00824899,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,4.0,6.0,,,,4.0,4.0,5.0,2.0,1.0,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,
Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1676,M,,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",28.0,19.0,6.0,16.0,20.0,9.0,9.0,,90.0,40.0,7.0,9.0,0.0680555,"{'original': 7, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,1.0,8.0,,1.0,1.0,1.0,2.0,6.0,4.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
James McAtee,james-mcatee,J. McAtee,M,24,180,10990,M,jamesmcatee_,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",18.0,11.0,2.0,6.0,9.0,10.0,6.0,,90.0,38.0,6.5,16.0,0.0218305,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,6.0,5.0,,5.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Gustavo Hamer,gustavo-hamer,G. Hamer,M,8,169,1022,M,,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",20.0,13.0,3.0,4.0,7.0,16.0,5.0,,80.0,30.0,6.5,11.0,0.0565887,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,10.0,,5.0,,1.0,1.0,,,1.0,,,,,2.0,,3.0,,1.0,,3.0,,,,,0.0361,,1.0,0.1798,,1.0,,,1.0,,,,,,
Andre Brooks,andre-brooks,A. Brooks,M,11,180,187,M,,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",9.0,4.0,2.0,2.0,5.0,5.0,2.0,,58.0,19.0,6.3,8.0,0.00097628,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,6.0,3.0,,3.0,2.0,1.0,,1.0,,1.0,,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
Cameron Archer,cameron-archer,C. Archer,F,19,181,1000,M,,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",24.0,19.0,3.0,16.0,19.0,5.0,9.0,,90.0,42.0,6.8,12.0,0.00437494,"{'original': 6.8, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,5.0,5.0,4.0,1.0,1.0,,,4.0,4.0,2.0,,1.0,2.0,,,,,,,,1.0,2.0,0.2186,1.0,,,,,,,,,,,,,
Oliver McBurnie,oliver-mcburnie,O. McBurnie,F,9,188,920,M,,367228,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,833846400,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر مكبورني', 'hi': 'ओलिवर मैकबर्नी', 'bn': 'অলিভার ম্যাকবার্নি'}, 'shortNameTranslation': {'ar': 'أ. مكبورني', 'hi': 'ओ. मैकबर्नी', 'bn': 'ও. ম্যাকবার্নি'}}",17.0,9.0,,5.0,7.0,10.0,2.0,,67.0,23.0,6.8,9.0,0.0138873,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,8.0,3.0,10.0,,,,,1.0,,,1.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
William Osula,osula-william,W. Osula,F,18,191,2921,M,,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",,,,,,,1.0,,32.0,2.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,6.0,1.0,,1.0,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Oliver Norwood,oliver-norwood,O. Norwood,M,26,180,225,M,,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",14.0,7.0,3.0,4.0,6.0,9.0,,,23.0,21.0,6.5,8.0,0.0031294,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Anis Ben Slimane,anis-ben-slimane,A. B. Slimane,M,20,188,2213,M,,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",5.0,2.0,,1.0,1.0,4.0,2.0,,10.0,11.0,6.0,7.0,0.00131152,"{'original': 6, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,6.0,1.0,2.0,2.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Adam Davies,adam-davies,A. Davies,G,17,185,115,M,,288997,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,711331200,"{'value': 290000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ديفيز', 'hi': 'एडम डेविस', 'bn': 'অ্যাডাম ডেভিস'}, 'shortNameTranslation': {'ar': 'آ. ديفيز', 'hi': 'ए. डेविस', 'bn': 'এ. ডেভিস'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Baldock,george-baldock,G. Baldock,D,,175,377,M,,112928,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,731635200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورج بالدوك', 'hi': 'जॉर्ज बाल्डॉक', 'bn': 'জর্জ বলডক'}, 'shortNameTranslation': {'ar': 'ج. بالدوك', 'hi': 'जी. बाल्डॉक', 'bn': 'জি. বালডক'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Thomas,luke-thomas,L. Thomas,D,33,178,494,M,,991584,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,992131200,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك توماس', 'hi': 'ल्यूक थॉमस', 'bn': 'লুক থমাস'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'hi': 'एल. थॉमस', 'bn': 'এল. থমাস'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasser Larouci,larouci-yasser,Y. Larouci,D,76,175,3783,M,larouci.yasseroff,927360,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,978307200,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لعروسي، ياسر', 'hi': 'लारौसी, यासर', 'bn': 'লারুচি, ইয়াসির'}, 'shortNameTranslation': {'ar': 'ي. لعروسي', 'hi': 'वाई. लारौसी', 'bn': 'ওয়াই. লারুচি'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,Yasser,Larouci,,,,,,,,,,,,,,,,,
Bénie Traoré,benie-traore,B. Traore,M,11,172,1364,M,,1099792,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1038614400,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيني تراوري', 'hi': 'बेनी ट्राओरे', 'bn': 'বেনি ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्राओरे', 'bn': 'বি. ট্রাওরে'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,Benie Traore,,,,,,,,,,,,,,,,,,
Ben Osborn,ben-osborn,B. Osborn,M,23,176,76,M,,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,Ben,Osborn,,,,,,,,,,,,,,,,,
