name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,hitWoodwork,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,aerialLost,interceptionWon,aerialWon,challengeLost,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,goals,outfielderBlock,totalTackle,wonTackle,totalOffside,expectedGoalsOnTarget,totalCross,bigChanceCreated,accurateCross,punches,goalAssist,clearanceOffLine
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",16.0,13.0,,,5.0,5.0,8.0,11.0,,2.0,,,,,,90.0,27.0,6.7,9.0,0.00876264,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,,3.0,1.0,,,3.0,1.0,,0.0537,1.0,1.0,,,1.0,,1.0,1.0,,,,,,0.2125,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",18.0,10.0,1.0,,4.0,8.0,6.0,10.0,,1.0,,,,,,37.0,21.0,6.7,8.0,0.00682754,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,,1.0,,,,,0.0582,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",48.0,42.0,4.0,4.0,12.0,13.0,32.0,39.0,1.0,4.0,,,,,,37.0,58.0,7.2,9.0,0.585108,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,4.0,1.0,1.0,,,,,,,,,4.0,1.0,,,2.0,,,,,,1.0,1.0,,,4.0,1.0,2.0,,,
Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,85678,M,AmadDiallo19,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",16.0,13.0,,,2.0,2.0,11.0,14.0,,2.0,,,,,,10.0,22.0,6.7,5.0,0.0345031,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,3.0,,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,0.00016536,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Evans,,,jonny-evans,J. Evans,D,,188,4632,M,6jevans,30144,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,568166400,,"{'nameTranslation': {'ar': 'جوني إيفانز', 'hi': 'जॉनी इवांस', 'bn': 'জনি ইভান্স'}, 'shortNameTranslation': {'ar': 'ج. إيفانز', 'hi': 'जे. इवांस', 'bn': 'জে. ইভান্স'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Kambwala,Willy Kambwala,,kambwala-willy,W. Kambwala,D,5,192,2092,M,,1136721,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1093392000,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كامبوالا، ويلي', 'hi': 'कम्बवाला, विली', 'bn': 'কাম্বওয়ালা, উইলি'}, 'shortNameTranslation': {'ar': 'و. كامبوالا', 'hi': 'डब्लू. कम्बवाला', 'bn': 'ডব্লিউ. কাম্বওয়ালা'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Collyer,Toby Collyer,,toby-collyer,T. Collyer,M,13,180,7416,M,tobycollyer,1084356,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073088000,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توبي كوليير', 'hi': 'टोबी कोलियर', 'bn': 'টবি কলিয়ার'}, 'shortNameTranslation': {'ar': 'ت. كوليير', 'hi': 'टी. कोलियर', 'bn': 'টি. কলিয়ার'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
