name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,fouls,keyPass,aerialWon,challengeLost,shotOffTarget,aerialLost,totalClearance,wasFouled,totalOffside,unsuccessfulTouch,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,hitWoodwork,bigChanceMissed,goals,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
Danny Welbeck,,,danny-welbeck,D. Welbeck,F,18,185,4472,M,,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",23.0,20.0,,,0.0,11.0,12.0,11.0,,,,64.0,35.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,,2.0,3.0,,1.0,,1.0,3.0,2.0,1.0,1.0,,,1.0,,2.0,,,3.0,,1.0,,,,,1.0,,,
João Pedro,,,joao-pedro,J. Pedro,F,20,182,86665,M,joaopedro,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",20.0,17.0,1.0,,0.0,8.0,10.0,10.0,3.0,,,26.0,26.0,7.9,4.0,"{'original': 7.9, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,9.0,,2.0,2.0,,1.0,,1.0,2.0,1.0,,3.0,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,,,
Ansu Fati,,,ansu-fati,A. Fati,F,31,178,177605,M,AnsuFati,962883,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1036022400,"{'value': 10400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",9.0,8.0,1.0,1.0,0.0,4.0,5.0,4.0,,,,26.0,14.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,4.0,,2.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,2.0,,,,1.0,,,,
Billy Gilmour,,,gilmour-billy,B. Gilmour,M,6,169,4385,M,billygilmour,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",16.0,15.0,,,0.0,13.0,13.0,3.0,2.0,,,13.0,17.0,7.0,2.0,"{'original': 7, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
James Milner,,,james-milner,J. Milner,M,20,175,3314,M,,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",8.0,8.0,,,0.0,7.0,7.0,1.0,,,,13.0,9.0,6.4,,"{'original': 6.4, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,2.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
Evan Ferguson,,,evan-ferguson,E. Ferguson,F,11,188,8187,M,EvanFerguson9,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",6.0,6.0,,,0.0,1.0,1.0,5.0,1.0,,,5.0,13.0,,3.0,,1,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,5.0,,2.0,2.0,2.0,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,
Bart Verbruggen,,,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Júlio,,,igor-julio,I. Júlio,D,5,185,1286,M,,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Webster,,,adam-webster,A. Webster,D,4,191,506,M,,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Baleba,,,baleba-carlos,C. Baleba,M,17,179,22765,M,carlos_baleba,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
