name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,challengeLost,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,aerialLost,totalContest,wonContest,fouls,keyPass,shotOffTarget,onTargetScoringAttempt,unsuccessfulTouch,dispossessed,wonTackle,bigChanceCreated,totalOffside,blockedScoringAttempt,goals,goalAssist,bigChanceMissed,sofascoreId
Lyle Foster,,,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",13.0,10.0,,,6.0,7.0,4.0,7.0,1.0,3.0,1.0,1.0,1.0,,,,,,81.0,24.0,6.8,9.0,0.1253,0.3809,0.00420057,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,8.0,2.0,,,1.0,,,,,2.0,,,1.0,1.0,4.0,,,1.0,,1.0,,,
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",27.0,24.0,1.0,,10.0,11.0,16.0,20.0,1.0,3.0,,2.0,1.0,,,,,,45.0,39.0,7.2,8.0,0.0,0.0,0.107855,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,4.0,2.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,3.0,,,2.0,,,,,,,1.0,,
Nathan Redmond,,,nathan-redmond,N. Redmond,M,15,173,423,M,115346,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762912000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان ريدموند', 'hi': 'नाथन रेडमंड', 'bn': 'নাথান রেডমন্ড'}, 'shortNameTranslation': {'ar': 'ن. ريدموند', 'hi': 'एन. रेडमंड', 'bn': 'এন. রেডমন্ড'}}",11.0,8.0,1.0,1.0,2.0,2.0,6.0,10.0,,1.0,1.0,1.0,,,,,,,22.0,15.0,6.6,5.0,0.0,0.0,0.00713455,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
Aaron Ramsey,,,aaron-ramsey,A. Ramsey,M,30,180,756,M,1000142,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043107200,"{'value': 8800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسي', 'hi': 'आरोन रैमसे', 'bn': 'অ্যারন রামসে'}, 'shortNameTranslation': {'ar': 'آ. رامسي', 'hi': 'ए. रैमसे', 'bn': 'এ. রামসে'}}",5.0,4.0,,,,,4.0,5.0,,,1.0,,,,,,,,22.0,6.0,6.6,1.0,0.0,0.0,0.00833663,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",8.0,7.0,1.0,1.0,1.0,1.0,6.0,7.0,,,,2.0,,,,,,,9.0,8.0,6.6,1.0,0.0,0.0,0.00832955,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Rodriguez,,,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",2.0,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,9.0,4.0,6.2,1.0,0.4517,0.0,0.00143812,"{'original': 6.2, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,1.0,
Arijanet Murić,,,arijanet-muric,A. Murić,G,49,198,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cork,,,jack-cork,J. Cork,M,,185,86,M,20993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,614736000,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك كورك', 'hi': 'जैक कॉर्क', 'bn': 'জ্যাক কর্ক'}, 'shortNameTranslation': {'ar': 'ج. كورك', 'hi': 'जे. कॉर्क', 'bn': 'জে. কর্ক'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
