name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,challengeLost,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,aerialLost,totalContest,wonContest,fouls,keyPass,shotOffTarget,onTargetScoringAttempt,unsuccessfulTouch,dispossessed,wonTackle,bigChanceCreated,totalOffside,blockedScoringAttempt,goals,goalAssist,bigChanceMissed,sofascoreId
Robin Olsen,,,robin-olsen,R. Olsen,G,30,198,1336,M,26025,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,631756800,"{'value': 750000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",36.0,27.0,15.0,7.0,25.0,30.0,2.0,6.0,,,,7.0,,1.0,1.0,,,,90.0,40.0,6.6,9.0,0.0,0.0,0.00228828,"{'original': 6.6, 'alternative': 6.6}",0,-0.5406,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
Ezri Konsa,,,ezri-konsa,E. Konsa,D,4,183,3125,M,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",47.0,42.0,1.0,1.0,31.0,35.0,11.0,12.0,1.0,6.0,2.0,3.0,,,,,,,90.0,66.0,7.0,7.0,0.0,0.0,0.00521135,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,4.0,,,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,,
Diego Carlos,,,diego-carlos,D. Carlos,D,34,185,2789,M,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",69.0,53.0,13.0,4.0,36.0,45.0,17.0,24.0,2.0,5.0,4.0,4.0,,,,,,,90.0,81.0,6.6,17.0,0.1025,0.0,0.00907308,"{'original': 6.6, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,,,2.0,2.0,,5.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,
Pau Torres,,,pau-torres,P. Torres,D,14,192,4120,M,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",47.0,44.0,5.0,3.0,33.0,34.0,11.0,13.0,,3.0,3.0,7.0,1.0,,,,,,90.0,54.0,6.8,3.0,0.0,0.0,0.00961662,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,pauttorres
Matty Cash,,,matty-cash,M. Cash,D,2,185,9152,M,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",34.0,28.0,1.0,,14.0,19.0,14.0,15.0,1.0,7.0,2.0,5.0,1.0,,,,,,90.0,55.0,8.8,11.0,1.2932,1.7015,0.022605,"{'original': 8.8, 'alternative': 8.6}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,2.0,,,3.0,,,2.0,2.0,1.0,,,3.0,3.0,1.0,3.0,,,3.0,2.0,,,mattycash622
Boubacar Kamara,,,boubacar-kamara,B. Kamara,M,44,184,3320,M,826204,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,943315200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر كامارا', 'hi': 'बौबाकर कामारा', 'bn': 'বউবকার কামারা'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'hi': 'बी. कामारा', 'bn': 'বি.কামারা'}}",59.0,54.0,3.0,2.0,20.0,21.0,34.0,38.0,,8.0,,9.0,3.0,,,,,,90.0,72.0,7.5,8.0,0.0,0.0,0.0268062,"{'original': 7.5, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,1.0,,1.0,3.0,,,2.0,2.0,1.0,2.0,,,1.0,2.0,3.0,,,,,,,
Douglas Luiz,,,douglas-luiz,D. Luiz,M,12,175,11414,M,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",47.0,37.0,2.0,,15.0,18.0,24.0,33.0,1.0,3.0,,5.0,1.0,,,,,,86.0,58.0,6.8,15.0,0.0,0.0,0.131414,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,3.0,2.0,1.0,,1.0,,,,,1.0,2.0,,,2.0,1.0,1.0,,,,,,,Douglas_Luiz
Lucas Digne,,,lucas-digne,L. Digne,D,12,178,4445,M,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",23.0,19.0,1.0,1.0,7.0,9.0,12.0,17.0,1.0,3.0,2.0,4.0,2.0,,,,,,81.0,38.0,7.1,9.0,0.0,0.0,0.0783352,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,,4.0,,,2.0,,,1.0,1.0,,2.0,2.0,,,1.0,,,,,,,1.0,,LDigne
Moussa Diaby,,,diaby-moussa,M. Diaby,M,19,170,7519,M,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",24.0,21.0,,,8.0,8.0,14.0,17.0,,2.0,1.0,4.0,1.0,,,,,,73.0,35.0,8.4,6.0,0.1671,0.4166,0.10406,"{'original': 8.4, 'alternative': 8.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,2.0,,,,,,,1.0,1.0,,2.0,,1.0,1.0,2.0,,2.0,,1.0,1.0,1.0,,moussadiaby
John McGinn,,,john-mcginn,J. McGinn,M,7,175,3796,M,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",35.0,29.0,6.0,3.0,8.0,10.0,22.0,27.0,,5.0,,6.0,2.0,,,,,,90.0,46.0,7.2,9.0,0.0,0.0,0.153914,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,1.0,6.0,2.0,,,1.0,,1.0,3.0,2.0,2.0,2.0,,,,,1.0,1.0,,,,,,
Ollie Watkins,,,ollie-watkins,O. Watkins,F,11,179,19613,M,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",20.0,15.0,1.0,,5.0,6.0,10.0,14.0,2.0,3.0,,1.0,1.0,,,,,,86.0,30.0,6.3,7.0,0.9146,1.7206,0.0147201,"{'original': 6.3, 'alternative': 6.2}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,,,,,2.0,,,,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,,1.0,3.0,OllieWatkins
Nicolò Zaniolo,,,nicolo-zaniolo,N. Zaniolo,F,10,189,9354,M,864898,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,930873600,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولو زانيولو', 'hi': 'निकोलो ज़ेनिओलो', 'bn': 'নিকোলো জানিওলো'}, 'shortNameTranslation': {'ar': 'ن. زانيولو', 'hi': 'एन. ज़ेनिओलो', 'bn': 'এন. জানিওলো'}}",9.0,8.0,,,1.0,1.0,7.0,8.0,,,,1.0,,,,,,,17.0,14.0,6.7,2.0,0.2179,0.0,0.0968813,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,1.0,,,,nicolozaniolo
Bertrand Traoré,,,bertrand-traore,B. Traoré,F,9,180,30594,M,218160,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,810345600,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرتراند تراوري', 'hi': 'बर्ट्रेंड ट्रैओरे', 'bn': 'বার্ট্রান্ড ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",2.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,9.0,3.0,6.4,2.0,0.0,0.0,1.4e-07,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,bertrandtraore10
Youri Tielemans,,,youri-tielemans,Y. Tielemans,M,8,177,9703,M,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,10.0,1.0,6.5,,0.0,0.0,9.4e-06,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,youritielemans
Jhon Durán,,,jhon-duran,J. Durán,F,10,185,30568,M,974577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1071273600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون دوران', 'hi': 'जॉन डुरान', 'bn': 'জন ডুরান'}, 'shortNameTranslation': {'ar': 'ج. دوران', 'hi': 'जे. डुरान', 'bn': 'জে. ডুরান'}}",1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,10.0,3.0,6.5,2.0,0.0,0.0,3.92e-06,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,jaderduran9
Filip Marschall,,,filip-marschall,F. Marschall,G,1,196,130,M,994557,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1051142400,"{'value': 880000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب مارشال', 'hi': 'फ़िलिप मार्शल', 'bn': 'ফিলিপ মার্শাল'}, 'shortNameTranslation': {'ar': 'ف. مارشال', 'hi': 'एफ. मार्शल', 'bn': 'এফ. মার্শাল'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Oliwier Zych,,,zych-oliwier,O. Zych,G,48,193,745,M,1009362,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,1088380800,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زيتش، أوليڤير', 'hi': 'ज़िच, ओलिवियर', 'bn': 'জাইচ, অলিভিয়ার'}, 'shortNameTranslation': {'ar': 'أ. زيتش', 'hi': 'ओ. ज़िच', 'bn': 'ও. জাইচ'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Chambers,,,calum-chambers,C. Chambers,D,12,183,615,M,227942,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,790560000,"{'value': 965000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Bailey,,,leon-bailey,L. Bailey,M,31,178,7430,M,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,leonbailey
