minute,value
1.0,-1
2.0,-7
3.0,-5
4.0,-4
5.0,6
6.0,11
7.0,9
8.0,8
9.0,5
10.0,-9
11.0,40
12.0,10
13.0,5
14.0,-94
15.0,-85
16.0,-34
17.0,-20
18.0,39
19.0,38
20.0,22
21.0,25
22.0,8
23.0,32
24.0,24
25.0,24
26.0,23
27.0,71
28.0,33
29.0,-37
30.0,-6
31.0,11
32.0,-28
33.0,-14
34.0,-4
35.0,-1
36.0,20
37.0,46
38.0,26
39.0,10
40.0,-14
41.0,-43
42.0,-25
43.0,-12
44.0,86
45.0,54
45.5,45
46.0,10
47.0,24
48.0,14
49.0,8
50.0,5
51.0,-16
52.0,-10
53.0,30
54.0,20
55.0,17
56.0,26
57.0,23
58.0,55
59.0,67
60.0,37
61.0,13
62.0,3
63.0,-9
64.0,-16
65.0,-10
66.0,-6
67.0,4
68.0,-15
69.0,-5
70.0,4
71.0,-12
72.0,-3
73.0,44
74.0,30
75.0,6
76.0,-9
77.0,4
78.0,-10
79.0,-45
80.0,-21
81.0,-7
82.0,-14
83.0,-3
84.0,-21
85.0,-16
86.0,-15
87.0,-12
88.0,-11
89.0,-9
90.0,-9
90.5,18
