name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,ballRecovery,fouls,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,expectedGoals,keyPass,aerialWon,shotOffTarget,wonTackle,aerialLost,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,unsuccessfulTouch,goalAssist,penaltyConceded,savedShotsFromInsideTheBox,saves,penaltyWon
Ederson,ederson,Ederson,G,31,188,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",19.0,17.0,3.0,1.0,16.0,17.0,1.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,90.0,24.0,6.3,2.0,0.00034016,"{'original': 6.3, 'alternative': 6}",0,-0.1375,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,KyleWalker2,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",114.0,107.0,5.0,1.0,25.0,25.0,87.0,96.0,3.0,3.0,,,,,90.0,141.0,7.5,11.0,0.233265,"{'original': 7.5, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,7.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0268,1.0,,,,,,,,,,,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",181.0,174.0,6.0,4.0,37.0,37.0,137.0,146.0,,4.0,,,,,90.0,190.0,8.3,9.0,0.314073,"{'original': 8.3, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,5.0,,,,,1.0,,1.0,,1.0,2.0,,0.0992,1.0,3.0,2.0,1.0,,,,,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,nathanake,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",116.0,112.0,,,38.0,38.0,74.0,78.0,1.0,5.0,1.0,,,,90.0,125.0,7.3,4.0,0.158927,"{'original': 7.3, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,4.0,,,,,,2.0,,,,1.0,2.0,0.066,1.0,1.0,1.0,,,,,,,,,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,JGvardiol,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",43.0,36.0,,,9.0,10.0,28.0,37.0,7.0,6.0,4.0,,,,90.0,67.0,7.0,11.0,0.0588032,"{'original': 7, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,3.0,2.0,,,,,,,,1.0,,1.0,0.2514,1.0,2.0,,,1.0,1.0,3.0,0.5856,,,,,,,,
Rico Lewis,rico-lewis,R. Lewis,D,82,170,17414,M,Rico_Lewis,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",42.0,39.0,,,15.0,15.0,24.0,27.0,5.0,6.0,1.0,,,,89.0,53.0,7.9,5.0,0.159387,"{'original': 7.9, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Rico Lewis,,,,1.0,,2.0,,,1.0,,,1.0,,,1.0,0.3117,4.0,,,,2.0,,2.0,1.5248,1.0,,,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",106.0,90.0,11.0,7.0,25.0,26.0,65.0,80.0,3.0,8.0,2.0,,,,90.0,118.0,7.4,17.0,0.258599,"{'original': 7.4, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,8.0,,1.0,1.0,1.0,,2.0,2.0,,,5.0,,0.2762,1.0,2.0,1.0,,,1.0,,,,1.0,,,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,BSilva,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",70.0,62.0,,,4.0,4.0,59.0,72.0,3.0,1.0,,,,,90.0,93.0,7.4,20.0,0.130854,"{'original': 7.4, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,1.0,3.0,,2.0,2.0,1.0,,,1.0,,,2.0,,0.0471,1.0,,,,,,2.0,0.2975,,,3.0,,,,,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,Foden,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",33.0,30.0,1.0,,9.0,10.0,21.0,23.0,5.0,2.0,1.0,,,,90.0,47.0,6.8,7.0,0.335053,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,5.0,1.0,2.0,2.0,1.0,1.0,,,,,1.0,3.0,0.0228,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,
Jack Grealish,jack-grealish,J. Grealish,M,18,180,61911,M,JGrealish,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",65.0,57.0,1.0,1.0,11.0,12.0,46.0,53.0,5.0,2.0,,,,,90.0,79.0,7.7,12.0,0.0434389,"{'original': 7.7, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,4.0,2.0,3.0,2.0,2.0,,,,,,1.0,1.0,0.394,2.0,,,1.0,,,1.0,0.8899,1.0,1.0,1.0,,,,,
